dataset,task,feature_set,auc,accuracy,f1,positive_rate,samples,users,rounds,seed
T-Drive,active-period inference,full,0.9960858265720081,0.9985714285714286,0.9881422924901185,0.06092857142857143,14000,1000,17,7
T-Drive,session linkability,timing+chain,0.7284444444444444,0.73,0.7862796833773087,0.5,2000,1000,17,7
GeoLife,active-period inference,full,0.9998589250085652,0.9993333333333333,0.9949066213921901,0.06553333333333333,15000,1000,18,7
GeoLife,session linkability,timing+chain,0.7531722222222222,0.7333333333333333,0.7883597883597884,0.5,2000,1000,18,7
Porto,active-period inference,full,0.9993241923891323,0.9955555555555555,0.9798657718120807,0.11144444444444444,9000,1000,11,7
Porto,session linkability,timing+chain,0.7165333333333334,0.6583333333333333,0.7140864714086472,0.5,2000,1000,11,7
Rome,active-period inference,full,0.9999806576402321,0.9980952380952381,0.9908675799086757,0.10471428571428572,7000,1000,8,7
Rome,session linkability,timing+chain,0.7233833333333334,0.715,0.7776332899869961,0.5,2000,1000,8,7
T-Drive,active-period inference,full,0.9999692967165315,0.9990476190476191,0.9921259842519685,0.06092857142857143,14000,1000,17,11
T-Drive,session linkability,timing+chain,0.7555722222222222,0.75,0.7994652406417112,0.5,2000,1000,17,11
GeoLife,active-period inference,full,0.9998363530099357,0.9997777777777778,0.99830220713073,0.06553333333333333,15000,1000,18,11
GeoLife,session linkability,timing+chain,0.7417388888888888,0.7483333333333333,0.7978580990629183,0.5,2000,1000,18,11
Porto,active-period inference,full,0.9983111733986614,0.9951851851851852,0.9782971619365609,0.11144444444444444,9000,1000,11,11
Porto,session linkability,timing+chain,0.7075,0.6516666666666666,0.7303225806451614,0.5,2000,1000,11,11
Rome,active-period inference,full,0.9997219535783366,0.9980952380952381,0.9908256880733944,0.10471428571428572,7000,1000,8,11
Rome,session linkability,timing+chain,0.7579333333333333,0.7183333333333334,0.7796610169491526,0.5,2000,1000,8,11
T-Drive,active-period inference,full,0.999996038286004,0.9990476190476191,0.9921568627450981,0.06092857142857143,14000,1000,17,19
T-Drive,session linkability,timing+chain,0.74625,0.745,0.7968127490039841,0.5,2000,1000,17,19
GeoLife,active-period inference,full,0.9998299038674702,0.9997777777777778,0.99830220713073,0.06553333333333333,15000,1000,18,19
GeoLife,session linkability,timing+chain,0.7523222222222222,0.7416666666666667,0.7941567065073042,0.5,2000,1000,18,19
Porto,active-period inference,full,0.999612241534748,0.9959259259259259,0.9813874788494078,0.11144444444444444,9000,1000,11,19
Porto,session linkability,timing+chain,0.7565111111111111,0.7116666666666667,0.7702523240371847,0.5,2000,1000,11,19
Rome,active-period inference,full,0.9999782398452611,0.9980952380952381,0.9908256880733944,0.10471428571428572,7000,1000,8,19
Rome,session linkability,timing+chain,0.7134555555555555,0.715,0.7776332899869961,0.5,2000,1000,8,19
