bias_m_per_round,no_p2_offset_km,p2_default_offset_km,p2_tight_offset_km,p2_default_reject_round,p2_tight_reject_round
0.0,0.0,0.0,0.0,,
20.0,0.6,0.6,0.6,,
40.0,1.2,1.2,1.2,,
60.0,1.8,1.8,1.8,,
80.0,2.4,2.4,2.4,,
100.0,3.0,3.0,3.0,,
120.0,3.6,3.6,3.6,,
140.0,4.2,4.2,4.2,,
160.0,4.8,4.8,4.8,,
180.0,5.4,5.4,5.4,,
200.0,6.0,6.0,6.0,,
220.0,6.6,6.6,6.6,,
240.0,7.2,7.2,7.2,,
260.0,7.8,7.8,7.8,,
280.0,8.4,8.4,8.4,,
300.0,9.0,9.0,9.0,,
320.0,9.6,9.6,9.6,,
340.0,10.2,10.2,10.2,,
360.0,10.8,10.8,10.8,,
380.0,11.4,11.4,11.4,,
400.0,12.0,12.0,12.0,,
420.0,12.6,12.6,12.6,,
440.0,13.2,13.2,13.2,,
460.0,13.8,13.8,13.8,,
480.0,14.4,14.4,14.4,,
500.0,15.0,15.0,15.0,,
520.0,15.6,15.6,15.6,,
540.0,16.2,16.2,16.2,,
560.0,16.8,16.8,16.8,,
580.0,17.4,17.4,17.4,,
600.0,18.0,18.0,18.0,,
620.0,18.6,18.6,18.6,,
640.0,19.2,19.2,19.2,,
660.0,19.8,19.8,19.8,,
680.0,20.4,20.4,3.4,,6
700.0,21.0,21.0,3.5,,6
720.0,21.6,21.6,3.6,,6
740.0,22.2,22.2,3.7,,6
760.0,22.8,22.8,3.8,,6
780.0,23.4,23.4,3.9,,6
800.0,24.0,24.0,4.0,,6
820.0,24.6,24.6,4.1,,6
840.0,25.2,25.2,4.2,,6
860.0,25.8,25.8,4.3,,6
880.0,26.4,26.4,4.4,,6
900.0,27.0,27.0,4.5,,6
920.0,27.6,27.6,4.6,,6
940.0,28.2,28.2,4.7,,6
960.0,28.8,28.8,4.8,,6
980.0,29.4,29.4,4.9,,6
1000.0,30.0,30.0,5.0,,6
1020.0,30.6,30.6,5.1,,6
1040.0,31.2,31.2,5.2,,6
1060.0,31.8,31.8,5.3,,6
1080.0,32.4,32.4,5.4,,6
1100.0,33.0,33.0,5.5,,6
1120.0,33.6,33.6,5.6,,6
1140.0,34.2,34.2,5.7,,6
1160.0,34.8,34.8,5.8,,6
1180.0,35.4,35.4,5.9,,6
1200.0,36.0,36.0,6.0,,6
1220.0,36.6,36.6,6.1,,6
1240.0,37.2,37.2,6.2,,6
1260.0,37.8,37.8,6.3,,6
1280.0,38.4,38.4,6.4,,6
1300.0,39.0,39.0,6.5,,6
1320.0,39.6,39.6,6.6,,6
1340.0,40.2,40.2,6.7,,6
1360.0,40.8,40.8,6.8,,6
1380.0,41.4,41.4,6.9,,6
1400.0,42.0,42.0,7.0,,6
