seed,target,mutation,attempts,rejected,reject_rate,source_test
1,tier_vmax_sq,bitflip,1,1,1.000000,test_malleability_bitflip_and_replacement_rejected
1,tier_vmax_sq,replacement,1,1,1.000000,test_malleability_bitflip_and_replacement_rejected
1,modeset_commitment,bitflip,1,1,1.000000,test_malleability_bitflip_and_replacement_rejected
1,modeset_commitment,replacement,1,1,1.000000,test_malleability_bitflip_and_replacement_rejected
1,mode_tag,bitflip,1,1,1.000000,test_malleability_bitflip_and_replacement_rejected
1,mode_tag,replacement,1,1,1.000000,test_malleability_bitflip_and_replacement_rejected
1,hash_anchor,bitflip,1,1,1.000000,test_malleability_bitflip_and_replacement_rejected
1,hash_anchor,replacement,1,1,1.000000,test_malleability_bitflip_and_replacement_rejected
1,cap_policy_sq,inconsistency,1,1,1.000000,test_cap_policy_and_tier_anchor_inconsistency_rejected
1,tier_anchor_cap_sq,inconsistency,1,1,1.000000,test_cap_policy_and_tier_anchor_inconsistency_rejected
1,cap_policy_vs_tier_anchor,cap_policy_gt_tier_anchor,1,1,1.000000,test_cap_policy_and_tier_anchor_inconsistency_rejected
