baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error
nebula,0.1,0.1,random,1,50,3,0.0,0.0,1.0,2.2578551715275985,0.9952174538101838
nebula,0.1,0.1,random,2,50,3,0.0,0.0,1.0,2.159157230104809,0.9936208640826463
nebula,0.1,0.1,random,3,50,3,0.0,0.0,1.0,2.061100914409523,0.9920242743551086
nebula,0.1,0.1,random,4,50,3,0.0,0.0,1.0,2.2578551715275985,0.9952174538101838
nebula,0.1,0.1,random,5,50,3,0.0,0.0,1.0,2.2578551715275985,0.9952174538101838
nebula,0.1,0.1,random,6,50,3,0.0,0.0,0.0,2.5565993037627153,0.999999999722163
nebula,0.1,0.1,random,7,50,3,0.0,0.0,0.0,2.5565993037627153,0.999999999722163
nebula,0.1,0.1,random,8,50,3,0.0,0.0,1.0,2.2578551715275985,0.9952174538101838
nebula,0.1,0.1,random,9,50,3,0.0,0.0,1.0,2.159157230104809,0.9936208640826463
nebula,0.1,0.1,random,10,50,3,0.0,0.0,1.0,2.2578551715275985,0.9952174538101838
nebula,0.5,0.1,random,1,50,3,0.0,0.0,1.0,2.372019598213255,0.9918744299293123
nebula,0.5,0.1,random,2,50,3,0.0,0.0,1.0,2.3393332844636907,0.9965286480895094
nebula,0.5,0.1,random,3,50,3,0.0,0.0,1.0,2.3393332844636907,0.9965286480895094
nebula,0.5,0.1,random,4,50,3,0.0,0.0,1.0,2.411544887032771,0.9976861553357458
nebula,0.5,0.1,random,5,50,3,0.0,0.0,1.0,2.3235870674864554,0.9911027584318212
nebula,0.5,0.1,random,6,50,3,0.0,0.0,1.0,2.387446403569543,0.9973003195870002
nebula,0.5,0.1,random,7,50,3,0.0,0.0,1.0,2.387446403569543,0.9973003195870002
nebula,0.5,0.1,random,8,50,3,0.0,0.0,1.0,2.315320391207008,0.9961428123407637
nebula,0.5,0.1,random,9,50,3,0.0,0.0,1.0,2.243467590394154,0.9949853050945271
nebula,0.5,0.1,random,10,50,3,0.0,0.0,1.0,2.2994097412878807,0.9907169226830755
nebula,1.0,0.1,random,1,50,3,0.0,0.0,1.0,2.375158604096278,0.9917267818746688
nebula,1.0,0.1,random,2,50,3,0.0,0.0,1.0,2.3329669122688537,0.9921331794407485
nebula,1.0,0.1,random,3,50,3,0.0,0.0,1.0,2.3060882216394556,0.9927797210231577
nebula,1.0,0.1,random,4,50,3,0.0,0.0,1.0,2.3911007832376403,0.9973588572627679
nebula,1.0,0.1,random,5,50,3,0.0,0.0,1.0,2.2972006044928763,0.9857969700677051
nebula,1.0,0.1,random,6,50,3,0.0,0.0,1.0,2.346170792184764,0.9966384252137785
nebula,1.0,0.1,random,7,50,3,0.0,0.0,1.0,2.2864233050730594,0.9956778491484594
nebula,1.0,0.1,random,8,50,3,0.0,0.0,1.0,2.33121642915967,0.9963982811974488
nebula,1.0,0.1,random,9,50,3,0.0,0.0,1.0,2.2428908487730244,0.9906923153427696
nebula,1.0,0.1,random,10,50,3,0.0,0.0,1.0,2.3028982845605874,0.9916528914080887
nebula,2.0,0.1,random,1,50,3,0.0,0.0,0.5,2.3755732751796703,0.9889661812286724
nebula,2.0,0.1,random,2,50,3,0.0,0.0,0.5,2.3645413387525775,0.9887906293548762
nebula,2.0,0.1,random,3,50,3,0.0,0.0,0.5,2.3204655395447378,0.9880884218596911
nebula,2.0,0.1,random,4,50,3,0.0,0.0,1.0,2.3185717548046134,0.9846296657203992
nebula,2.0,0.1,random,5,50,3,0.0,0.0,1.0,2.3292114723671125,0.9874402303256865
nebula,2.0,0.1,random,6,50,3,0.0,0.0,1.0,2.3295917164415303,0.9848052175941954
nebula,2.0,0.1,random,7,50,3,0.0,0.0,1.0,2.3379942070169593,0.9933702166883807
nebula,2.0,0.1,random,8,50,3,0.0,0.0,1.0,2.3209624797683537,0.9854534091281998
nebula,2.0,0.1,random,9,50,3,0.0,0.0,0.5,2.298459853663151,0.9877373181120985
nebula,2.0,0.1,random,10,50,3,0.0,0.0,1.0,2.3272673310094762,0.9839814741863946
nebula,5.0,0.1,random,1,50,3,0.0,0.0,1.0,2.354932949472976,0.9853363560286018
nebula,5.0,0.1,random,2,50,3,0.0,0.0,1.0,2.34731480613647,0.9859006179525757
nebula,5.0,0.1,random,3,50,3,0.0,0.0,1.0,2.3377150247350107,0.98574779701483
nebula,5.0,0.1,random,4,50,3,0.0,0.0,1.0,2.3377150247350107,0.98574779701483
nebula,5.0,0.1,random,5,50,3,0.0,0.0,1.0,2.335713156426004,0.9850307141531099
nebula,5.0,0.1,random,6,50,3,0.0,0.0,1.0,2.318527373403695,0.9854421551393381
nebula,5.0,0.1,random,7,50,3,0.0,0.0,1.0,2.328119197458911,0.9855949760770839
nebula,5.0,0.1,random,8,50,3,0.0,0.0,1.0,2.328119197458911,0.9855949760770839
nebula,5.0,0.1,random,9,50,3,0.0,0.0,1.0,2.328119197458911,0.9855949760770839
nebula,5.0,0.1,random,10,50,3,0.0,0.0,1.0,2.328119197458911,0.9855949760770839
ldp,0.1,0.1,random,1,50,3,0.0,0.0,0.0,6689.8601651370755,0.999999999722163
ldp,0.1,0.1,random,2,50,3,0.0,0.0,0.0,6689.8601651370755,0.999999999722163
ldp,0.1,0.1,random,3,50,3,0.0,0.0,0.018867924528301886,6689.855922495353,1168.9370718389503
ldp,0.1,0.1,random,4,50,3,0.0,0.0,0.0,6689.8601651370755,0.999999999722163
ldp,0.1,0.1,random,5,50,3,0.0,0.0,0.0,6689.8601651370755,0.999999999722163
ldp,0.1,0.1,random,6,50,3,0.0,0.0,0.018867924528301886,6689.85733670956,1752.9426445035979
ldp,0.1,0.1,random,7,50,3,0.0,0.0,0.0,6689.8601651370755,0.999999999722163
ldp,0.1,0.1,random,8,50,3,0.0,0.0,0.0,6689.8601651370755,0.999999999722163
ldp,0.1,0.1,random,9,50,3,0.0,0.0,0.0,6689.8601651370755,0.999999999722163
ldp,0.1,0.1,random,10,50,3,0.0,0.0,0.0,6689.8601651370755,0.999999999722163
ldp,0.5,0.1,random,1,50,3,0.0,0.0,0.0,1084.6246381245433,0.999999999722163
ldp,0.5,0.1,random,2,50,3,0.0,0.0,0.0,1084.6246381245433,0.999999999722163
ldp,0.5,0.1,random,3,50,3,0.0,0.0,0.018867924528301886,1084.6203954873445,190.2946434087368
ldp,0.5,0.1,random,4,50,3,0.0,0.0,0.0,1084.6246381245433,0.999999999722163
ldp,0.5,0.1,random,5,50,3,0.0,0.0,0.0,1084.6246381245433,0.999999999722163
ldp,0.5,0.1,random,6,50,3,0.0,0.0,0.018867924528301886,1084.621809701588,284.979002102939
ldp,0.5,0.1,random,7,50,3,0.0,0.0,0.0,1084.6246381245433,0.999999999722163
ldp,0.5,0.1,random,8,50,3,0.0,0.0,0.0,1084.6246381245433,0.999999999722163
ldp,0.5,0.1,random,9,50,3,0.0,0.0,0.0,1084.6246381245433,0.999999999722163
ldp,0.5,0.1,random,10,50,3,0.0,0.0,0.0,1084.6246381245433,0.999999999722163
ldp,1.0,0.1,random,1,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,2,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,3,50,3,0.0,0.0,0.018867924528301886,409.5365256299196,72.42800285677451
ldp,1.0,0.1,random,4,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,5,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,6,50,3,0.0,0.0,0.018867924528301886,409.5379398281342,108.17904130446222
ldp,1.0,0.1,random,7,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,8,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,9,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,10,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,2.0,0.1,random,1,50,3,0.0,0.0,0.0,110.22167804522921,0.999999999722163
ldp,2.0,0.1,random,2,50,3,0.0,0.0,0.0,110.22167804522921,0.999999999722163
ldp,2.0,0.1,random,3,50,3,0.0,0.0,0.018867924528301886,110.21743646437686,20.164821540978
ldp,2.0,0.1,random,4,50,3,0.0,0.0,0.0,110.22167804522923,0.999999999722163
ldp,2.0,0.1,random,5,50,3,0.0,0.0,0.0,110.22167804522923,0.999999999722163
ldp,2.0,0.1,random,6,50,3,0.0,0.0,0.018867924528301886,110.21885034279764,29.784269343833234
ldp,2.0,0.1,random,7,50,3,0.0,0.0,0.0,110.22167804522921,0.999999999722163
ldp,2.0,0.1,random,8,50,3,0.0,0.0,0.0,110.22167804522923,0.999999999722163
ldp,2.0,0.1,random,9,50,3,0.0,0.0,0.0,110.22167804522923,0.999999999722163
ldp,2.0,0.1,random,10,50,3,0.0,0.0,0.0,110.22167804522921,0.999999999722163
ldp,5.0,0.1,random,1,50,3,0.0,0.0,0.0,5.476828093187193,0.999999999722163
ldp,5.0,0.1,random,2,50,3,0.0,0.0,0.018867924528301886,5.466813530404719,1.2430433622738524
ldp,5.0,0.1,random,3,50,3,0.0,0.0,0.018867924528301886,5.435399097088223,1.782062998841163
ldp,5.0,0.1,random,4,50,3,0.0,0.0,0.0,5.476828093187194,0.999999999722163
ldp,5.0,0.1,random,5,50,3,0.0,0.0,0.038461538461538464,5.093191718001104,0.9643159305905974
ldp,5.0,0.1,random,6,50,3,0.0,0.0,0.018867924528301886,5.474326170022881,2.194395671675467
ldp,5.0,0.1,random,7,50,3,0.0,0.0,0.0,5.4555251733306305,1.0751576605406767
ldp,5.0,0.1,random,8,50,3,0.0,0.0,0.0,5.476828093187193,0.999999999722163
ldp,5.0,0.1,random,9,50,3,0.0,0.0,0.0,5.476828093187193,0.999999999722163
ldp,5.0,0.1,random,10,50,3,0.0,0.0,0.0,5.476828093187194,0.999999999722163
