baseline,epsilon,malicious_rate,attack_type,n_rounds,n_users,avg_malicious_reject_rate,avg_false_reject_rate,avg_jaccard,avg_rmse,avg_relative_error,std_jaccard,std_rmse
nebula,0.1,0.1,random,10,50,0.0,0.0,0.8,2.2781889839782563,0.9955353271015646,0.4,0.15249796024154524
nebula,0.5,0.1,random,10,50,0.0,0.0,1.0,2.341890865168799,0.9950166319168264,0.0,0.04738768396163918
nebula,1.0,0.1,random,10,50,0.0,0.0,1.0,2.321211478548621,0.9930855271979594,0.0,0.04140170282651859
nebula,2.0,0.1,random,10,50,0.0,0.0,0.8,2.332263896854818,0.9873262764198595,0.24494897427831783,0.021421733888669057
nebula,5.0,0.1,random,10,50,0.0,0.0,1.0,2.3344395124744812,0.9855585341611622,0.0,0.01010849135301078
ldp,0.1,0.1,random,10,50,0.0,0.0,0.0037735849056603774,6689.859458030152,292.98797163403253,0.007547169811320754,0.0014491379843943792
ldp,0.5,0.1,random,10,50,0.0,0.0,0.0037735849056603774,1084.6239310185279,48.3273645509453,0.007547169811320754,0.001449136213192279
ldp,1.0,0.1,random,10,50,0.0,0.0,0.0037735849056603774,409.5400611137359,18.860704415901402,0.007547169811320754,0.0014491162289626863
ldp,2.0,0.1,random,10,50,0.0,0.0,0.0037735849056603774,110.22097111690084,5.794909088258853,0.007547169811320754,0.0014487730172047823
ldp,5.0,0.1,random,10,50,0.0,0.0,0.009506531204644411,5.430939615478353,1.2258975622532573,0.01282007922517139,0.11331199040745957
