baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error
nebula,1.0,0.0,random,1,50,0,0.0,0.0,1.0,2.3630766114853565,0.9926134674734081
nebula,1.0,0.0,random,2,50,0,0.0,0.0,1.0,2.3028982845605874,0.9916528914080887
nebula,1.0,0.0,random,3,50,0,0.0,0.0,1.0,2.3480167266403487,0.9923733234570783
nebula,1.0,0.0,random,4,50,0,0.0,0.0,1.0,2.3600697623421336,0.991486637858339
nebula,1.0,0.0,random,5,50,0,0.0,0.0,0.5,2.3364652079376107,0.9842637428865567
nebula,1.0,0.0,random,6,50,0,0.0,0.0,1.0,2.2761043769066767,0.9922994329904982
nebula,1.0,0.0,random,7,50,0,0.0,0.0,1.0,2.231214449552755,0.9915790009415089
nebula,1.0,0.0,random,8,50,0,0.0,0.0,1.0,2.3908204383136162,0.9883646637807528
nebula,1.0,0.0,random,9,50,0,0.0,0.0,1.0,2.3661854214539586,0.9937402970884769
nebula,1.0,0.0,random,10,50,0,0.0,0.0,0.5,2.282144703434656,0.9855568260513752
nebula,1.0,0.1,random,1,50,3,0.0,0.0,1.0,2.375158604096278,0.9917267818746688
nebula,1.0,0.1,random,2,50,3,0.0,0.0,1.0,2.3329669122688537,0.9921331794407485
nebula,1.0,0.1,random,3,50,3,0.0,0.0,1.0,2.3060882216394556,0.9927797210231577
nebula,1.0,0.1,random,4,50,3,0.0,0.0,1.0,2.3911007832376403,0.9973588572627679
nebula,1.0,0.1,random,5,50,3,0.0,0.0,1.0,2.2972006044928763,0.9857969700677051
nebula,1.0,0.1,random,6,50,3,0.0,0.0,1.0,2.346170792184764,0.9966384252137785
nebula,1.0,0.1,random,7,50,3,0.0,0.0,1.0,2.2864233050730594,0.9956778491484594
nebula,1.0,0.1,random,8,50,3,0.0,0.0,1.0,2.33121642915967,0.9963982811974488
nebula,1.0,0.1,random,9,50,3,0.0,0.0,1.0,2.2428908487730244,0.9906923153427696
nebula,1.0,0.1,random,10,50,3,0.0,0.0,1.0,2.3028982845605874,0.9916528914080887
nebula,1.0,0.3,random,1,50,13,0.0,0.0,1.0,2.4264446057169673,0.9947008731537961
nebula,1.0,0.3,random,2,50,13,0.0,0.0,1.0,2.3726294045826846,0.9869976901493542
nebula,1.0,0.3,random,3,50,13,0.0,0.0,1.0,2.3455649711285615,0.9876442317317634
nebula,1.0,0.3,random,4,50,13,0.0,0.0,0.3333333333333333,2.385613770887902,0.9915029359223843
nebula,1.0,0.3,random,5,50,13,0.0,0.0,1.0,2.3661854214539586,0.9937402970884769
nebula,1.0,0.3,random,6,50,13,0.0,0.0,1.0,2.4361268070485274,0.9980792893117573
nebula,1.0,0.3,random,7,50,13,0.0,0.0,1.0,2.4083147990235627,0.9933338995223975
nebula,1.0,0.3,random,8,50,13,0.0,0.0,1.0,2.4211077926345035,0.9978391452954275
nebula,1.0,0.3,random,9,50,13,0.0,0.0,1.0,2.3911007832376403,0.9973588572627679
nebula,1.0,0.3,random,10,50,13,0.0,0.0,1.0,2.3480167266403487,0.9923733234570783
ldp,1.0,0.0,random,1,50,0,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.0,random,2,50,0,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.0,random,3,50,0,0.0,0.0,0.018867924528301886,409.53652562991965,72.42800285677451
ldp,1.0,0.0,random,4,50,0,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.0,random,5,50,0,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.0,random,6,50,0,0.0,0.0,0.018867924528301886,409.5379398281342,108.17904130446222
ldp,1.0,0.0,random,7,50,0,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.0,random,8,50,0,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.0,random,9,50,0,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.0,random,10,50,0,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,1,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,2,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,3,50,3,0.0,0.0,0.018867924528301886,409.5365256299196,72.42800285677451
ldp,1.0,0.1,random,4,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,5,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,6,50,3,0.0,0.0,0.018867924528301886,409.5379398281342,108.17904130446222
ldp,1.0,0.1,random,7,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,8,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,9,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.1,random,10,50,3,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.3,random,1,50,13,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.3,random,2,50,13,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.3,random,3,50,13,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.3,random,4,50,13,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.3,random,5,50,13,0.0,0.0,0.018867924528301886,409.5379398281342,108.17904130446222
ldp,1.0,0.3,random,6,50,13,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.3,random,7,50,13,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.3,random,8,50,13,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.3,random,9,50,13,0.0,0.0,0.0,409.54076820991315,0.999999999722163
ldp,1.0,0.3,random,10,50,13,0.0,0.0,0.0,409.54076820991315,0.999999999722163
eiffel,1.0,0.0,random,1,50,0,0.0,0.0,0.7142857142857143,2.322197235378597,0.8734388939582287
eiffel,1.0,0.0,random,2,50,0,0.0,0.0,0.8,2.314562593666458,0.8986907115268382
eiffel,1.0,0.0,random,3,50,0,0.0,0.0,0.8947368421052632,2.3051681066681446,0.9099586734739541
eiffel,1.0,0.0,random,4,50,0,0.0,0.0,0.8888888888888888,2.304604087473595,0.9201257032448398
eiffel,1.0,0.0,random,5,50,0,0.0,0.0,0.8823529411764706,2.2936869882353172,0.9223480811542787
eiffel,1.0,0.0,random,6,50,0,0.0,0.0,0.8823529411764706,2.2861758462550514,0.9229085407311186
eiffel,1.0,0.0,random,7,50,0,0.0,0.0,0.8888888888888888,2.295560933628206,0.9168874923593141
eiffel,1.0,0.0,random,8,50,0,0.0,0.0,0.8888888888888888,2.295560933628206,0.9168874923593141
eiffel,1.0,0.0,random,9,50,0,0.0,0.0,0.7,2.2961707253599415,0.8881837886731799
eiffel,1.0,0.0,random,10,50,0,0.0,0.0,0.5454545454545454,2.296606191753388,0.8305706200184017
eiffel,1.0,0.1,random,1,50,3,0.0,0.0,0.68,2.350957251844448,0.8738942673644201
eiffel,1.0,0.1,random,2,50,3,0.0,0.0,0.75,2.3432882878553376,0.8991460849330295
eiffel,1.0,0.1,random,3,50,3,0.0,0.0,0.75,2.333880888134611,0.9104140468801453
eiffel,1.0,0.1,random,4,50,3,0.0,0.0,0.7391304347826086,2.333323809504373,0.920581076651031
eiffel,1.0,0.1,random,5,50,3,0.0,0.0,0.6521739130434783,2.3224125387191656,0.92280345456047
eiffel,1.0,0.1,random,6,50,3,0.0,0.0,0.6521739130434783,2.314865006863251,0.9233639141373099
eiffel,1.0,0.1,random,7,50,3,0.0,0.0,0.7391304347826086,2.3242633241524078,0.9173428657655053
eiffel,1.0,0.1,random,8,50,3,0.0,0.0,0.7391304347826086,2.3242633241524078,0.9173428657655053
eiffel,1.0,0.1,random,9,50,3,0.0,0.0,0.6,2.324865587512534,0.8886391620793711
eiffel,1.0,0.1,random,10,50,3,0.0,0.0,0.48148148148148145,2.3252956801232827,0.8310259934245928
eiffel,1.0,0.3,random,1,50,13,0.0,0.0,0.35,2.386378008614729,0.893675376761047
eiffel,1.0,0.3,random,2,50,13,0.0,0.0,0.38461538461538464,2.3862941981239447,0.9183667347528167
eiffel,1.0,0.3,random,3,50,13,0.0,0.0,0.38461538461538464,2.376888722679293,0.9296346966999325
eiffel,1.0,0.3,random,4,50,13,0.0,0.0,0.35,2.3763417262674995,0.9398017264708182
eiffel,1.0,0.3,random,5,50,13,0.0,0.0,0.3333333333333333,2.3746999810502376,0.9375462658866033
eiffel,1.0,0.3,random,6,50,13,0.0,0.0,0.3333333333333333,2.3671501853494634,0.9381067254634432
eiffel,1.0,0.3,random,7,50,13,0.0,0.0,0.35,2.3765521244020715,0.9320856770916387
eiffel,1.0,0.3,random,8,50,13,0.0,0.0,0.35,2.3765521244020715,0.9320856770916387
eiffel,1.0,0.3,random,9,50,13,0.0,0.0,0.35,2.376888722679293,0.9172708622857129
eiffel,1.0,0.3,random,10,50,13,0.0,0.0,0.35,2.3773094035064095,0.8596576936309346
