baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error
nebula,1.0,0.0,random,1,20,0,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447
nebula,1.0,0.0,random,2,20,0,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447
nebula,1.0,0.0,random,3,20,0,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447
nebula,1.0,0.1,random,1,20,1,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447
nebula,1.0,0.1,random,2,20,1,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447
nebula,1.0,0.1,random,3,20,1,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447
ldp,1.0,0.0,random,1,20,0,0.0,0.0,0.0,259.7920969265049,0.9999999991122447
ldp,1.0,0.0,random,2,20,0,0.0,0.0,0.0,259.7920969265048,0.9999999991122447
ldp,1.0,0.0,random,3,20,0,0.0,0.0,0.0,259.7920969265049,0.9999999991122447
ldp,1.0,0.1,random,1,20,1,0.0,0.0,0.0,259.7920969265048,0.9999999991122447
ldp,1.0,0.1,random,2,20,1,0.0,0.0,0.0,259.7920969265049,0.9999999991122447
ldp,1.0,0.1,random,3,20,1,0.0,0.0,0.0,259.7920969265049,0.9999999991122447
eiffel,1.0,0.0,random,1,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357143
eiffel,1.0,0.0,random,2,20,0,0.0,0.0,0.3793103448275862,0.06928203230275509,0.6632653055357141
eiffel,1.0,0.0,random,3,20,0,0.0,0.0,0.2903225806451613,0.06782329983125268,0.6734693871530613
eiffel,1.0,0.1,random,1,20,1,0.0,0.0,0.3333333333333333,0.07211102550927978,0.6734693871632652
eiffel,1.0,0.1,random,2,20,1,0.0,0.0,0.3333333333333333,0.07211102550927978,0.6734693871632652
eiffel,1.0,0.1,random,3,20,1,0.0,0.0,0.2903225806451613,0.06928203230275509,0.6938775503979591
