baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error
nebula,1.0,0.0,random,1,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.0,random,2,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.0,random,3,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.0,random,4,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.0,random,5,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.0,random,6,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.0,random,7,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.0,random,8,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.0,random,9,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.0,random,10,50,0,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,1,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,2,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,3,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,4,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,5,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,6,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,7,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,8,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,9,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.1,random,10,50,3,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,1,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,2,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,3,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,4,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,5,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,6,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,7,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,8,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,9,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.2,random,10,50,6,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,1,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,2,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,3,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,4,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,5,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,6,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,7,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,8,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,9,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.3,random,10,50,13,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,1,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,2,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,3,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,4,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,5,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,6,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,7,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,8,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,9,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
nebula,1.0,0.5,random,10,50,31,0.0,0.0,0.0,0.31559467676119,0.9999999990818602
ldp,1.0,0.0,random,1,50,0,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.0,random,2,50,0,0.0,0.0,0.0,409.5329098204024,0.9999999990818602
ldp,1.0,0.0,random,3,50,0,0.0,0.0,0.0,409.5300813843502,30.240748623122915
ldp,1.0,0.0,random,4,50,0,0.0,0.0,0.010101010101010102,409.52583869364395,52.168784842284786
ldp,1.0,0.0,random,5,50,0,0.0,0.0,0.010101010101010102,409.5286671589986,5.870091102971793
ldp,1.0,0.0,random,6,50,0,0.0,0.0,0.010101010101010102,409.5272529287632,37.548410530264256
ldp,1.0,0.0,random,7,50,0,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.0,random,8,50,0,0.0,0.0,0.010101010101010102,409.52583869364395,35.11083972701283
ldp,1.0,0.0,random,9,50,0,0.0,0.0,0.0,409.5286671589986,44.86112293514342
ldp,1.0,0.0,random,10,50,0,0.0,0.0,0.010101010101010102,409.52442445364085,49.73121403903335
ldp,1.0,0.1,random,1,50,3,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.1,random,2,50,3,0.0,0.0,0.0,409.5329098204024,0.9999999990818602
ldp,1.0,0.1,random,3,50,3,0.0,0.0,0.010101010101010102,409.5272529287631,37.54841053026428
ldp,1.0,0.1,random,4,50,3,0.0,0.0,0.0,409.5286671589986,44.86112293514343
ldp,1.0,0.1,random,5,50,3,0.0,0.0,0.010101010101010102,409.5286671589986,5.870091102971793
ldp,1.0,0.1,random,6,50,3,0.0,0.0,0.010101010101010102,409.5272529287632,37.548410530264256
ldp,1.0,0.1,random,7,50,3,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.1,random,8,50,3,0.0,0.0,0.010101010101010102,409.52442445364085,49.73121403903335
ldp,1.0,0.1,random,9,50,3,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.1,random,10,50,3,0.0,0.0,0.010101010101010102,409.52442445364085,49.73121403903335
ldp,1.0,0.2,random,1,50,6,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.2,random,2,50,6,0.0,0.0,0.0,409.5329098204024,0.9999999990818602
ldp,1.0,0.2,random,3,50,6,0.0,0.0,0.010101010101010102,409.5272529287632,37.54841053026428
ldp,1.0,0.2,random,4,50,6,0.0,0.0,0.0,409.5286671589986,44.86112293514343
ldp,1.0,0.2,random,5,50,6,0.0,0.0,0.010101010101010102,409.5272529287632,20.490465414992308
ldp,1.0,0.2,random,6,50,6,0.0,0.0,0.010101010101010102,409.5272529287632,37.54841053026426
ldp,1.0,0.2,random,7,50,6,0.0,0.0,0.010101010101010102,409.5272529287632,20.490465414992308
ldp,1.0,0.2,random,8,50,6,0.0,0.0,0.0,409.5272529287632,59.481497247163944
ldp,1.0,0.2,random,9,50,6,0.0,0.0,0.010101010101010102,409.52442445364085,49.73121403903335
ldp,1.0,0.2,random,10,50,6,0.0,0.0,0.010101010101010102,409.52583869364395,35.11083972701283
ldp,1.0,0.3,random,1,50,13,0.0,0.0,0.0,409.5300813843502,30.240748623122897
ldp,1.0,0.3,random,2,50,13,0.0,0.0,0.0,409.5314956048181,15.620374311102385
ldp,1.0,0.3,random,3,50,13,0.0,0.0,0.010101010101010102,409.52583869364395,52.1687848422848
ldp,1.0,0.3,random,4,50,13,0.0,0.0,0.0,409.5314956048181,15.620374311102381
ldp,1.0,0.3,random,5,50,13,0.0,0.0,0.010101010101010102,409.5272529287632,37.548410530264256
