baseline,epsilon,malicious_rate,attack_type,n_rounds,n_users,avg_malicious_reject_rate,avg_false_reject_rate,avg_jaccard,avg_rmse,avg_relative_error,std_jaccard,std_rmse
nebula,1.0,0.0,random,10,50,0.0,0.0,0.0,0.31559467676119,0.9999999990818601,0.0,0.0
nebula,1.0,0.1,random,10,50,0.0,0.0,0.0,0.31559467676119,0.9999999990818601,0.0,0.0
nebula,1.0,0.2,random,10,50,0.0,0.0,0.0,0.31559467676119,0.9999999990818601,0.0,0.0
nebula,1.0,0.3,random,10,50,0.0,0.0,0.0,0.31559467676119,0.9999999990818601,0.0,0.0
nebula,1.0,0.5,random,10,50,0.0,0.0,0.0,0.31559467676119,0.9999999990818601,0.0,0.0
ldp,1.0,0.0,random,10,50,0.0,0.0,0.005050505050505051,409.52838430611416,31.701270904516104,0.005050505050505051,0.0024331306318530256
ldp,1.0,0.1,random,10,50,0.0,0.0,0.005050505050505051,409.52838430562576,31.701270904516104,0.005050505050505051,0.002513989008338407
ldp,1.0,0.2,random,10,50,0.0,0.0,0.0060606060606060615,409.52781861548516,33.650317446107145,0.004948464126834704,0.0022090936829313843
ldp,1.0,0.3,random,10,50,0.0,0.0,0.0030303030303030303,409.52923284474383,30.72725268373811,0.004628864338339232,0.002019922134466196
ldp,1.0,0.5,random,10,50,0.0,0.0,0.0030303030303030303,409.5295156868839,26.097383309806816,0.004628864338339232,0.0025456105168000583
eiffel,1.0,0.0,random,10,50,0.0,0.0,0.17305363065074464,0.29103141767065066,0.8999999991736741,0.017749891357161884,0.0008449429633477133
eiffel,1.0,0.1,random,10,50,0.0,0.0,0.16798842603131575,0.29212878205607506,0.9069023560693109,0.020883662488090184,0.0008801672762733423
eiffel,1.0,0.2,random,10,50,0.0,0.0,0.15164197996760856,0.2934952158741237,0.9118686860314182,0.016698198622779284,0.000747167318276357
eiffel,1.0,0.3,random,10,50,0.0,0.0,0.12518174905520557,0.2975213566520425,0.9246212112724873,0.01894062500322794,0.0010209485433372591
eiffel,1.0,0.5,random,10,50,0.0,0.0,0.08164806694529787,0.3050891578193692,0.9630050496203619,0.017587279167458548,0.0007783193869083704
