baseline,epsilon,malicious_rate,attack_type,round,n_users,n_malicious,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error,prover_ms,verifier_ms,proof_bytes
prio3,1.0,0.1,A3,1,50,3,0.0,0.0,0.352112676056338,0.3862641583165593,0.9106432934025459,6.314107560000002,2.17126867,167376
prio3,1.0,0.1,A3,2,50,3,0.0,0.0,0.3157894736842105,0.387556447501522,0.9202763209125077,6.314107560000002,2.17126867,167376
prio3,1.0,0.1,A3,3,50,3,0.0,0.0,0.21518987341772153,0.39293765408777004,0.9004696367932895,6.314107560000002,2.17126867,167376
prio3,1.0,0.1,A3,4,50,3,0.0,0.0,0.2727272727272727,0.39268307832143723,0.9026922230749216,6.314107560000002,2.17126867,167376
prio3,1.0,0.1,A3,5,50,3,0.0,0.0,0.2727272727272727,0.3901281840626232,0.9064820876405596,6.314107560000002,2.17126867,167376
prio3,1.0,0.1,A3,6,50,3,0.0,0.0,0.352112676056338,0.38548670534792767,0.9156837040574897,6.314107560000002,2.17126867,167376
prio3,1.0,0.1,A3,7,50,3,0.0,0.0,0.3157894736842105,0.39089640571384127,0.9056793353474911,6.314107560000002,2.17126867,167376
prio3,1.0,0.1,A3,8,50,3,0.0,0.0,0.24050632911392406,0.38987177379235854,0.9077708600276487,6.314107560000002,2.17126867,167376
prio3,1.0,0.1,A3,9,50,3,0.0,0.0,0.24324324324324326,0.39293765408777004,0.8948503707493939,6.314107560000002,2.17126867,167376
prio3,1.0,0.1,A3,10,50,3,0.0,0.0,0.26582278481012656,0.39446165846632036,0.8859108775324269,6.314107560000002,2.17126867,167376
rofl,1.0,0.1,A3,1,50,3,0.0,0.0,0.352112676056338,0.3862641583165593,0.9106432934025459,5.5560288,0.8985066999999997,608
rofl,1.0,0.1,A3,2,50,3,0.0,0.0,0.3157894736842105,0.387556447501522,0.9202763209125077,5.5560288,0.8985066999999997,608
rofl,1.0,0.1,A3,3,50,3,0.0,0.0,0.21518987341772153,0.39293765408777004,0.9004696367932895,5.5560288,0.8985066999999997,608
rofl,1.0,0.1,A3,4,50,3,0.0,0.0,0.2727272727272727,0.39268307832143723,0.9026922230749216,5.5560288,0.8985066999999997,608
rofl,1.0,0.1,A3,5,50,3,0.0,0.0,0.2727272727272727,0.3901281840626232,0.9064820876405596,5.5560288,0.8985066999999997,608
rofl,1.0,0.1,A3,6,50,3,0.0,0.0,0.352112676056338,0.38548670534792767,0.9156837040574897,5.5560288,0.8985066999999997,608
rofl,1.0,0.1,A3,7,50,3,0.0,0.0,0.3157894736842105,0.39089640571384127,0.9056793353474911,5.5560288,0.8985066999999997,608
rofl,1.0,0.1,A3,8,50,3,0.0,0.0,0.24050632911392406,0.38987177379235854,0.9077708600276487,5.5560288,0.8985066999999997,608
rofl,1.0,0.1,A3,9,50,3,0.0,0.0,0.24324324324324326,0.39293765408777004,0.8948503707493939,5.5560288,0.8985066999999997,608
rofl,1.0,0.1,A3,10,50,3,0.0,0.0,0.26582278481012656,0.39446165846632036,0.8859108775324269,5.5560288,0.8985066999999997,608
corgi,1.0,0.1,A3,1,50,3,0.0,0.0,0.02040816326530612,0.4282522621072771,0.9918195712015205,0.0,0.0,0
corgi,1.0,0.1,A3,2,50,3,0.0,0.0,0.05263157894736842,0.4240283009422838,0.9892147219229146,0.0,0.0,0
corgi,1.0,0.1,A3,3,50,3,0.0,0.0,0.02040816326530612,0.42778499272414877,0.9889908250258312,0.0,0.0,0
corgi,1.0,0.1,A3,4,50,3,0.0,0.0,0.0,0.4289522117905443,0.9870030574430227,0.0,0.0,0
corgi,1.0,0.1,A3,5,50,3,0.0,0.0,0.010101010101010102,0.4270831300812525,0.9849006109627172,0.0,0.0,0
corgi,1.0,0.1,A3,6,50,3,0.0,0.0,0.030927835051546393,0.425205832509386,0.9894440797215499,0.0,0.0,0
corgi,1.0,0.1,A3,7,50,3,0.0,0.0,0.02040816326530612,0.4268489194082609,0.9854740054578036,0.0,0.0,0
corgi,1.0,0.1,A3,8,50,3,0.0,0.0,0.05263157894736842,0.4228474902373195,0.9826452592810788,0.0,0.0,0
corgi,1.0,0.1,A3,9,50,3,0.0,0.0,0.020833333333333332,0.4259107887809371,0.9809960674958869,0.0,0.0,0
corgi,1.0,0.1,A3,10,50,3,0.0,0.0,0.010101010101010102,0.4289522117905443,0.9835626904765662,0.0,0.0,0
