baseline,epsilon,malicious_rate,attack_type,n_rounds,n_users,avg_malicious_reject_rate,avg_false_reject_rate,avg_jaccard,avg_rmse,avg_relative_error,std_jaccard,std_rmse,prover_ms,verifier_ms,proof_bytes
nebula,1.0,0.0,A1,3,20,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,0.0,0.0,,,
nebula,1.0,0.1,A1,3,20,0.0,0.0,0.0,0.09055385138137417,0.9999999991122447,0.0,0.0,,,
ldp,1.0,0.0,A1,3,20,0.0,0.0,0.0,259.7920969265049,0.9999999991122447,0.0,3.2818563180946156e-14,,,
ldp,1.0,0.1,A1,3,20,0.0,0.0,0.0,259.7920969265049,0.9999999991122447,0.0,3.2818563180946156e-14,,,
eiffel,1.0,0.0,A1,3,20,0.0,0.0,0.3496477567667779,0.06879578814558762,0.6666666660748298,0.04194923433068134,0.0006876530816909113,,,
eiffel,1.0,0.1,A1,3,20,0.0,0.0,0.31899641577060933,0.07116802777377156,0.6802721082414965,0.0202754632598293,0.0013336001868428547,,,
risefl,1.0,0.0,A1,3,20,0.0,0.0,0.3496477567667779,0.06879578814558762,0.6666666660748298,0.04194923433068134,0.0006876530816909113,,,
risefl,1.0,0.1,A1,3,20,0.0,0.0,0.31899641577060933,0.07116802777377156,0.6802721082414965,0.0202754632598293,0.0013336001868428547,,,
prio3,1.0,0.0,A1,3,20,0.0,0.0,0.3496477567667779,0.06879578814558762,0.6666666660748298,0.04194923433068134,0.0006876530816909113,2.33593209,0.9195729099999995,167376
prio3,1.0,0.1,A1,3,20,0.0,0.0,0.31899641577060933,0.07116802777377156,0.6802721082414965,0.0202754632598293,0.0013336001868428547,2.33593209,0.9195729099999995,167376
rofl,1.0,0.0,A1,3,20,0.0,0.0,0.3496477567667779,0.06879578814558762,0.6666666660748298,0.04194923433068134,0.0006876530816909113,2.7331738100000007,0.43658957999999987,608
rofl,1.0,0.1,A1,3,20,0.6666666666666666,0.0,0.31800766283524906,0.07069395193290624,0.6802721082414965,0.010836885535426003,0.001537907704623967,2.7331738100000007,0.43658957999999987,608
corgi,1.0,0.0,A1,3,20,0.0,0.0,0.02609086819613135,0.09898119863268799,0.9897959174846939,0.021489106455233803,0.0016499446161499873,0.0,0.0,0
corgi,1.0,0.1,A1,3,20,0.0,0.0,0.0,0.0993265299037757,0.9659863937040817,0.0,0.0009524305439331144,0.0,0.0,0
