round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error
1,1379087843,50,49,1,8,0.0,0.0238,49,49,3897,true,225,""
2,1379124922,50,48,2,5,0.0,0.0444,48,48,3783,true,93,""
3,1379162099,50,48,2,4,0.0,0.0435,48,48,3810,true,1,""
4,1379198257,50,49,1,3,0.0,0.0213,49,49,3835,true,350,""
5,1379235333,50,49,1,2,0.0,0.0208,49,49,3825,true,32,""
6,1379271774,50,49,1,6,0.0,0.0227,49,49,3923,true,302,""
7,1379308298,50,49,1,6,0.0,0.0227,49,49,3872,true,2,""
8,1379345036,50,49,1,2,0.0,0.0208,49,49,3860,true,3,""
9,1379381331,50,49,1,4,0.0,0.0217,49,49,3835,true,332,""
10,1379417727,50,49,1,5,0.0,0.0222,49,49,3865,true,101,""
11,1379454263,50,50,0,5,0.0,0.0,50,50,3958,true,320,""
12,1379490838,50,50,0,3,0.0,0.0,50,50,3893,true,1,""
13,1379527345,50,49,1,2,0.0,0.0208,49,49,3902,true,150,""
14,1379563407,50,49,1,6,0.0,0.0227,49,49,3898,true,105,""
15,1379599658,50,49,1,9,0.0,0.0244,49,49,3879,true,336,""
16,1379636106,50,49,1,5,0.0,0.0222,49,49,3871,true,31,""
17,1379672114,50,49,1,4,0.0,0.0217,49,49,3863,true,94,""
18,1379708278,50,49,1,5,0.0,0.0222,49,49,3876,true,12,""
19,1379744492,50,49,1,4,0.0,0.0217,49,49,3863,true,317,""
20,1379780784,50,49,1,5,0.0,0.0222,49,49,3856,true,7,""
21,1379817413,50,49,1,8,0.0,0.0238,49,49,3866,true,6,""
22,1379853543,50,49,1,8,0.0,0.0238,49,49,3848,true,1,""
23,1379889588,50,49,1,4,0.0,0.0217,49,49,3876,true,311,""
24,1379925847,50,50,0,6,0.0,0.0,50,50,3920,true,307,""
25,1379962388,50,48,2,7,0.0,0.0465,48,48,3786,true,13,""
26,1379998265,50,48,2,4,0.0,0.0435,48,48,3797,true,132,""
27,1380034534,50,48,2,4,0.0,0.0435,48,48,3789,true,52,""
28,1380070305,50,48,2,2,0.0,0.0417,48,48,3820,true,56,""
29,1380106307,50,48,2,1,0.0,0.0408,48,48,3849,true,345,""
30,1380142282,50,48,2,8,0.0,0.0476,48,48,3790,true,1,""
