epsilon,mode,malicious_rate,avg_malicious_reject_rate,avg_false_reject_rate,avg_jaccard,std_jaccard,avg_rmse,std_rmse,avg_cells_kept_post,source_summary_csv
0.1,full,0.1,1.0,0.01135,0.1554006968641115,0.1556536120988342,3.7789544244842794,1.2252065009228712,51.6,utility_sweep_20260421_133616_with_jaccard_summary.csv
0.1,ldp,0.1,0.0,0.0,0.0,0.0,2.5565993037627153,0.0,0.0,utility_sweep_20260421_133616_with_jaccard_summary.csv
0.1,nebula,0.1,0.0,0.0,0.1,0.3,2.5332163955718405,0.07014872457262462,0.1,utility_sweep_20260421_133616_with_jaccard_summary.csv
0.1,no_integ,0.1,0.0,0.0,0.3683889201732591,0.04267684119465069,5.867323985531767,0.15937750348494353,118.4,utility_sweep_20260421_133616_with_jaccard_summary.csv
0.5,full,0.1,1.0,0.01135,0.21113360323886637,0.2132263213392107,3.712960315147169,1.1564424200418222,63.4,utility_sweep_20260421_143258_with_jaccard_summary.csv
0.5,ldp,0.1,0.0,0.0,0.0,0.0,2.5565993037627153,0.0,0.0,utility_sweep_20260421_143258_with_jaccard_summary.csv
0.5,nebula,0.1,0.0,0.0,1.0,0.0,2.4476268860852093,0.02165966493418733,1.0,utility_sweep_20260421_143258_with_jaccard_summary.csv
0.5,no_integ,0.1,0.0,0.0,0.4479374110953058,0.017600219596558726,5.668623518037744,0.023532492618860056,142.9,utility_sweep_20260421_143258_with_jaccard_summary.csv
1.0,full,0.1,1.0,0.01135,0.2068825910931174,0.20713913279413118,3.716370837027585,1.1597764062573115,68.3,utility_sweep_20260421_152925_with_jaccard_summary.csv
1.0,ldp,0.1,0.0,0.0,0.0,0.0,2.5565993037627153,0.0,0.0,utility_sweep_20260421_152925_with_jaccard_summary.csv
1.0,nebula,0.1,0.0,0.0,1.0,0.0,2.3873162198388096,0.02154879770002452,1.0,utility_sweep_20260421_152925_with_jaccard_summary.csv
1.0,no_integ,0.1,0.0,0.0,0.45561877667140827,0.011522048364153641,5.654336894274586,0.011567759952699905,149.8,utility_sweep_20260421_152925_with_jaccard_summary.csv
2.0,full,0.1,1.0,0.01135,0.21072327388116863,0.21138707696931458,3.7139255445386565,1.1573331551462818,72.4,utility_sweep_20260421_162606_with_jaccard_summary.csv
2.0,ldp,0.1,0.0,0.0,0.0,0.0,2.5565993037627153,0.0,0.0,utility_sweep_20260421_162606_with_jaccard_summary.csv
2.0,nebula,0.1,0.0,0.0,1.0,0.0,2.324740459858379,0.015447462739257015,1.0,utility_sweep_20260421_162606_with_jaccard_summary.csv
2.0,no_integ,0.1,0.0,0.0,0.44025604551920344,0.01920341394025607,5.653941543415817,0.009880202024550266,159.9,utility_sweep_20260421_162606_with_jaccard_summary.csv
5.0,full,0.1,1.0,0.01135,0.19595141700404858,0.19622225068324242,3.713369893917674,1.1567747528829688,72.9,utility_sweep_20260421_172256_with_jaccard_summary.csv
5.0,ldp,0.1,0.0,0.0,0.0,0.0,2.5565993037627153,0.0,0.0,utility_sweep_20260421_172256_with_jaccard_summary.csv
5.0,nebula,0.1,0.0,0.0,1.0,0.0,2.2945886305875987,0.006192229033220836,1.0,utility_sweep_20260421_172256_with_jaccard_summary.csv
5.0,no_integ,0.1,0.0,0.0,0.4479374110953058,0.017600219596558726,5.654338968845798,0.0044250230569409825,161.3,utility_sweep_20260421_172256_with_jaccard_summary.csv
