dataset,vehicle_id,distance_m,fine_reference_fee,coarse_protocol_fee,relative_error
rome,156,3554.1,17770.37,17770.37,-0.0
rome,156,1573.1,7865.26,7865.26,-0.0
rome,156,2615.0,13075.15,13075.15,0.0
rome,156,2375.6,11877.77,11877.77,0.0
rome,156,2498.7,12493.48,12493.48,0.0
rome,156,5043.0,25214.79,25214.79,-0.0
rome,156,1033.6,5167.87,5167.87,-0.0
rome,156,1200.2,6000.79,6000.79,0.0
rome,156,1903.5,9517.49,9517.49,0.0
rome,156,1490.5,7452.4,7452.4,-0.0
rome,156,850.1,4250.7,4250.7,0.0
rome,156,216.5,1082.5,1082.5,-0.0
rome,156,1931.9,9659.38,9659.38,-0.0
rome,156,1115.8,5578.78,5578.78,0.0
rome,156,210.3,1051.72,1051.72,0.0
rome,156,1763.6,8818.07,8818.07,-0.0
rome,156,2193.0,10965.18,10965.18,-0.0
rome,156,761.6,3808.14,3808.14,0.0
rome,156,606.5,3032.65,3032.65,-0.0
rome,156,592.5,2962.65,2962.65,0.0
rome,156,2083.9,10419.3,10419.3,0.0
rome,156,201.6,1008.19,1008.19,-0.0
rome,156,2434.3,12171.4,12171.4,-0.0
rome,156,539.9,2699.52,2699.52,-0.0
rome,156,6561.8,32808.92,32808.92,0.0
rome,156,2182.3,10911.48,10911.48,0.0
rome,156,919.3,4596.63,4596.63,0.0
rome,156,8606.2,43030.77,43030.77,-0.0
rome,156,1925.9,9629.7,9629.7,-0.0
rome,156,675.8,3378.81,3378.81,-0.0
rome,156,2782.4,13912.04,13912.04,0.0
rome,156,209.1,1045.5,1045.5,0.0
rome,156,1639.7,8198.36,8198.36,-0.0
rome,156,1934.9,9674.41,9674.41,-0.0
rome,156,899.1,4495.54,4495.54,0.0
rome,156,313.4,1567.2,1567.2,0.0
rome,156,1213.7,6068.47,6068.47,0.0
rome,156,2102.6,10513.2,10513.2,0.0
rome,156,2047.6,10237.97,10237.97,0.0
rome,156,616.4,3081.9,3081.9,0.0
rome,156,1229.3,6146.65,6146.65,0.0
rome,156,513.0,2564.98,2564.98,0.0
rome,156,1164.4,5822.04,5822.04,0.0
rome,156,2538.4,12692.01,12692.01,-0.0
rome,156,402.3,2011.73,2011.73,0.0
rome,156,1389.8,6949.19,6949.19,0.0
rome,156,1972.4,9861.76,9861.76,0.0
rome,156,2346.6,11733.24,11733.24,0.0
rome,156,1218.0,6090.05,6090.05,-0.0
rome,156,247.3,1236.7,1236.7,0.0
rome,156,2686.9,13434.63,13434.63,0.0
rome,156,3025.9,15129.34,15129.34,0.0
rome,156,582.3,2911.48,2911.48,0.0
rome,156,624.2,3120.95,3120.95,0.0
rome,156,1729.3,8646.36,8646.36,-0.0
rome,156,433.7,2168.72,2168.72,-0.0
rome,156,1962.6,9812.97,9812.97,0.0
rome,156,1587.6,7937.91,7937.91,0.0
rome,156,1538.9,7694.59,7694.59,-0.0
rome,156,1659.6,8297.88,8297.88,0.0
rome,156,305.2,1526.03,1526.03,0.0
rome,156,1051.1,5255.26,5255.26,0.0
rome,156,2200.9,11004.68,11004.68,-0.0
rome,156,1494.2,7470.79,7470.79,-0.0
rome,156,1735.6,8677.96,8677.96,-0.0
rome,156,3379.2,16896.13,16896.13,0.0
rome,156,1753.7,8768.54,8768.54,-0.0
rome,156,2764.1,13820.56,13820.56,0.0
rome,156,329.1,1645.43,1645.43,0.0
rome,156,1426.9,7134.72,7134.72,-0.0
rome,156,3316.6,16583.16,16583.16,0.0
rome,156,1614.6,8073.19,8073.19,-0.0
rome,156,1948.8,9744.08,9744.08,-0.0
rome,156,996.6,4982.95,4982.95,0.0
rome,156,1814.8,9074.21,9074.21,0.0
rome,156,2945.6,14728.2,14728.2,-0.0
rome,156,1813.1,9065.27,9065.27,-0.0
rome,156,2759.5,13797.45,13797.45,-0.0
rome,156,640.1,3200.69,3200.69,0.0
rome,156,834.8,4174.21,4174.21,-0.0
rome,156,1029.1,5145.33,5145.33,-0.0
rome,156,1900.6,9502.93,9502.93,0.0
rome,156,2154.4,10772.18,10772.18,-0.0
rome,156,273.5,1367.75,1367.75,-0.0
rome,156,5289.9,26449.36,26449.36,-0.0
rome,156,1829.4,9146.81,9146.81,-0.0
rome,156,2882.8,14414.07,14414.07,-0.0
rome,156,283.2,1415.9,1415.9,0.0
rome,156,2302.4,11512.07,11512.07,-0.0
rome,156,1137.7,5688.48,5688.48,-0.0
rome,156,2336.0,11679.99,11679.99,0.0
rome,156,3808.6,19042.88,19042.88,0.0
rome,156,461.5,2307.51,2307.51,0.0
rome,156,1707.0,8535.05,8535.05,0.0
rome,156,1155.2,5775.83,5775.83,0.0
rome,156,2285.7,11428.66,11428.66,-0.0
rome,156,1816.6,9082.91,9082.91,-0.0
rome,156,1673.6,8368.16,8368.16,0.0
rome,156,278.0,1389.78,1389.78,0.0
rome,156,1537.7,7688.41,7688.41,-0.0
rome,156,1414.8,7074.1,7074.1,0.0
rome,156,3371.4,16857.05,16857.05,0.0
rome,156,3224.6,16122.9,16122.9,-0.0
rome,156,2607.5,13037.54,13037.54,0.0
rome,156,1762.2,8810.97,8810.97,0.0
rome,156,1780.4,8902.01,8902.01,0.0
rome,156,226.1,1130.67,1130.67,-0.0
rome,156,328.4,1641.93,1641.93,0.0
rome,156,4832.2,24160.9,24160.9,0.0
rome,156,2465.8,12328.9,12328.9,-0.0
rome,156,1873.1,9365.49,9365.49,0.0
rome,156,2124.7,10623.61,10623.61,-0.0
rome,156,849.4,4246.95,4246.95,0.0
rome,156,331.9,1659.67,1659.67,-0.0
rome,156,2816.7,14083.64,14083.64,-0.0
rome,156,4291.7,21458.39,21458.39,-0.0
rome,156,1288.0,6439.76,6439.76,0.0
rome,156,2140.8,10703.77,10703.77,-0.0
rome,156,529.1,2645.37,2645.37,0.0
rome,156,925.8,4628.77,4628.77,0.0
rome,156,3009.2,15045.84,15045.84,0.0
rome,156,476.2,2381.13,2381.13,0.0
rome,156,1537.9,7689.54,7689.54,0.0
rome,156,3478.4,17392.19,17392.19,0.0
rome,156,1869.7,9348.49,9348.49,0.0
rome,156,718.8,3593.98,3593.98,0.0
rome,156,5351.6,26757.94,26757.94,-0.0
rome,156,1485.0,7425.03,7425.03,0.0
rome,156,2829.5,14147.67,14147.67,0.0
rome,156,1226.1,6130.73,6130.73,0.0
rome,156,448.0,2240.13,2240.13,0.0
rome,156,9848.9,49244.38,49244.38,-0.0
rome,156,451.9,2259.74,2259.74,0.0
rome,156,387.3,1936.37,1936.37,-0.0
rome,156,1900.2,9500.98,9500.98,0.0
rome,156,4927.5,24637.6,24637.6,-0.0
rome,156,618.7,3093.66,3093.66,0.0
rome,156,379.1,1895.7,1895.7,0.0
rome,156,366.7,1833.69,1833.69,0.0
rome,156,1680.9,8404.5,8404.5,0.0
rome,156,2866.4,14332.06,14332.06,0.0
rome,156,1933.7,9668.49,9668.49,0.0
rome,156,2159.6,10798.24,10798.24,0.0
rome,156,2299.1,11495.67,11495.67,-0.0
rome,156,2103.2,10515.78,10515.78,0.0
rome,156,262.9,1314.57,1314.57,0.0
rome,156,2322.0,11609.92,11609.92,0.0
rome,156,257.3,1286.69,1286.69,0.0
rome,156,1956.7,9783.71,9783.71,0.0
rome,156,3094.5,15472.27,15472.27,0.0
rome,156,2412.7,12063.7,12063.7,0.0
rome,156,2944.5,14722.43,14722.43,0.0
rome,156,2937.9,14689.51,14689.51,-0.0
rome,156,2790.6,13953.22,13953.22,0.0
rome,156,1923.2,9615.98,9615.98,-0.0
rome,156,917.0,4585.11,4585.11,-0.0
rome,156,2001.2,10006.14,10006.14,0.0
rome,156,1681.2,8406.0,8406.0,-0.0
rome,156,3238.8,16193.97,16193.97,-0.0
rome,156,1700.7,8503.7,8503.7,0.0
rome,156,2734.7,13673.53,13673.53,-0.0
rome,156,2263.1,11315.35,11315.35,-0.0
rome,156,962.4,4812.01,4812.01,0.0
rome,156,1972.8,9863.93,9863.93,0.0
rome,156,1322.2,6611.17,6611.17,0.0
rome,156,1534.1,7670.75,7670.75,0.0
rome,156,1284.5,6422.68,6422.68,0.0
rome,156,243.4,1217.2,1217.2,0.0
rome,156,1382.3,6911.6,6911.6,0.0
rome,156,1840.9,9204.41,9204.41,-0.0
rome,156,1690.0,8450.23,8450.23,-0.0
rome,156,1221.1,6105.51,6105.51,0.0
rome,156,331.0,1655.2,1655.2,-0.0
rome,156,1733.6,8668.21,8668.21,0.0
rome,156,1666.1,8330.52,8330.52,0.0
rome,156,1918.9,9594.63,9594.63,0.0
rome,156,436.2,2181.02,2181.02,0.0
rome,156,5817.4,29087.24,29087.24,-0.0
rome,156,1205.3,6026.34,6026.34,-0.0
rome,156,4035.3,20176.4,20176.4,0.0
rome,156,807.6,4037.82,4037.82,-0.0
rome,156,4114.6,20573.07,20573.07,0.0
rome,156,2051.1,10255.27,10255.27,-0.0
rome,156,3531.2,17656.01,17656.01,0.0
rome,156,2701.9,13509.63,13509.63,-0.0
rome,156,432.9,2164.69,2164.69,0.0
rome,156,1894.0,9469.79,9469.79,0.0
rome,156,3418.8,17094.04,17094.04,0.0
rome,156,3684.4,18421.79,18421.79,0.0
rome,156,2340.0,11699.95,11699.95,0.0
rome,156,3416.5,17082.51,17082.51,-0.0
rome,156,2102.6,10512.94,10512.94,-0.0
rome,156,1329.2,6645.98,6645.98,0.0
rome,156,351.1,1755.53,1755.53,0.0
rome,156,2609.5,13047.71,13047.71,-0.0
rome,156,2488.0,12439.79,12439.79,0.0
rome,156,1321.7,6608.55,6608.55,0.0
rome,156,3007.2,15036.14,15036.14,0.0
rome,156,440.8,2204.12,2204.12,0.0
rome,156,426.3,2131.62,2131.62,0.0
rome,156,2058.0,10290.19,10290.19,-0.0
rome,156,2278.1,11390.4,11390.4,0.0
rome,156,1430.6,7152.97,7152.97,0.0
rome,156,2119.6,10598.06,10598.06,0.0
rome,156,3847.6,19238.02,19238.02,-0.0
rome,156,2144.3,10721.54,10721.54,-0.0
rome,156,2599.8,12999.09,12999.09,0.0
rome,156,1547.1,7735.4,7735.4,0.0
rome,156,2490.6,12453.12,12453.12,0.0
rome,156,2293.3,11466.52,11466.52,-0.0
rome,156,3272.8,16364.05,16364.05,0.0
rome,156,1105.4,5526.82,5526.82,0.0
rome,156,323.6,1617.81,1617.81,0.0
rome,156,2620.4,13102.1,13102.1,-0.0
rome,156,1593.3,7966.43,7966.43,-0.0
rome,156,4243.4,21216.99,21216.99,0.0
rome,156,644.8,3224.23,3224.23,0.0
rome,156,313.3,1566.46,1566.46,-0.0
rome,156,1467.3,7336.61,7336.61,0.0
rome,156,804.4,4022.12,4022.12,-0.0
rome,156,435.4,2176.86,2176.86,0.0
rome,156,2351.3,11756.34,11756.34,-0.0
rome,156,1874.8,9374.03,9374.03,0.0
rome,156,3392.1,16960.55,16960.55,0.0
rome,156,266.8,1334.17,1334.17,0.0
rome,156,530.6,2653.07,2653.07,0.0
rome,156,365.3,1826.61,1826.61,0.0
rome,156,2521.4,12606.82,12606.82,0.0
rome,156,2460.4,12302.12,12302.12,0.0
rome,187,2988.0,14939.88,14939.88,0.0
rome,187,810.3,4051.48,4051.48,0.0
rome,187,1303.3,6516.53,6516.53,0.0
rome,187,227.0,1135.24,1135.24,0.0
rome,187,414.5,2072.61,2072.61,0.0
rome,187,6082.8,30414.03,30414.03,-0.0
rome,187,559.2,2796.12,2796.12,-0.0
rome,187,2000.9,10004.41,10004.41,0.0
rome,187,1044.4,5222.2,5222.2,0.0
rome,187,4652.2,23261.23,23261.23,-0.0
rome,187,1344.1,6720.35,6720.35,0.0
rome,187,1263.1,6315.72,6315.72,0.0
rome,187,910.2,4550.8,4550.8,0.0
rome,187,1760.4,8801.86,8801.86,0.0
rome,187,462.5,2312.31,2312.31,0.0
rome,187,331.8,1659.08,1659.08,-0.0
rome,187,1386.3,6931.39,6931.39,-0.0
rome,187,1188.2,5941.01,5941.01,-0.0
rome,187,1120.4,5601.82,5601.82,0.0
rome,187,1392.9,6964.53,6964.53,0.0
rome,187,1432.4,7162.19,7162.19,0.0
rome,187,2046.5,10232.55,10232.55,0.0
rome,187,1561.4,7806.75,7806.75,0.0
rome,187,277.6,1387.91,1387.91,0.0
rome,187,328.0,1639.82,1639.82,-0.0
rome,187,688.3,3441.68,3441.68,0.0
rome,187,616.0,3079.85,3079.85,0.0
rome,187,2432.0,12159.78,12159.78,0.0
rome,187,1015.5,5077.67,5077.67,-0.0
rome,187,2033.8,10168.98,10168.98,0.0
rome,187,2749.4,13746.76,13746.76,0.0
rome,187,646.9,3234.45,3234.45,0.0
rome,187,1660.8,8303.79,8303.79,0.0
rome,187,1785.2,8925.89,8925.89,-0.0
rome,187,333.7,1668.63,1668.63,0.0
rome,187,974.5,4872.68,4872.68,-0.0
rome,187,539.9,2699.64,2699.64,-0.0
rome,187,463.6,2318.09,2318.09,0.0
rome,187,267.6,1338.09,1338.09,0.0
rome,187,1570.3,7851.58,7851.58,-0.0
rome,187,1541.7,7708.56,7708.56,-0.0
rome,187,2853.2,14266.16,14266.16,-0.0
rome,187,2684.8,13423.87,13423.87,0.0
rome,187,500.3,2501.31,2501.31,0.0
rome,187,2365.0,11825.07,11825.07,-0.0
rome,187,1205.2,6026.24,6026.24,-0.0
rome,187,3414.9,17074.67,17074.67,0.0
