branch,dataset,len_claimed_fixes,savings_ratio,skip_reason
all_on,geolife:000:p0,25,0.0,
no_odometer,geolife:000:p0,25,1.0,
no_continuity,geolife:000:p0,25,0.0,
no_continuity_osnma_lifted,geolife:000:p0,25,1.0,
no_cadence,geolife:000:p0,5,1.0,
all_on,geolife:001:p0,25,0.0,
no_odometer,geolife:001:p0,25,0.0,
no_continuity,geolife:001:p0,25,0.0,
no_continuity_osnma_lifted,geolife:001:p0,25,0.0,
no_cadence,geolife:001:p0,4,0.0,
all_on,geolife:002:p0,25,0.0,
no_odometer,geolife:002:p0,25,1.0,
no_continuity,geolife:002:p0,25,0.0,
no_continuity_osnma_lifted,geolife:002:p0,25,1.0,
no_cadence,geolife:002:p0,4,1.0,
all_on,geolife:003:p0,25,0.0,
no_odometer,geolife:003:p0,25,1.0,
no_continuity,geolife:003:p0,25,0.0,
no_continuity_osnma_lifted,geolife:003:p0,25,1.0,
no_cadence,geolife:003:p0,5,1.0,
all_on,geolife:004:p0,25,0.0,
no_odometer,geolife:004:p0,25,1.0,
no_continuity,geolife:004:p0,25,0.0,
no_continuity_osnma_lifted,geolife:004:p0,25,1.0,
no_cadence,geolife:004:p0,5,1.0,
all_on,geolife:005:p0,25,0.0,
no_odometer,geolife:005:p0,25,1.0,
no_continuity,geolife:005:p0,25,0.0,
no_continuity_osnma_lifted,geolife:005:p0,25,1.0,
no_cadence,geolife:005:p0,4,1.0,
all_on,geolife:006:p0,25,0.0,
no_odometer,geolife:006:p0,25,1.0,
no_continuity,geolife:006:p0,25,0.0,
no_continuity_osnma_lifted,geolife:006:p0,25,1.0,
no_cadence,geolife:006:p0,4,1.0,
all_on,geolife:007:p0,25,0.0,
no_odometer,geolife:007:p0,25,1.0,
no_continuity,geolife:007:p0,25,0.0,
no_continuity_osnma_lifted,geolife:007:p0,25,1.0,
no_cadence,geolife:007:p0,4,1.0,
all_on,geolife:008:p0,25,0.0,
no_odometer,geolife:008:p0,25,1.0,
no_continuity,geolife:008:p0,25,0.0,
no_continuity_osnma_lifted,geolife:008:p0,25,0.9966744263385434,
no_cadence,geolife:008:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:009:p0,25,0.0,
no_odometer,geolife:009:p0,25,1.0,
no_continuity,geolife:009:p0,25,0.0,
no_continuity_osnma_lifted,geolife:009:p0,25,1.0,
no_cadence,geolife:009:p0,4,1.0,
all_on,geolife:010:p0,25,0.0,
no_odometer,geolife:010:p0,25,1.0,
no_continuity,geolife:010:p0,25,0.0,
no_continuity_osnma_lifted,geolife:010:p0,25,1.0,
no_cadence,geolife:010:p0,4,1.0,
all_on,geolife:011:p0,25,0.0,
no_odometer,geolife:011:p0,25,1.0,
no_continuity,geolife:011:p0,25,0.0,
no_continuity_osnma_lifted,geolife:011:p0,25,0.8214285714285714,
no_cadence,geolife:011:p0,4,0.10714285714285714,
all_on,geolife:012:p0,25,0.0,
no_odometer,geolife:012:p0,25,1.0,
no_continuity,geolife:012:p0,25,0.0,
no_continuity_osnma_lifted,geolife:012:p0,25,1.0,
no_cadence,geolife:012:p0,4,1.0,
all_on,geolife:013:p0,25,0.0,
no_odometer,geolife:013:p0,25,1.0,
no_continuity,geolife:013:p0,25,0.0,
no_continuity_osnma_lifted,geolife:013:p0,25,0.9966898378020523,
no_cadence,geolife:013:p0,4,0.9834491890102615,
all_on,geolife:014:p0,25,0.0,
no_odometer,geolife:014:p0,25,1.0,
no_continuity,geolife:014:p0,25,0.0,
no_continuity_osnma_lifted,geolife:014:p0,25,1.0,
no_cadence,geolife:014:p0,5,1.0,
all_on,geolife:015:p0,25,0.0,
no_odometer,geolife:015:p0,25,1.0,
no_continuity,geolife:015:p0,25,0.0,
no_continuity_osnma_lifted,geolife:015:p0,25,1.0,
no_cadence,geolife:015:p0,5,1.0,
all_on,geolife:016:p0,25,0.0,
no_odometer,geolife:016:p0,25,1.0,
no_continuity,geolife:016:p0,25,0.0,
no_continuity_osnma_lifted,geolife:016:p0,25,1.0,
no_cadence,geolife:016:p0,5,1.0,
all_on,geolife:017:p0,25,0.0,
no_odometer,geolife:017:p0,25,1.0,
no_continuity,geolife:017:p0,25,0.0,
no_continuity_osnma_lifted,geolife:017:p0,25,0.9974879105696163,
no_cadence,geolife:017:p0,4,0.9974879105696163,
all_on,geolife:018:p0,25,0.0,
no_odometer,geolife:018:p0,25,1.0,
no_continuity,geolife:018:p0,25,0.0,
no_continuity_osnma_lifted,geolife:018:p0,25,1.0,
no_cadence,geolife:018:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:019:p0,25,0.0,
no_odometer,geolife:019:p0,25,1.0,
no_continuity,geolife:019:p0,25,0.0,
no_continuity_osnma_lifted,geolife:019:p0,25,0.8095238095238095,
no_cadence,geolife:019:p0,4,0.8095238095238095,
all_on,geolife:021:p0,25,0.0,
no_odometer,geolife:021:p0,25,1.0,
no_continuity,geolife:021:p0,25,0.0,
no_continuity_osnma_lifted,geolife:021:p0,25,1.0,
no_cadence,geolife:021:p0,5,1.0,
all_on,geolife:022:p0,25,0.0,
no_odometer,geolife:022:p0,25,1.0,
no_continuity,geolife:022:p0,25,0.0,
no_continuity_osnma_lifted,geolife:022:p0,25,1.0,
no_cadence,geolife:022:p0,6,1.0,
all_on,geolife:023:p0,25,0.0,
no_odometer,geolife:023:p0,25,1.0,
no_continuity,geolife:023:p0,25,0.0,
no_continuity_osnma_lifted,geolife:023:p0,25,0.9974949899799599,
no_cadence,geolife:023:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:024:p0,25,0.0,
no_odometer,geolife:024:p0,25,1.0,
no_continuity,geolife:024:p0,25,0.0,
no_continuity_osnma_lifted,geolife:024:p0,25,1.0,
no_cadence,geolife:024:p0,4,1.0,
all_on,geolife:025:p0,25,0.0,
no_odometer,geolife:025:p0,25,1.0,
no_continuity,geolife:025:p0,25,0.0,
no_continuity_osnma_lifted,geolife:025:p0,25,0.6632527652601393,
no_cadence,geolife:025:p0,5,0.29864809504301515,
all_on,geolife:026:p0,25,0.0,
no_odometer,geolife:026:p0,25,1.0,
no_continuity,geolife:026:p0,25,0.0,
no_continuity_osnma_lifted,geolife:026:p0,25,0.7938144329896907,
no_cadence,geolife:026:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:027:p0,25,0.0,
no_odometer,geolife:027:p0,25,1.0,
no_continuity,geolife:027:p0,25,0.0,
no_continuity_osnma_lifted,geolife:027:p0,25,1.0,
no_cadence,geolife:027:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:028:p0,25,0.0,
no_odometer,geolife:028:p0,25,1.0,
no_continuity,geolife:028:p0,25,0.0,
no_continuity_osnma_lifted,geolife:028:p0,25,0.014778325123152709,
no_cadence,geolife:028:p0,4,0.014778325123152709,
all_on,geolife:029:p0,25,0.0,
no_odometer,geolife:029:p0,25,1.0,
no_continuity,geolife:029:p0,25,0.0,
no_continuity_osnma_lifted,geolife:029:p0,25,1.0,
no_cadence,geolife:029:p0,4,1.0,
all_on,geolife:030:p0,25,0.0,
no_odometer,geolife:030:p0,25,1.0,
no_continuity,geolife:030:p0,25,0.0,
no_continuity_osnma_lifted,geolife:030:p0,25,1.0,
no_cadence,geolife:030:p0,5,1.0,
all_on,geolife:031:p0,25,0.0,
no_odometer,geolife:031:p0,25,1.0,
no_continuity,geolife:031:p0,25,0.0,
no_continuity_osnma_lifted,geolife:031:p0,25,0.3433874709976798,
no_cadence,geolife:031:p0,4,0.0,
all_on,geolife:032:p0,25,0.0,
no_odometer,geolife:032:p0,25,1.0,
no_continuity,geolife:032:p0,25,0.0,
no_continuity_osnma_lifted,geolife:032:p0,25,1.0,
no_cadence,geolife:032:p0,6,1.0,
all_on,geolife:033:p0,25,0.0,
no_odometer,geolife:033:p0,25,0.0,
no_continuity,geolife:033:p0,25,0.0,
no_continuity_osnma_lifted,geolife:033:p0,25,0.0,
no_cadence,geolife:033:p0,4,0.0,
all_on,geolife:034:p0,25,0.0,
no_odometer,geolife:034:p0,25,1.0,
no_continuity,geolife:034:p0,25,0.0,
no_continuity_osnma_lifted,geolife:034:p0,25,1.0,
no_cadence,geolife:034:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:035:p0,25,0.0,
no_odometer,geolife:035:p0,25,1.0,
no_continuity,geolife:035:p0,25,0.0,
no_continuity_osnma_lifted,geolife:035:p0,25,1.0,
no_cadence,geolife:035:p0,4,1.0,
all_on,geolife:036:p0,25,0.0,
no_odometer,geolife:036:p0,25,1.0,
no_continuity,geolife:036:p0,25,0.0,
no_continuity_osnma_lifted,geolife:036:p0,25,0.6363636363636364,
no_cadence,geolife:036:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:037:p0,25,0.0,
no_odometer,geolife:037:p0,25,1.0,
no_continuity,geolife:037:p0,25,0.0,
no_continuity_osnma_lifted,geolife:037:p0,25,1.0,
no_cadence,geolife:037:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:038:p0,25,0.0,
no_odometer,geolife:038:p0,25,1.0,
no_continuity,geolife:038:p0,25,0.0,
no_continuity_osnma_lifted,geolife:038:p0,25,1.0,
no_cadence,geolife:038:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:039:p0,25,0.0,
no_odometer,geolife:039:p0,25,1.0,
no_continuity,geolife:039:p0,25,0.0,
no_continuity_osnma_lifted,geolife:039:p0,25,1.0,
no_cadence,geolife:039:p0,4,1.0,
all_on,geolife:040:p0,25,0.0,
no_odometer,geolife:040:p0,25,1.0,
no_continuity,geolife:040:p0,25,0.0,
no_continuity_osnma_lifted,geolife:040:p0,25,1.0,
no_cadence,geolife:040:p0,5,1.0,
all_on,geolife:041:p0,25,0.0,
no_odometer,geolife:041:p0,25,1.0,
no_continuity,geolife:041:p0,25,0.0,
no_continuity_osnma_lifted,geolife:041:p0,25,0.9976233665894051,
no_cadence,geolife:041:p0,6,0.9941214014578924,
all_on,geolife:042:p0,25,0.0,
no_odometer,geolife:042:p0,25,1.0,
no_continuity,geolife:042:p0,25,0.0,
no_continuity_osnma_lifted,geolife:042:p0,25,0.009900990099009901,
no_cadence,geolife:042:p0,4,0.009900990099009901,
all_on,geolife:043:p0,25,0.0,
no_odometer,geolife:043:p0,25,1.0,
no_continuity,geolife:043:p0,25,0.0,
no_continuity_osnma_lifted,geolife:043:p0,25,1.0,
no_cadence,geolife:043:p0,4,1.0,
all_on,geolife:044:p0,25,0.0,
no_odometer,geolife:044:p0,25,1.0,
no_continuity,geolife:044:p0,25,0.0,
no_continuity_osnma_lifted,geolife:044:p0,25,1.0,
no_cadence,geolife:044:p0,6,1.0,
all_on,geolife:045:p0,25,0.0,
no_odometer,geolife:045:p0,25,1.0,
no_continuity,geolife:045:p0,25,0.0,
no_continuity_osnma_lifted,geolife:045:p0,25,0.9993268848905852,
no_cadence,geolife:045:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:046:p0,25,0.0,
no_odometer,geolife:046:p0,25,1.0,
no_continuity,geolife:046:p0,25,0.0,
no_continuity_osnma_lifted,geolife:046:p0,25,0.7484276729559748,
no_cadence,geolife:046:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,geolife:047:p0,25,0.0,
no_odometer,geolife:047:p0,25,1.0,
no_continuity,geolife:047:p0,25,0.0,
no_continuity_osnma_lifted,geolife:047:p0,25,1.0,
no_cadence,geolife:047:p0,5,1.0,
all_on,geolife:048:p0,25,0.0,
no_odometer,geolife:048:p0,25,1.0,
no_continuity,geolife:048:p0,25,0.0,
no_continuity_osnma_lifted,geolife:048:p0,25,1.0,
no_cadence,geolife:048:p0,5,1.0,
all_on,geolife:049:p0,25,0.0,
no_odometer,geolife:049:p0,25,1.0,
no_continuity,geolife:049:p0,25,0.0,
no_continuity_osnma_lifted,geolife:049:p0,25,0.7864150943396226,
no_cadence,geolife:049:p0,4,0.0,
all_on,tdrive:tdrive_1:p0,25,0.0,
no_odometer,tdrive:tdrive_1:p0,25,1.0,
no_continuity,tdrive:tdrive_1:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_1:p0,25,0.9999158249158249,
no_cadence,tdrive:tdrive_1:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_2:p0,25,0.0,
no_odometer,tdrive:tdrive_2:p0,25,1.0,
no_continuity,tdrive:tdrive_2:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_2:p0,25,0.9573202012775234,
no_cadence,tdrive:tdrive_2:p0,15,0.8812040351809701,
all_on,tdrive:tdrive_3:p0,25,0.0,
no_odometer,tdrive:tdrive_3:p0,25,1.0,
no_continuity,tdrive:tdrive_3:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_3:p0,25,0.9766433566433567,
no_cadence,tdrive:tdrive_3:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_4:p0,25,0.0,
no_odometer,tdrive:tdrive_4:p0,25,1.0,
no_continuity,tdrive:tdrive_4:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_4:p0,25,0.9999579124579124,
no_cadence,tdrive:tdrive_4:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_5:p0,25,0.0,
no_odometer,tdrive:tdrive_5:p0,25,1.0,
no_continuity,tdrive:tdrive_5:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_5:p0,25,0.9931224747474747,
no_cadence,tdrive:tdrive_5:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_6:p0,25,0.0,
no_odometer,tdrive:tdrive_6:p0,25,1.0,
no_continuity,tdrive:tdrive_6:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_6:p0,25,0.9747460419800845,
no_cadence,tdrive:tdrive_6:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_7:p0,25,0.0,
no_odometer,tdrive:tdrive_7:p0,25,1.0,
no_continuity,tdrive:tdrive_7:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_7:p0,25,0.9714324452579486,
no_cadence,tdrive:tdrive_7:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_9:p0,25,0.0,
no_odometer,tdrive:tdrive_9:p0,25,1.0,
no_continuity,tdrive:tdrive_9:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_9:p0,25,0.979087519490204,
no_cadence,tdrive:tdrive_9:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_10:p0,25,0.0,
no_odometer,tdrive:tdrive_10:p0,25,1.0,
no_continuity,tdrive:tdrive_10:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_10:p0,25,0.9205704912563596,
no_cadence,tdrive:tdrive_10:p0,9,0.9097208707498123,
all_on,tdrive:tdrive_11:p0,25,0.0,
no_odometer,tdrive:tdrive_11:p0,25,1.0,
no_continuity,tdrive:tdrive_11:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_11:p0,25,0.9759817062986137,
no_cadence,tdrive:tdrive_11:p0,16,0.92785018967819,
all_on,tdrive:tdrive_12:p0,25,0.0,
no_odometer,tdrive:tdrive_12:p0,25,1.0,
no_continuity,tdrive:tdrive_12:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_12:p0,25,0.9745942903997128,
no_cadence,tdrive:tdrive_12:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_13:p0,25,0.0,
no_odometer,tdrive:tdrive_13:p0,25,1.0,
no_continuity,tdrive:tdrive_13:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_13:p0,25,0.9669446531430003,
no_cadence,tdrive:tdrive_13:p0,20,0.9257124968695216,
all_on,tdrive:tdrive_14:p0,25,0.0,
no_odometer,tdrive:tdrive_14:p0,25,1.0,
no_continuity,tdrive:tdrive_14:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_14:p0,25,0.9769455114525537,
no_cadence,tdrive:tdrive_14:p0,16,0.9457092047232892,
all_on,tdrive:tdrive_15:p0,25,0.0,
no_odometer,tdrive:tdrive_15:p0,25,1.0,
no_continuity,tdrive:tdrive_15:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_15:p0,25,0.9756264168051987,
no_cadence,tdrive:tdrive_15:p0,14,0.9584693970077074,
all_on,tdrive:tdrive_16:p0,25,0.0,
no_odometer,tdrive:tdrive_16:p0,25,1.0,
no_continuity,tdrive:tdrive_16:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_16:p0,25,0.9417600701975133,
no_cadence,tdrive:tdrive_16:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_17:p0,25,0.0,
no_odometer,tdrive:tdrive_17:p0,25,1.0,
no_continuity,tdrive:tdrive_17:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_17:p0,25,0.9426817482293524,
no_cadence,tdrive:tdrive_17:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_18:p0,25,0.0,
no_odometer,tdrive:tdrive_18:p0,25,1.0,
no_continuity,tdrive:tdrive_18:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_18:p0,25,0.9999278499278499,
no_cadence,tdrive:tdrive_18:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_19:p0,25,0.0,
no_odometer,tdrive:tdrive_19:p0,25,1.0,
no_continuity,tdrive:tdrive_19:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_19:p0,25,0.9772626262626263,
no_cadence,tdrive:tdrive_19:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_20:p0,25,0.0,
no_odometer,tdrive:tdrive_20:p0,25,1.0,
no_continuity,tdrive:tdrive_20:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_20:p0,25,0.9876542346542346,
no_cadence,tdrive:tdrive_20:p0,16,0.9693566433566434,
all_on,tdrive:tdrive_21:p0,25,0.0,
no_odometer,tdrive:tdrive_21:p0,25,1.0,
no_continuity,tdrive:tdrive_21:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_21:p0,25,0.9682943722943723,
no_cadence,tdrive:tdrive_21:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_23:p0,25,0.0,
no_odometer,tdrive:tdrive_23:p0,25,1.0,
no_continuity,tdrive:tdrive_23:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_23:p0,25,0.9959894598155468,
no_cadence,tdrive:tdrive_23:p0,0,0.0,no feasible adversarial claim under enabled constraints
all_on,tdrive:tdrive_24:p0,25,0.0,
no_odometer,tdrive:tdrive_24:p0,25,1.0,
no_continuity,tdrive:tdrive_24:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_24:p0,25,0.981024087024087,
no_cadence,tdrive:tdrive_24:p0,16,0.9642766122766123,
all_on,tdrive:tdrive_25:p0,25,0.0,
no_odometer,tdrive:tdrive_25:p0,25,1.0,
no_continuity,tdrive:tdrive_25:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_25:p0,25,0.9754069852710092,
no_cadence,tdrive:tdrive_25:p0,16,0.906124159316139,
all_on,tdrive:tdrive_26:p0,25,0.0,
no_odometer,tdrive:tdrive_26:p0,25,1.0,
no_continuity,tdrive:tdrive_26:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_26:p0,25,0.9845809237412291,
no_cadence,tdrive:tdrive_26:p0,16,0.9402444290230549,
all_on,tdrive:tdrive_27:p0,25,0.0,
no_odometer,tdrive:tdrive_27:p0,25,1.0,
no_continuity,tdrive:tdrive_27:p0,25,0.0,
no_continuity_osnma_lifted,tdrive:tdrive_27:p0,25,0.978373440285205,
no_cadence,tdrive:tdrive_27:p0,16,0.9299390968508615,
all_on,tdrive:tdrive_28:p0,25,0.0,
no_odometer,tdrive:tdrive_28:p0,25,1.0,
no_continuity,tdrive:tdrive_28:p0,25,0.0,
