dataset,branch,n,skip_count,mean_savings,median_savings,p95_savings
geolife,all_on,49,0,0.0,0.0,0.0
geolife,no_cadence,38,11,0.7951329625781478,1.0,1.0
geolife,no_continuity,49,0,0.0,0.0,0.0
geolife,no_continuity_osnma_lifted,49,0,0.8696446976581929,1.0,1.0
geolife,no_odometer,49,0,0.9591836734693877,1.0,1.0
tdrive,all_on,49,1,0.0,0.0,0.0
tdrive,no_cadence,19,31,0.9278718531853631,0.93674104673101,1.0
tdrive,no_continuity,49,1,0.0,0.0,0.0
tdrive,no_continuity_osnma_lifted,49,1,0.9729559956395103,0.9754069852710092,0.9999278499278499
tdrive,no_odometer,49,1,1.0,1.0,1.0
