branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_zone_binding,rome:60:103-0-s96:p0,25,2,25,0.0,
no_continuity,rome:60:103-0-s96:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,25,2,25,0.08597634150522887,
no_cadence,rome:60:103-0-s96:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:104-0-s145:p0,25,2,25,0.0,
no_continuity,rome:60:104-0-s145:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,25,2,25,0.002879738674460586,
no_cadence,rome:60:104-0-s145:p0,25,2,25,0.0,
no_zone_binding,rome:60:105-0-s77:p0,25,2,25,0.0,
no_continuity,rome:60:105-0-s77:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:105-0-s77:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s11:p0,25,2,25,0.0,
no_continuity,rome:60:109-0-s11:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p0,25,2,25,0.03779469773415283,
no_cadence,rome:60:109-0-s11:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s11:p1,25,2,25,0.0,
no_continuity,rome:60:109-0-s11:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:109-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s188:p0,25,2,25,0.0,
no_continuity,rome:60:109-0-s188:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p0,25,2,25,0.05509556604503598,
no_cadence,rome:60:109-0-s188:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s188:p1,25,2,25,0.0,
no_continuity,rome:60:109-0-s188:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p1,25,2,25,0.015125640400097584,
no_cadence,rome:60:109-0-s188:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s32:p0,25,2,25,0.0,
no_continuity,rome:60:109-0-s32:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s32:p0,25,2,25,0.04552263106479974,
no_cadence,rome:60:109-0-s32:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s40:p0,25,2,25,0.0,
no_continuity,rome:60:109-0-s40:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s40:p0,25,2,25,0.11129929833051053,
no_cadence,rome:60:109-0-s40:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s42:p0,25,2,25,0.0,
no_continuity,rome:60:109-0-s42:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,25,2,25,0.07367240089753178,
no_cadence,rome:60:109-0-s42:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s11:p0,25,2,25,0.0,
no_continuity,rome:60:11-0-s11:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,25,2,25,0.0330812854442344,
no_cadence,rome:60:11-0-s11:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s11:p1,25,2,25,0.0,
no_continuity,rome:60:11-0-s11:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:11-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s11:p2,25,2,25,0.0,
no_continuity,rome:60:11-0-s11:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p2,25,2,25,0.014491593274619696,
no_cadence,rome:60:11-0-s11:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s136:p0,25,2,25,0.0,
no_continuity,rome:60:11-0-s136:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s136:p0,25,2,25,0.016226240148354196,
no_cadence,rome:60:11-0-s136:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s186:p0,25,2,25,0.0,
no_continuity,rome:60:11-0-s186:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s186:p0,25,2,25,0.016589422618789797,
no_cadence,rome:60:11-0-s186:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s84:p0,25,2,25,0.0,
no_continuity,rome:60:11-0-s84:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s84:p0,25,2,25,0.04355318815603948,
no_cadence,rome:60:11-0-s84:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:124-1-s99:p0,25,2,25,0.0,
no_continuity,rome:60:124-1-s99:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:124-1-s99:p0,25,2,25,0.003897503938966747,
no_cadence,rome:60:124-1-s99:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:127-0-s273:p0,25,2,25,0.0,
no_continuity,rome:60:127-0-s273:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:127-0-s273:p0,25,2,25,0.06904985888993415,
no_cadence,rome:60:127-0-s273:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:128-0-s16:p0,25,2,25,0.0,
no_continuity,rome:60:128-0-s16:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:128-0-s16:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:128-0-s16:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:128-0-s16:p1,25,2,25,0.0,
no_continuity,rome:60:128-0-s16:p1,25,2,25,0.0,
