dataset,branch,n,skip_count,min_savings,mean_savings,median_savings,p95_savings
tdrive,no_cadence,0,1,,,,
tdrive,no_continuity,1,0,0.0,0.0,0.0,0.0
tdrive,no_continuity_osnma_lifted,1,0,0.9918364143019742,0.9918364143019742,0.9918364143019742,0.9918364143019742
tdrive,no_zone_binding,1,0,0.0034145767102319556,0.0034145767102319556,0.0034145767102319556,0.0034145767102319556
porto,no_cadence,1,9,0.0,0.0,0.0,0.0
porto,no_continuity,10,0,0.0,0.0,0.0,0.0
porto,no_continuity_osnma_lifted,10,0,0.03712995484194681,0.12643869270704716,0.050324453667850266,0.8180732484076433
porto,no_zone_binding,10,0,0.0,0.0,0.0,0.0
rome,no_cadence,13,149,0.8916961947311662,0.9588278993458892,0.962918944616116,1.0
rome,no_continuity,162,0,0.0,0.0,0.0,0.0
rome,no_continuity_osnma_lifted,134,28,0.744842562432139,0.9414956466446929,0.9647407804536434,0.9927225092788007
rome,no_zone_binding,162,0,0.0,0.0,0.0,0.0
