branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_zone_binding,rome:60:103-0-s96:p0,25,2,25,0.013451363157970617,
no_continuity,rome:60:103-0-s96:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,25,2,25,0.07760845431870936,
no_cadence,rome:60:103-0-s96:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:104-0-s145:p0,25,2,25,0.0,
no_continuity,rome:60:104-0-s145:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,25,2,25,0.0024009345727411505,
no_cadence,rome:60:104-0-s145:p0,25,2,25,0.0,
no_zone_binding,rome:60:105-0-s77:p0,25,2,25,0.0001890547263681592,
no_continuity,rome:60:105-0-s77:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:105-0-s77:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s11:p0,25,2,25,0.012781701984527414,
no_continuity,rome:60:109-0-s11:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p0,25,2,25,0.03779469773415283,
no_cadence,rome:60:109-0-s11:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s11:p1,25,2,25,0.001924557351809084,
no_continuity,rome:60:109-0-s11:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:109-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s188:p0,25,2,25,0.007207277150214148,
no_continuity,rome:60:109-0-s188:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p0,25,2,25,0.05197779589301658,
no_cadence,rome:60:109-0-s188:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s188:p1,25,2,25,0.0,
no_continuity,rome:60:109-0-s188:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p1,25,2,25,0.012636556334583401,
no_cadence,rome:60:109-0-s188:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s32:p0,25,2,25,0.00906245569647862,
no_continuity,rome:60:109-0-s32:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s32:p0,25,2,25,0.0425531914893617,
no_cadence,rome:60:109-0-s32:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s40:p0,25,2,25,0.02713649250708789,
no_continuity,rome:60:109-0-s40:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s40:p0,25,2,25,0.10741190765492102,
no_cadence,rome:60:109-0-s40:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:109-0-s42:p0,25,2,25,0.014925840491822101,
no_continuity,rome:60:109-0-s42:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s42:p0,25,2,25,0.06925381235191583,
no_cadence,rome:60:109-0-s42:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s11:p0,25,2,25,0.0,
no_continuity,rome:60:11-0-s11:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p0,25,2,25,0.02772057658799303,
no_cadence,rome:60:11-0-s11:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s11:p1,25,2,25,0.0,
no_continuity,rome:60:11-0-s11:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_cadence,rome:60:11-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s11:p2,25,2,25,0.0,
no_continuity,rome:60:11-0-s11:p2,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s11:p2,25,2,25,0.012105565885043941,
no_cadence,rome:60:11-0-s11:p2,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s136:p0,25,2,25,0.0,
no_continuity,rome:60:11-0-s136:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s136:p0,25,2,25,0.013569047065208964,
no_cadence,rome:60:11-0-s136:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_zone_binding,rome:60:11-0-s186:p0,25,2,25,0.0,
no_continuity,rome:60:11-0-s186:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:11-0-s186:p0,25,2,25,0.013862848290490015,
