branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_continuity,rome:60:103-0-s96:p0,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,10,2,25,0.8573632779015944,
no_continuity,rome:60:103-0-s96:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,25,2,25,0.8641350934339105,
no_continuity,rome:60:103-0-s96:p0,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,50,2,25,0.861906394651123,
no_continuity,rome:60:103-0-s96:p0,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,100,2,25,0.8657637579290245,
no_continuity,rome:60:104-0-s145:p0,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,10,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:104-0-s145:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,25,2,25,0.9914037651508639,
no_continuity,rome:60:104-0-s145:p0,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,50,2,25,0.9914037651508639,
no_continuity,rome:60:104-0-s145:p0,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,100,2,25,0.9914037651508639,
no_continuity,rome:60:105-0-s77:p0,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,10,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:105-0-s77:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:105-0-s77:p0,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,50,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:105-0-s77:p0,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,100,2,25,1.0,
no_continuity,rome:60:109-0-s11:p0,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p0,10,2,25,0.922300706357215,
no_continuity,rome:60:109-0-s11:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p0,25,2,25,0.924685808641409,
no_continuity,rome:60:109-0-s11:p0,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p0,50,2,25,0.9260618291899826,
no_continuity,rome:60:109-0-s11:p0,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p0,100,2,25,0.9245940739381708,
no_continuity,rome:60:109-0-s11:p1,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p1,10,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:109-0-s11:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p1,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:109-0-s11:p1,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p1,50,2,25,0.9860032192595704,
no_continuity,rome:60:109-0-s11:p1,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p1,100,2,25,0.9860032192595704,
no_continuity,rome:60:109-0-s188:p0,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p0,10,2,25,0.9169697438675231,
no_continuity,rome:60:109-0-s188:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p0,25,2,25,0.9209935773427222,
no_continuity,rome:60:109-0-s188:p0,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p0,50,2,25,0.9190590420181073,
no_continuity,rome:60:109-0-s188:p0,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p0,100,2,25,0.922231679950476,
no_continuity,rome:60:109-0-s188:p1,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p1,10,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:109-0-s188:p1,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p1,25,2,25,0.981784175002033,
no_continuity,rome:60:109-0-s188:p1,50,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p1,50,2,25,0.9804017239977231,
no_continuity,rome:60:109-0-s188:p1,100,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s188:p1,100,2,25,0.9837358705375295,
no_continuity,rome:60:109-0-s32:p0,10,2,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s32:p0,10,2,25,0.909150113969391,
