branch,dataset,distance_bucket_m,neighbor_radius_cells,len_claimed_fixes,savings_ratio,skip_reason
no_continuity,rome:60:103-0-s96:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,25,1,25,0.8619921138350762,
no_continuity,rome:60:103-0-s96:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,25,2,25,0.8641350934339105,
no_continuity,rome:60:103-0-s96:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,25,3,25,0.8641350934339105,
no_continuity,rome:60:103-0-s96:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:103-0-s96:p0,25,4,25,0.8641350934339105,
no_continuity,rome:60:104-0-s145:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,25,1,25,0.9914037651508639,
no_continuity,rome:60:104-0-s145:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,25,2,25,0.9914037651508639,
no_continuity,rome:60:104-0-s145:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,25,3,25,0.9914037651508639,
no_continuity,rome:60:104-0-s145:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:104-0-s145:p0,25,4,25,0.9914037651508639,
no_continuity,rome:60:105-0-s77:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,25,1,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:105-0-s77:p0,25,2,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,25,2,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:105-0-s77:p0,25,3,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,25,3,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:105-0-s77:p0,25,4,25,0.0,
no_continuity_osnma_lifted,rome:60:105-0-s77:p0,25,4,0,0.0,no feasible adversarial claim under enabled constraints
no_continuity,rome:60:109-0-s11:p0,25,1,25,0.0,
no_continuity_osnma_lifted,rome:60:109-0-s11:p0,25,1,25,0.9239519310155032,
