dataset,period_id,edge_idx,dt_sec,odo_delta_m,cell_idx,zone_id,zone_rate_cents_per_m,exact_fee_cents,fallback_distance_m,max_zone_rate_cents_per_m,break_even_rate_cents_per_m,break_even_alpha,movement_ratio,dwell_edge,speed_bound_slack_m,speed_bound_ok
geolife,010-20080916114237-0,0,60,551,4315,1,5,2755.0,1980.0,5.0,1.3914141414141414,0.2782828282828283,0.2782828282828283,False,1429.0,True
geolife,010-20080916114237-0,1,60,255,3816,1,5,1275.0,1980.0,5.0,0.6439393939393939,0.12878787878787878,0.12878787878787878,False,1725.0,True
geolife,010-20080916114237-0,2,60,1032,3616,1,5,5160.0,1980.0,5.0,2.606060606060606,0.5212121212121212,0.5212121212121212,False,948.0,True
geolife,010-20080916114237-0,3,60,1027,2516,1,5,5135.0,1980.0,5.0,2.5934343434343434,0.5186868686868686,0.5186868686868686,False,953.0,True
geolife,010-20080916114237-0,4,60,398,1516,1,5,1990.0,1980.0,5.0,1.005050505050505,0.201010101010101,0.201010101010101,False,1582.0,True
geolife,010-20080916114237-0,5,60,98,1116,2,3,294.0,1980.0,5.0,0.1484848484848485,0.0296969696969697,0.049494949494949494,False,1882.0,True
geolife,010-20080916114237-0,6,60,428,1016,2,3,1284.0,1980.0,5.0,0.6484848484848484,0.1296969696969697,0.21616161616161617,False,1552.0,True
geolife,010-20080916114237-0,7,60,464,616,2,3,1392.0,1980.0,5.0,0.703030303030303,0.1406060606060606,0.23434343434343435,False,1516.0,True
geolife,010-20080916114237-0,8,60,583,517,2,3,1749.0,1980.0,5.0,0.8833333333333333,0.17666666666666667,0.29444444444444445,False,1397.0,True
geolife,010-20080916114237-0,9,28,210,219,2,3,630.0,924.0,5.0,0.6818181818181818,0.13636363636363635,0.22727272727272727,False,714.0,True
geolife,010-20080917225654-0,0,60,208,417,2,3,624.0,1980.0,5.0,0.3151515151515151,0.06303030303030302,0.10505050505050505,False,1772.0,True
geolife,010-20080917225654-0,1,60,217,516,2,3,651.0,1980.0,5.0,0.3287878787878788,0.06575757575757576,0.1095959595959596,False,1763.0,True
geolife,010-20080917225654-0,2,60,190,716,2,3,570.0,1980.0,5.0,0.2878787878787879,0.05757575757575758,0.09595959595959595,False,1790.0,True
geolife,010-20080917225654-0,3,60,148,916,2,3,444.0,1980.0,5.0,0.22424242424242424,0.044848484848484846,0.07474747474747474,False,1832.0,True
geolife,010-20080917225654-0,4,60,786,1016,2,3,2358.0,1980.0,5.0,1.190909090909091,0.2381818181818182,0.396969696969697,False,1194.0,True
geolife,010-20080917225654-0,5,60,296,1816,1,5,1480.0,1980.0,5.0,0.7474747474747475,0.14949494949494951,0.1494949494949495,False,1684.0,True
geolife,010-20080917225654-0,6,60,348,2116,1,5,1740.0,1980.0,5.0,0.8787878787878788,0.17575757575757575,0.17575757575757575,False,1632.0,True
geolife,010-20080917225654-0,7,60,42,2416,1,5,210.0,1980.0,5.0,0.10606060606060606,0.021212121212121213,0.021212121212121213,False,1938.0,True
geolife,010-20080917225654-0,8,60,514,2516,1,5,2570.0,1980.0,5.0,1.297979797979798,0.2595959595959596,0.2595959595959596,False,1466.0,True
geolife,010-20080917225654-0,9,60,19,3016,1,5,95.0,1980.0,5.0,0.047979797979797977,0.009595959595959595,0.009595959595959595,False,1961.0,True
geolife,010-20080917225654-0,10,60,131,3016,1,5,655.0,1980.0,5.0,0.33080808080808083,0.06616161616161617,0.06616161616161616,False,1849.0,True
geolife,010-20080917225654-0,11,60,17,3116,1,5,85.0,1980.0,5.0,0.04292929292929293,0.008585858585858586,0.008585858585858586,False,1963.0,True
