dataset,penalty_scope,controlled_duration_sec,alpha,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,n_periods,n_penalty_observations,honest_penalty_median,honest_penalty_p95,withholding_gain_mean,withholding_gain_median,withholding_gain_p95
geolife,controlled_60s,60,0.1,0.5,5.0,14,42,-0.0722529703470966,-0.01390117074743222,0.37894485377581655,0.41010229925221153,0.57013792051625
geolife,controlled_60s,60,0.2,1.0,5.0,14,42,-0.01958114219023957,0.04642267118510663,0.13647035710790464,0.12979826983721574,0.27323060029854707
geolife,controlled_60s,60,0.3,1.5,5.0,14,42,0.03541527887614967,0.10780997128633077,0.0338202392026226,0.019372178173320445,0.11222661443875956
geolife,controlled_60s,60,0.4,2.0,5.0,14,42,0.09011929313224273,0.16919727138755492,0.008900007603722546,0.0,0.0473418117139819
geolife,controlled_60s,60,0.5,2.5,5.0,14,42,0.13883580076259924,0.2270941424045402,0.0013023580924245621,0.0,0.006381554652880347
geolife,controlled_60s,60,0.6,3.0,5.0,14,42,0.18518374878611454,0.28391752274173887,0.0,0.0,0.0
geolife,controlled_60s,60,0.7,3.5,5.0,14,42,0.23557569853927524,0.34076495558477915,0.0,0.0,0.0
geolife,controlled_60s,60,0.8,4.0,5.0,14,42,0.2849433678527217,0.3979409796935319,0.0,0.0,0.0
geolife,controlled_60s,60,0.9,4.5,5.0,14,42,0.334985479177904,0.4551170038022847,0.0,0.0,0.0
geolife,controlled_60s,60,1.0,5.0,5.0,14,42,0.38800195567352963,0.5122930279110375,0.0,0.0,0.0
geolife,controlled_60s,60,1.1,5.5,5.0,14,42,0.44193552854440904,0.5694690520197903,0.0,0.0,0.0
geolife,controlled_60s,60,1.2,6.0,5.0,14,42,0.4971663867089184,0.626645076128543,0.0,0.0,0.0
geolife,controlled_120s,120,0.1,0.5,5.0,14,42,-0.08029460093331117,0.011754873139883167,0.37894485377581655,0.41010229925221153,0.57013792051625
geolife,controlled_120s,120,0.2,1.0,5.0,14,42,0.027680339282470975,0.11868946921904179,0.13647035710790464,0.12979826983721574,0.27323060029854707
geolife,controlled_120s,120,0.3,1.5,5.0,14,42,0.12728347297460174,0.22170239768641095,0.0338202392026226,0.019372178173320445,0.11222661443875956
geolife,controlled_120s,120,0.4,2.0,5.0,14,42,0.2262267477461126,0.33778180847576245,0.008900007603722546,0.0,0.0473418117139819
geolife,controlled_120s,120,0.5,2.5,5.0,14,42,0.3321942357917902,0.46054344965725297,0.0013023580924245621,0.0,0.006381554652880347
geolife,controlled_120s,120,0.6,3.0,5.0,14,42,0.43060773541200525,0.5799238814070806,0.0,0.0,0.0
geolife,controlled_120s,120,0.7,3.5,5.0,14,42,0.531652958537276,0.69355768306052,0.0,0.0,0.0
geolife,controlled_120s,120,0.8,4.0,5.0,14,42,0.6350493739981616,0.8077675393263917,0.0,0.0,0.0
geolife,controlled_120s,120,0.9,4.5,5.0,14,42,0.7410823269894129,0.9221195875438972,0.0,0.0,0.0
geolife,controlled_120s,120,1.0,5.0,5.0,14,42,0.8471152799806643,1.0364716357614028,0.0,0.0,0.0
geolife,controlled_120s,120,1.1,5.5,5.0,14,42,0.9531482329719155,1.1508236839789083,0.0,0.0,0.0
geolife,controlled_120s,120,1.2,6.0,5.0,14,42,1.0621827742871268,1.2691877730155072,0.0,0.0,0.0
geolife,controlled_300s,300,0.1,0.5,5.0,14,38,-0.034075449444903566,0.14383297189416877,0.37894485377581655,0.41010229925221153,0.57013792051625
geolife,controlled_300s,300,0.2,1.0,5.0,14,38,0.21172179101034647,0.4329439002860688,0.13647035710790464,0.12979826983721574,0.27323060029854707
geolife,controlled_300s,300,0.3,1.5,5.0,14,38,0.48691697711764625,0.7146552071975059,0.0338202392026226,0.019372178173320445,0.11222661443875956
geolife,controlled_300s,300,0.4,2.0,5.0,14,38,0.7674142460397528,1.0029373907749675,0.008900007603722546,0.0,0.0473418117139819
geolife,controlled_300s,300,0.5,2.5,5.0,14,38,1.035806930140422,1.291219574352429,0.0013023580924245621,0.0,0.006381554652880347
geolife,controlled_300s,300,0.6,3.0,5.0,14,38,1.3060729637385649,1.5795017579298907,0.0,0.0,0.0
geolife,controlled_300s,300,0.7,3.5,5.0,14,38,1.576008387231592,1.867783941507352,0.0,0.0,0.0
geolife,controlled_300s,300,0.8,4.0,5.0,14,38,1.8447904219399942,2.1560661250848137,0.0,0.0,0.0
geolife,controlled_300s,300,0.9,4.5,5.0,14,38,2.1135724566483964,2.4443483086622755,0.0,0.0,0.0
geolife,controlled_300s,300,1.0,5.0,5.0,14,38,2.3823544913567987,2.7326304922397364,0.0,0.0,0.0
geolife,controlled_300s,300,1.1,5.5,5.0,14,38,2.652384106837501,3.0209126758171982,0.0,0.0,0.0
geolife,controlled_300s,300,1.2,6.0,5.0,14,38,2.919954581708267,3.3091948593946596,0.0,0.0,0.0
rome,controlled_60s,60,0.1,1.2000000000000002,12.0,162,450,0.40964092370157346,2.738928571428572,0.11202793283377425,0.0,0.43904798332228856
rome,controlled_60s,60,0.2,2.4000000000000004,12.0,162,450,0.9015161183286967,5.831205357142859,0.02846541889067536,0.0,0.19679562288454583
rome,controlled_60s,60,0.3,3.5999999999999996,12.0,162,450,1.4132840367641313,8.915747767857141,0.003504262846450384,0.0,0.0
rome,controlled_60s,60,0.4,4.800000000000001,12.0,162,450,1.910914220223927,11.982785218253971,0.0,0.0,0.0
rome,controlled_60s,60,0.5,6.0,12.0,162,450,2.416217173368203,15.051531498015875,0.0,0.0,0.0
rome,controlled_60s,60,0.6,7.199999999999999,12.0,162,450,2.9134362287628615,18.120277777777776,0.0,0.0,0.0
rome,controlled_60s,60,0.7,8.399999999999999,12.0,162,450,3.4108040201005014,21.189024057539683,0.0,0.0,0.0
rome,controlled_60s,60,0.8,9.600000000000001,12.0,162,450,3.908291457286433,24.257770337301597,0.0,0.0,0.0
rome,controlled_60s,60,0.9,10.8,12.0,162,450,4.405778894472362,27.326516617063497,0.0,0.0,0.0
rome,controlled_60s,60,1.0,12.0,12.0,162,450,4.903266331658291,30.409325396825402,0.0,0.0,0.0
rome,controlled_60s,60,1.1,13.200000000000003,12.0,162,450,5.400753768844222,33.50127480158731,0.0,0.0,0.0
rome,controlled_60s,60,1.2,14.399999999999999,12.0,162,450,5.89824120603015,36.593224206349205,0.0,0.0,0.0
rome,controlled_120s,120,0.1,1.2000000000000002,12.0,162,445,0.884422110552764,5.9387500000000015,0.11202793283377425,0.0,0.43904798332228856
rome,controlled_120s,120,0.2,2.4000000000000004,12.0,162,445,1.8796992481203012,12.137896825396828,0.02846541889067536,0.0,0.19679562288454583
rome,controlled_120s,120,0.3,3.5999999999999996,12.0,162,445,2.874371859296482,18.353125,0.003504262846450384,0.0,0.0
rome,controlled_120s,120,0.4,4.800000000000001,12.0,162,445,3.8693467336683423,24.540625000000006,0.0,0.0,0.0
rome,controlled_120s,120,0.5,6.0,12.0,162,445,4.864321608040201,30.728125,0.0,0.0,0.0
rome,controlled_120s,120,0.6,7.199999999999999,12.0,162,445,5.8860103626943,36.91562499999999,0.0,0.0,0.0
rome,controlled_120s,120,0.7,8.399999999999999,12.0,162,445,6.911917098445595,43.10312499999999,0.0,0.0,0.0
rome,controlled_120s,120,0.8,9.600000000000001,12.0,162,445,7.937823834196893,49.290625000000006,0.0,0.0,0.0
rome,controlled_120s,120,0.9,10.8,12.0,162,445,8.959493670886076,55.480312500000004,0.0,0.0,0.0
rome,controlled_120s,120,1.0,12.0,12.0,162,445,9.962025316455696,61.696875,0.0,0.0,0.0
rome,controlled_120s,120,1.1,13.200000000000003,12.0,162,445,10.964556962025318,67.92562500000001,0.0,0.0,0.0
rome,controlled_120s,120,1.2,14.399999999999999,12.0,162,445,11.967088607594935,74.15437499999999,0.0,0.0,0.0
rome,controlled_300s,300,0.1,1.2000000000000002,12.0,162,434,2.2857421824146646,14.938107638888892,0.11202793283377425,0.0,0.43904798332228856
rome,controlled_300s,300,0.2,2.4000000000000004,12.0,162,434,4.76991484516177,30.428906250000004,0.02846541889067536,0.0,0.19679562288454583
rome,controlled_300s,300,0.3,3.5999999999999996,12.0,162,434,7.237771369161076,45.897656250000004,0.003504262846450384,0.0,0.0
rome,controlled_300s,300,0.4,4.800000000000001,12.0,162,434,9.702570735450653,61.36640625000001,0.0,0.0,0.0
rome,controlled_300s,300,0.5,6.0,12.0,162,434,12.165501151075574,76.83515625,0.0,0.0,0.0
rome,controlled_300s,300,0.6,7.199999999999999,12.0,162,434,14.646984924623116,92.29083806818181,0.0,0.0,0.0
rome,controlled_300s,300,0.7,8.399999999999999,12.0,162,434,17.134422110552762,107.7455255681818,0.0,0.0,0.0
rome,controlled_300s,300,0.8,9.600000000000001,12.0,162,434,19.621859296482416,123.19771712662339,0.0,0.0,0.0
rome,controlled_300s,300,0.9,10.800000000000002,12.0,162,434,22.10929648241206,138.6403510551948,0.0,0.0,0.0
rome,controlled_300s,300,1.0,12.0,12.0,162,434,24.59673366834171,154.08298498376624,0.0,0.0,0.0
rome,controlled_300s,300,1.1,13.200000000000001,12.0,162,434,27.08417085427136,169.52561891233768,0.0,0.0,0.0
rome,controlled_300s,300,1.2,14.399999999999999,12.0,162,434,29.571608040201006,184.9682528409091,0.0,0.0,0.0
