dataset,period_id,controlled_duration_sec,window_id,start_edge,end_edge,alpha,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,exact_period_fee_cents,exact_window_fee_cents,fallback_window_fee_cents,honest_penalty_controlled_period,honest_penalty_controlled_window,actual_distance_m,fallback_distance_m,duration_sec,movement_ratio,dwell_edge_share,n_edges,speed_bound_ok
geolife,010-20080916114237-0,60,0,2,2,0.1,0.5,5.0,21664.0,5160.0,990.0,-0.19248522895125553,-0.8081395348837209,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,0.1,0.5,5.0,21664.0,5135.0,990.0,-0.19133124076809455,-0.807205452775073,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,0.1,0.5,5.0,21664.0,1749.0,990.0,-0.035035081240768096,-0.4339622641509434,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,0.2,1.0,5.0,21664.0,5160.0,1980.0,-0.14678729689807976,-0.6162790697674418,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,0.2,1.0,5.0,21664.0,5135.0,1980.0,-0.14563330871491875,-0.6144109055501461,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,0.2,1.0,5.0,21664.0,1749.0,1980.0,0.01066285081240768,0.1320754716981132,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,0.3,1.5,5.0,21664.0,5160.0,2970.0,-0.101089364844904,-0.42441860465116277,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,0.3,1.5,5.0,21664.0,5135.0,2970.0,-0.09993537666174299,-0.4216163583252191,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,0.3,1.5,5.0,21664.0,1749.0,2970.0,0.05636078286558346,0.6981132075471698,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,0.4,2.0,5.0,21664.0,5160.0,3960.0,-0.055391432791728215,-0.23255813953488372,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,0.4,2.0,5.0,21664.0,5135.0,3960.0,-0.054237444608567206,-0.22882181110029212,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,0.4,2.0,5.0,21664.0,1749.0,3960.0,0.10205871491875923,1.2641509433962264,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,0.5,2.5,5.0,21664.0,5160.0,4950.0,-0.009693500738552437,-0.040697674418604654,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,0.5,2.5,5.0,21664.0,5135.0,4950.0,-0.008539512555391433,-0.03602726387536514,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,0.5,2.5,5.0,21664.0,1749.0,4950.0,0.147756646971935,1.830188679245283,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,0.6,3.0,5.0,21664.0,5160.0,5940.0,0.03600443131462334,0.1511627906976744,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,0.6,3.0,5.0,21664.0,5135.0,5940.0,0.03715841949778434,0.15676728334956183,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,0.6,3.0,5.0,21664.0,1749.0,5940.0,0.1934545790251108,2.3962264150943398,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,0.7,3.5,5.0,21664.0,5160.0,6930.0,0.08170236336779911,0.3430232558139535,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,0.7,3.5,5.0,21664.0,5135.0,6930.0,0.08285635155096012,0.3495618305744888,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,0.7,3.5,5.0,21664.0,1749.0,6930.0,0.23915251107828656,2.9622641509433962,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,0.8,4.0,5.0,21664.0,5160.0,7920.0,0.1274002954209749,0.5348837209302325,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,0.8,4.0,5.0,21664.0,5135.0,7920.0,0.1285542836041359,0.5423563777994158,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,0.8,4.0,5.0,21664.0,1749.0,7920.0,0.28485044313146235,3.5283018867924527,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,0.9,4.5,5.0,21664.0,5160.0,8910.0,0.17309822747415066,0.7267441860465116,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,0.9,4.5,5.0,21664.0,5135.0,8910.0,0.17425221565731167,0.7351509250243428,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,0.9,4.5,5.0,21664.0,1749.0,8910.0,0.3305483751846381,4.09433962264151,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,1.0,5.0,5.0,21664.0,5160.0,9900.0,0.21879615952732645,0.9186046511627907,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,1.0,5.0,5.0,21664.0,5135.0,9900.0,0.21995014771048743,0.9279454722492697,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,1.0,5.0,5.0,21664.0,1749.0,9900.0,0.3762463072378139,4.660377358490566,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,1.1,5.5,5.0,21664.0,5160.0,10890.0,0.2644940915805022,1.1104651162790697,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,1.1,5.5,5.0,21664.0,5135.0,10890.0,0.2656480797636632,1.1207400194741968,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,1.1,5.5,5.0,21664.0,1749.0,10890.0,0.4219442392909897,5.226415094339623,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,60,0,2,2,1.2,6.0,5.0,21664.0,5160.0,11880.0,0.310192023633678,1.302325581395349,1032.0,1980.0,60.0,0.5212121212121212,0.0,1,True
geolife,010-20080916114237-0,60,1,3,3,1.2,6.0,5.0,21664.0,5135.0,11880.0,0.311346011816839,1.3135345666991236,1027.0,1980.0,60.0,0.5186868686868686,0.0,1,True
geolife,010-20080916114237-0,60,2,8,8,1.2,6.0,5.0,21664.0,1749.0,11880.0,0.4676421713441654,5.7924528301886795,583.0,1980.0,60.0,0.29444444444444445,0.0,1,True
geolife,010-20080916114237-0,120,0,0,1,0.1,0.5,5.0,21664.0,4030.0,1980.0,-0.09462703101920236,-0.5086848635235732,806.0,3960.0,120.0,0.20353535353535354,0.0,2,True
geolife,010-20080916114237-0,120,1,2,3,0.1,0.5,5.0,21664.0,10295.0,1980.0,-0.3838164697193501,-0.8076736279747451,2059.0,3960.0,120.0,0.5199494949494949,0.0,2,True
geolife,010-20080916114237-0,120,2,7,8,0.1,0.5,5.0,21664.0,3141.0,1980.0,-0.05359121122599705,-0.36962750716332377,1047.0,3960.0,120.0,0.2643939393939394,0.0,2,True
geolife,010-20080916114237-0,120,0,0,1,0.2,1.0,5.0,21664.0,4030.0,3960.0,-0.0032311669128508125,-0.017369727047146403,806.0,3960.0,120.0,0.20353535353535354,0.0,2,True
geolife,010-20080916114237-0,120,1,2,3,0.2,1.0,5.0,21664.0,10295.0,3960.0,-0.29242060561299854,-0.61534725594949,2059.0,3960.0,120.0,0.5199494949494949,0.0,2,True
geolife,010-20080916114237-0,120,2,7,8,0.2,1.0,5.0,21664.0,3141.0,3960.0,0.037804652880354506,0.2607449856733524,1047.0,3960.0,120.0,0.2643939393939394,0.0,2,True
geolife,010-20080916114237-0,120,0,0,1,0.3,1.5,5.0,21664.0,4030.0,5940.0,0.08816469719350074,0.4739454094292804,806.0,3960.0,120.0,0.20353535353535354,0.0,2,True
geolife,010-20080916114237-0,120,1,2,3,0.3,1.5,5.0,21664.0,10295.0,5940.0,-0.20102474150664698,-0.4230208839242351,2059.0,3960.0,120.0,0.5199494949494949,0.0,2,True
geolife,010-20080916114237-0,120,2,7,8,0.3,1.5,5.0,21664.0,3141.0,5940.0,0.12920051698670607,0.8911174785100286,1047.0,3960.0,120.0,0.2643939393939394,0.0,2,True
geolife,010-20080916114237-0,120,0,0,1,0.4,2.0,5.0,21664.0,4030.0,7920.0,0.1795605612998523,0.9652605459057072,806.0,3960.0,120.0,0.20353535353535354,0.0,2,True
geolife,010-20080916114237-0,120,1,2,3,0.4,2.0,5.0,21664.0,10295.0,7920.0,-0.10962887740029542,-0.23069451189898008,2059.0,3960.0,120.0,0.5199494949494949,0.0,2,True
