dataset,period_id,edge_idx,fallback_rate_cents_per_m,dt_sec,odo_delta_m,cell_idx,zone_id,zone_rate_cents_per_m,exact_fee_cents,fallback_fee_cents,fallback_charged_distance_m,speed_bound_slack_m,honest_outage,strategic_declared_outage
geolife,010-20080916114237-0,0,1,60,551,4315,1,5,2755,1980,1980,1429,False,True
geolife,010-20080916114237-0,1,1,60,255,3816,1,5,1275,1980,1980,1725,False,False
geolife,010-20080916114237-0,2,1,60,1032,3616,1,5,5160,1980,1980,948,False,True
geolife,010-20080916114237-0,3,1,60,1027,2516,1,5,5135,1980,1980,953,False,True
geolife,010-20080916114237-0,4,1,60,398,1516,1,5,1990,1980,1980,1582,False,True
geolife,010-20080916114237-0,5,1,60,98,1116,2,3,294,1980,1980,1882,False,False
geolife,010-20080916114237-0,6,1,60,428,1016,2,3,1284,1980,1980,1552,False,False
geolife,010-20080916114237-0,7,1,60,464,616,2,3,1392,1980,1980,1516,False,False
geolife,010-20080916114237-0,8,1,60,583,517,2,3,1749,1980,1980,1397,False,False
geolife,010-20080916114237-0,9,1,28,210,219,2,3,630,924,924,714,False,False
geolife,010-20080917225654-0,0,1,60,208,417,2,3,624,1980,1980,1772,False,False
geolife,010-20080917225654-0,1,1,60,217,516,2,3,651,1980,1980,1763,False,False
geolife,010-20080917225654-0,2,1,60,190,716,2,3,570,1980,1980,1790,False,False
geolife,010-20080917225654-0,3,1,60,148,916,2,3,444,1980,1980,1832,False,False
geolife,010-20080917225654-0,4,1,60,786,1016,2,3,2358,1980,1980,1194,False,True
geolife,010-20080917225654-0,5,1,60,296,1816,1,5,1480,1980,1980,1684,False,False
geolife,010-20080917225654-0,6,1,60,348,2116,1,5,1740,1980,1980,1632,False,False
geolife,010-20080917225654-0,7,1,60,42,2416,1,5,210,1980,1980,1938,False,False
geolife,010-20080917225654-0,8,1,60,514,2516,1,5,2570,1980,1980,1466,False,True
geolife,010-20080917225654-0,9,1,60,19,3016,1,5,95,1980,1980,1961,False,False
geolife,010-20080917225654-0,10,1,60,131,3016,1,5,655,1980,1980,1849,False,False
geolife,010-20080917225654-0,11,1,60,17,3116,1,5,85,1980,1980,1963,False,False
