dataset,period_id,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,ge_max_zone_rate,exact_fee_cents,honest_paid_fee_cents,moving_honest_paid_fee_cents,strategic_min_fee_cents,honest_penalty,honest_penalty_moving_only,withholding_gain,n_intervals,n_honest_outage_intervals,n_moving_honest_outage_intervals,n_strategic_declared_intervals,honest_outage_source,honest_outage_actual_distance_m,honest_outage_charged_distance_m,honest_outage_movement_ratio,honest_outage_dwell_edge_share,moving_outage_actual_distance_m,moving_outage_charged_distance_m,moving_outage_movement_ratio,moving_outage_dwell_edge_share,speed_bound_ok,honest_min_speed_bound_slack_m,strategic_min_speed_bound_slack_m
geolife,010-20080916114237-0,1,5,False,21664,21664,21664,14544,,,0.32865583456425407,10,0,0,4,none,,,,,,,,,True,,948
geolife,010-20080917225654-0,1,5,False,17357,17357,17357,14909,,,0.14103819784524976,16,0,0,4,none,,,,,,,,,True,,1194
geolife,010-20080921224934-0,1,5,False,18695,18695,18695,18370,,,0.017384327360256753,35,0,0,1,none,,,,,,,,,True,,1519
geolife,010-20080922111517-0,1,5,False,21393,21393,21393,16385,,,0.23409526480624504,12,0,0,6,none,,,,,,,,,True,,1183
geolife,010-20080922234926-0,1,5,False,18146,18146,18146,15851,,,0.1264741540835446,35,0,0,3,none,,,,,,,,,True,,1318
geolife,010-20080923121817-0,1,5,False,21735,21735,21735,16445,,,0.24338624338624337,12,0,0,5,none,,,,,,,,,True,,1128
geolife,010-20080923231456-1,1,5,False,19281,19281,19281,18691,,,0.030600072610341787,58,0,0,2,none,,,,,,,,,True,,1496
geolife,010-20080924113459-1,1,5,False,21973,21973,21973,17548,,,0.2013835161334365,14,0,0,5,none,,,,,,,,,True,,1311
geolife,010-20080924231334-1,1,5,False,17750,17750,17750,16670,,,0.06084507042253521,26,0,0,1,none,,,,,,,,,True,,1368
geolife,010-20080925104204-0,1,5,False,21492,21492,21492,18647,,,0.1323748371487065,19,0,0,4,none,,,,,,,,,True,,1300
geolife,010-20080925233430-0,1,5,False,18103,18103,18103,16943,,,0.06407777716400596,31,0,0,2,none,,,,,,,,,True,,1405
geolife,010-20080926105402-0,1,5,False,21916,21916,21916,17466,,,0.20304800146012045,15,0,0,5,none,,,,,,,,,True,,1207
geolife,010-20080927232235-1,1,5,False,16035,16035,16035,13995,,,0.12722170252572498,22,0,0,2,none,,,,,,,,,True,,738
geolife,010-20081005225112-1,1,5,False,17388,17388,17388,17388,,,0.0,59,0,0,0,none,,,,,,,,,True,,
rome,rome:60:103-0-s96:p0,1,12,False,18646,27644,25631,10164,0.48256998820122277,0.3746111766598734,0.45489649254531805,24,5,4,3,derived_from_native_gap_count,110,10098,0.010893246187363835,0.2,110,8085,0.013605442176870748,0.0,True,1955,1495
rome,rome:60:104-0-s145:p0,1,12,False,2090,23869,5854,2090,10.420574162679426,1.800956937799043,0.0,24,10,2,0,derived_from_native_gap_count,142,23199,0.006120953489374542,0.8,112,4884,0.02293202293202293,0.0,True,2004,
rome,rome:60:105-0-s77:p0,1,12,False,360,16959,360,360,46.108333333333334,,0.0,24,8,0,0,derived_from_native_gap_count,11,16731,0.0006574621959237344,1.0,,,,,True,2005,
rome,rome:60:109-0-s11:p0,1,12,False,10248,20097,12069,5004,0.9610655737704918,0.17769320843091335,0.5117096018735363,24,5,1,2,derived_from_native_gap_count,18,10065,0.0017883755588673621,0.8,16,2013,0.007948335817188276,0.0,True,1997,1435
