dataset,penalty_scope,target_gain_epsilon,min_alpha,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,n_periods,n_penalty_observations,withholding_gain_p95,honest_penalty_median,honest_penalty_p95,skip_reason
geolife,all_outage,0.0,,,,,,,,,no_penalty_observations
geolife,all_outage,0.01,,,,,,,,,no_penalty_observations
geolife,all_outage,0.05,,,,,,,,,no_penalty_observations
geolife,controlled_120s,0.0,0.6,3.0,5.0,14,42,0.0,0.43060773541200525,0.5799238814070806,
geolife,controlled_120s,0.01,0.5,2.5,5.0,14,42,0.006381554652880347,0.3321942357917902,0.46054344965725297,
geolife,controlled_120s,0.05,0.4,2.0,5.0,14,42,0.0473418117139819,0.2262267477461126,0.33778180847576245,
geolife,controlled_300s,0.0,0.6,3.0,5.0,14,38,0.0,1.3060729637385649,1.5795017579298907,
geolife,controlled_300s,0.01,0.5,2.5,5.0,14,38,0.006381554652880347,1.035806930140422,1.291219574352429,
geolife,controlled_300s,0.05,0.4,2.0,5.0,14,38,0.0473418117139819,0.7674142460397528,1.0029373907749675,
geolife,controlled_60s,0.0,0.6,3.0,5.0,14,42,0.0,0.18518374878611454,0.28391752274173887,
geolife,controlled_60s,0.01,0.5,2.5,5.0,14,42,0.006381554652880347,0.13883580076259924,0.2270941424045402,
geolife,controlled_60s,0.05,0.4,2.0,5.0,14,42,0.0473418117139819,0.09011929313224273,0.16919727138755492,
geolife,moving_outage,0.0,,,,,,,,,no_penalty_observations
geolife,moving_outage,0.01,,,,,,,,,no_penalty_observations
geolife,moving_outage,0.05,,,,,,,,,no_penalty_observations
rome,all_outage,0.0,0.3,3.5999999999999996,12.0,162,162,0.0,11.837300682856238,123.24229499072355,
rome,all_outage,0.01,0.3,3.5999999999999996,12.0,162,162,0.0,11.837300682856238,123.24229499072355,
rome,all_outage,0.05,0.3,3.5999999999999996,12.0,162,162,0.0,11.837300682856238,123.24229499072355,
rome,controlled_120s,0.0,0.3,3.5999999999999996,12.0,162,445,0.0,2.874371859296482,18.353125,
rome,controlled_120s,0.01,0.3,3.5999999999999996,12.0,162,445,0.0,2.874371859296482,18.353125,
rome,controlled_120s,0.05,0.3,3.5999999999999996,12.0,162,445,0.0,2.874371859296482,18.353125,
rome,controlled_300s,0.0,0.3,3.5999999999999996,12.0,162,434,0.0,7.237771369161076,45.897656250000004,
rome,controlled_300s,0.01,0.3,3.5999999999999996,12.0,162,434,0.0,7.237771369161076,45.897656250000004,
rome,controlled_300s,0.05,0.3,3.5999999999999996,12.0,162,434,0.0,7.237771369161076,45.897656250000004,
rome,controlled_60s,0.0,0.3,3.5999999999999996,12.0,162,450,0.0,1.4132840367641313,8.915747767857141,
rome,controlled_60s,0.01,0.3,3.5999999999999996,12.0,162,450,0.0,1.4132840367641313,8.915747767857141,
rome,controlled_60s,0.05,0.3,3.5999999999999996,12.0,162,450,0.0,1.4132840367641313,8.915747767857141,
rome,moving_outage,0.0,0.3,3.5999999999999996,12.0,162,125,0.0,3.9255033557046977,12.533943661971831,
rome,moving_outage,0.01,0.3,3.5999999999999996,12.0,162,125,0.0,3.9255033557046977,12.533943661971831,
rome,moving_outage,0.05,0.3,3.5999999999999996,12.0,162,125,0.0,3.9255033557046977,12.533943661971831,
