dataset,penalty_scope,controlled_duration_sec,alpha,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,n_periods,n_penalty_observations,honest_penalty_median,honest_penalty_p95,withholding_gain_mean,withholding_gain_median,withholding_gain_p95
geolife,all_outage,,0.1,0.5,5.0,14,0,,,0.37894485377581655,0.41010229925221153,0.57013792051625
geolife,moving_outage,,0.1,0.5,5.0,14,0,,,0.37894485377581655,0.41010229925221153,0.57013792051625
geolife,all_outage,,0.2,1.0,5.0,14,0,,,0.13647035710790464,0.12979826983721574,0.27323060029854707
geolife,moving_outage,,0.2,1.0,5.0,14,0,,,0.13647035710790464,0.12979826983721574,0.27323060029854707
geolife,all_outage,,0.3,1.5,5.0,14,0,,,0.0338202392026226,0.019372178173320445,0.11222661443875956
geolife,moving_outage,,0.3,1.5,5.0,14,0,,,0.0338202392026226,0.019372178173320445,0.11222661443875956
geolife,all_outage,,0.4,2.0,5.0,14,0,,,0.008900007603722546,0.0,0.0473418117139819
geolife,moving_outage,,0.4,2.0,5.0,14,0,,,0.008900007603722546,0.0,0.0473418117139819
geolife,all_outage,,0.5,2.5,5.0,14,0,,,0.0013023580924245621,0.0,0.006381554652880347
geolife,moving_outage,,0.5,2.5,5.0,14,0,,,0.0013023580924245621,0.0,0.006381554652880347
geolife,all_outage,,0.6,3.0,5.0,14,0,,,0.0,0.0,0.0
geolife,moving_outage,,0.6,3.0,5.0,14,0,,,0.0,0.0,0.0
geolife,all_outage,,0.7,3.5,5.0,14,0,,,0.0,0.0,0.0
geolife,moving_outage,,0.7,3.5,5.0,14,0,,,0.0,0.0,0.0
geolife,all_outage,,0.8,4.0,5.0,14,0,,,0.0,0.0,0.0
geolife,moving_outage,,0.8,4.0,5.0,14,0,,,0.0,0.0,0.0
geolife,all_outage,,0.9,4.5,5.0,14,0,,,0.0,0.0,0.0
geolife,moving_outage,,0.9,4.5,5.0,14,0,,,0.0,0.0,0.0
