dataset,period_id,alpha,fallback_rate_cents_per_m,max_zone_rate_cents_per_m,exact_fee_cents,strategic_min_fee_cents,withholding_gain,declared_outage_intervals,honest_penalty_all_outage,honest_penalty_moving_outage,n_intervals,n_all_outage_edges,n_moving_outage_edges,honest_outage_source,all_outage_movement_ratio,all_outage_dwell_edge_share,moving_outage_movement_ratio,moving_outage_dwell_edge_share,speed_bound_ok
geolife,010-20080916114237-0,0.1,0.5,5.0,21664.0,8676.0,0.5995199409158051,9,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,0.2,1.0,5.0,21664.0,14544.0,0.32865583456425407,4,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,0.3,1.5,5.0,21664.0,17309.0,0.20102474150664698,2,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,0.4,2.0,5.0,21664.0,19289.0,0.10962887740029542,2,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,0.5,2.5,5.0,21664.0,21269.0,0.01823301329394387,2,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,0.6,3.0,5.0,21664.0,21664.0,0.0,0,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,0.7,3.5,5.0,21664.0,21664.0,0.0,0,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,0.8,4.0,5.0,21664.0,21664.0,0.0,0,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,0.9,4.5,5.0,21664.0,21664.0,0.0,0,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,1.0,5.0,5.0,21664.0,21664.0,0.0,0,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,1.1,5.5,5.0,21664.0,21664.0,0.0,0,,,10,0,0,none,,,,,True
geolife,010-20080916114237-0,1.2,6.0,5.0,21664.0,21664.0,0.0,0,,,10,0,0,none,,,,,True
geolife,010-20080917225654-0,0.1,0.5,5.0,17357.0,9709.0,0.4406291409805842,6,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,0.2,1.0,5.0,17357.0,14909.0,0.14103819784524976,4,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,0.3,1.5,5.0,17357.0,17262.0,0.005473296076510918,1,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,0.4,2.0,5.0,17357.0,17357.0,0.0,0,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,0.5,2.5,5.0,17357.0,17357.0,0.0,0,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,0.6,3.0,5.0,17357.0,17357.0,0.0,0,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,0.7,3.5,5.0,17357.0,17357.0,0.0,0,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,0.8,4.0,5.0,17357.0,17357.0,0.0,0,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,0.9,4.5,5.0,17357.0,17357.0,0.0,0,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,1.0,5.0,5.0,17357.0,17357.0,0.0,0,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,1.1,5.5,5.0,17357.0,17357.0,0.0,0,,,16,0,0,none,,,,,True
geolife,010-20080917225654-0,1.2,6.0,5.0,17357.0,17357.0,0.0,0,,,16,0,0,none,,,,,True
geolife,010-20080921224934-0,0.1,0.5,5.0,18695.0,14002.5,0.25100294196309175,7,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,0.2,1.0,5.0,18695.0,18370.0,0.017384327360256753,1,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,0.3,1.5,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,0.4,2.0,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,0.5,2.5,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,0.6,3.0,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,0.7,3.5,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,0.8,4.0,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,0.9,4.5,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,1.0,5.0,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,1.1,5.5,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080921224934-0,1.2,6.0,5.0,18695.0,18695.0,0.0,0,,,35,0,0,none,,,,,True
geolife,010-20080922111517-0,0.1,0.5,5.0,21393.0,9534.5,0.5543168326087973,9,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,0.2,1.0,5.0,21393.0,16385.0,0.23409526480624504,6,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,0.3,1.5,5.0,21393.0,20163.0,0.05749544243444117,2,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,0.4,2.0,5.0,21393.0,21368.0,0.0011686065535455523,1,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,0.5,2.5,5.0,21393.0,21393.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,0.6,3.0,5.0,21393.0,21393.0,0.0,0,,,12,0,0,none,,,,,True
geolife,010-20080922111517-0,0.7,3.5,5.0,21393.0,21393.0,0.0,0,,,12,0,0,none,,,,,True
