penalty_scope,dataset,fallback_rate_cents_per_m,n_periods,n_honest_outage_periods,max_zone_rate_cents_per_m,ge_dataset_max_zone_rate,min_exact_fee_cents,p05_exact_fee_cents,median_exact_fee_cents,honest_penalty_mean,honest_penalty_median,honest_penalty_p95,withholding_gain_mean,withholding_gain_median,withholding_gain_p95,honest_outage_movement_ratio_median,honest_outage_dwell_edge_share_mean,all_speed_bounds_ok
all_outages,geolife,1,14,0,5,False,16035.0,16894.3,18988.0,,,,0.13647035710790464,0.12979826983721574,0.27323060029854707,,,True
all_outages,geolife,2,14,0,5,False,16035.0,16894.3,18988.0,,,,0.008900007603722546,0.0,0.0473418117139819,,,True
all_outages,geolife,3,14,0,5,False,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,4,14,0,5,False,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,5,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,6,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,7,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,8,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,9,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,10,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,11,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,12,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,13,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,geolife,14,14,0,5,True,16035.0,16894.3,18988.0,,,,0.0,0.0,0.0,,,True
all_outages,porto,1,10,1,5,False,2035.0,2194.75,5627.5,0.8309623430962343,0.8309623430962343,0.8309623430962343,0.06905570723284313,0.011434388745862296,0.265419687469016,0.005865102639296188,0.0,True
all_outages,porto,2,10,1,5,False,2035.0,2194.75,5627.5,1.6870292887029288,1.6870292887029288,1.6870292887029288,0.0010776829815895826,0.0,0.005927256398742711,0.005865102639296188,0.0,True
all_outages,porto,3,10,1,5,False,2035.0,2194.75,5627.5,2.5430962343096235,2.5430962343096235,2.5430962343096235,0.0,0.0,0.0,0.005865102639296188,0.0,True
all_outages,porto,4,10,1,5,False,2035.0,2194.75,5627.5,3.399163179916318,3.399163179916318,3.399163179916318,0.0,0.0,0.0,0.005865102639296188,0.0,True
all_outages,porto,5,10,1,5,True,2035.0,2194.75,5627.5,4.2552301255230125,4.2552301255230125,4.2552301255230125,0.0,0.0,0.0,0.005865102639296188,0.0,True
all_outages,porto,6,10,1,5,True,2035.0,2194.75,5627.5,5.111297071129707,5.111297071129707,5.111297071129707,0.0,0.0,0.0,0.005865102639296188,0.0,True
