adversarial_min_fee_cents,cadence_sec,claimed_distance_m,claimed_path,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,path_changed_fixes,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m,true_path
5230,120,523,"[1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1212,1313,1212,1111]",True,rome,50,270.71067811865476,medium,8028,25,700,25,intra_cell,100,rome:60:153-0-s15:p2,200,0.34853014449427006,,669,"[1113,1112,1113,1112,1112,1112,1112,1112,1113,1113,1113,1113,1113,1113,1113,1113,1113,1112,1112,1112,1112,1112,1112,1112,1112]"
5230,120,523,"[1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1213,1212,1313,1212,1111,1111]",True,rome,50,270.71067811865476,medium,7776,25,700,25,intra_cell,100,rome:60:67-1-s1:p0,200,0.327417695473251,,648,"[1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1012,910,1010]"
4653,120,423,"[108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,9,108,108,7]",True,rome,50,270.71067811865476,medium,6744,25,700,25,intra_cell,100,rome:60:83-0-s59:p0,200,0.31005338078291816,,562,"[107,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,207,207,208,208,208,207,207,207]"
4202,120,382,"[109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,8,108,7]",True,rome,50,270.71067811865476,medium,6000,25,700,25,intra_cell,100,rome:60:309-0-s267:p0,200,0.2996666666666667,,500,"[308,207,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,207,207,207,207,208,207,207,207]"
5390,120,539,"[1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,714,714]",True,rome,50,270.71067811865476,medium,7512,25,700,25,intra_cell,100,rome:60:214-0-s203:p1,200,0.28248136315228967,,626,"[1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1112,1112,1012,1012,914,715]"
5830,120,583,"[1312,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007]",True,rome,50,270.71067811865476,medium,8112,25,700,25,intra_cell,100,rome:60:58-0-s2:p0,200,0.28131163708086787,,676,"[1112,1108,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207]"
3820,120,382,"[1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1203,1102,1003]",True,rome,50,270.71067811865476,medium,5312,25,700,25,intra_cell,100,rome:60:155-0-s266:p0,200,0.2808734939759036,,514,"[1200,1203,1203,1203,1203,1203,1203,1203,1203,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204]"
5402,120,482,"[7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,108,7]",True,rome,50,270.71067811865476,medium,7368,25,700,25,intra_cell,100,rome:60:167-0-s26:p0,200,0.2668295331161781,,614,"[5,107,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208]"
3820,120,382,"[1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1312,1411,1312]",True,rome,50,270.71067811865476,medium,5190,25,700,25,intra_cell,100,rome:60:43-1-s80:p0,200,0.26396917148362237,,519,"[1212,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513,1513,1513,1513,1513,1513,1513,1513]"
4230,120,423,"[1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1312,1411,1312]",True,rome,50,270.71067811865476,medium,5740,25,700,25,intra_cell,100,rome:60:11-0-s136:p0,200,0.26306620209059234,,574,"[1411,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1513]"
7332,120,705,"[1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1204,1103,1002,903,1004]",True,rome,50,270.71067811865476,medium,9875,25,700,25,intra_cell,100,rome:60:24-0-s50:p0,200,0.25751898734177214,,872,"[1307,1203,1204,1204,1204,1204,1204,1204,1104,1204,1204,1104,1104,1104,1204,1204,1104,1204,1204,1104,1104,1104,1104,1104,1204]"
4230,120,423,"[1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1313,1412,1313]",True,rome,50,270.71067811865476,medium,5680,25,700,25,intra_cell,100,rome:60:11-0-s186:p0,200,0.25528169014084506,,568,"[1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1513,1513,1514,1513,1514,1514,1514,1514]"
6640,120,664,"[1212,1212,1212,1212,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1413,1512,1413,1314]",True,rome,50,270.71067811865476,medium,8756,25,700,25,intra_cell,100,rome:60:243-0-s94:p0,200,0.241662859753312,,780,"[1011,1112,1313,1413,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
4230,120,423,"[1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414,1313,1412,1313]",True,rome,50,270.71067811865476,medium,5570,25,700,25,intra_cell,100,rome:60:70-0-s118:p0,200,0.24057450628366248,,557,"[1413,1514,1514,1514,1515,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
7964,120,724,"[9,108,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403]",True,rome,50,270.71067811865476,medium,10392,25,700,25,intra_cell,100,rome:60:353-0-s131:p0,200,0.23364126250962278,,866,"[210,307,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202]"
6230,120,623,"[1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1313,1412,1513,1313]",True,rome,50,270.71067811865476,medium,8116,25,700,25,intra_cell,100,rome:60:243-0-s91:p0,200,0.23238048299655004,,750,"[1410,1310,1310,1310,1413,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
6853,120,623,"[108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,109,8,109,8,108,108]",True,rome,50,270.71067811865476,medium,8924,25,700,24,intra_cell,100,rome:60:256-0-s375:p0,200,0.2320708202599731,,745,"[107,108,208,208,208,208,208,208,208,208,208,207,207,207,208,207,208,207,207,207,207,207,207,307,309]"
7640,120,764,"[1212,1212,1212,1213,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1412,1313,1412,1313]",True,rome,50,270.71067811865476,medium,9940,25,700,25,intra_cell,100,rome:60:149-0-s182:p0,200,0.23138832997987926,,889,"[1111,1112,1313,1413,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
6430,120,623,"[1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1303,1202,1103,1004]",True,rome,50,270.71067811865476,medium,8357,25,700,25,intra_cell,100,rome:60:229-0-s172:p0,200,0.23058513820749071,,755,"[1307,1205,1203,1203,1204,1204,1203,1204,1204,1204,1204,1204,1204,1204,1203,1203,1203,1204,1204,1204,1204,1203,1204,1204,1204]"
8460,120,846,"[1212,1212,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1313,1412,1313,1412,1313,1412]",True,rome,50,270.71067811865476,medium,10974,25,700,25,intra_cell,100,rome:60:137-0-s71:p0,200,0.2290869327501367,,1000,"[1011,1313,1513,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
6230,120,623,"[1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1412,1313,1412,1513,1313]",True,rome,50,270.71067811865476,medium,8030,25,700,25,intra_cell,100,rome:60:336-0-s227:p0,200,0.22415940224159403,,743,"[1310,1413,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514]"
8614,120,765,"[813,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,912,1013,1213,1011]",True,rome,50,270.71067811865476,medium,11076,25,700,25,intra_cell,100,rome:60:163-0-s105:p0,200,0.2222824124232575,,923,"[614,1010,1011,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012]"
7992,120,751,"[803,803,803,803,803,908,908,909,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010]",True,rome,50,270.71067811865476,medium,10224,25,700,24,intra_cell,100,rome:60:43-1-s109:p0,200,0.21830985915492956,,852,"[705,705,705,705,705,806,908,1010,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1112,1112,1112,1112,1112,1112,1112]"
6276,120,523,"[101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,100,1,100,1]",True,rome,50,270.71067811865476,medium,7980,25,700,25,intra_cell,100,rome:60:275-0-s235:p0,200,0.21353383458646616,,665,"[300,203,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202]"
7404,120,664,"[110,110,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,109,8,109,8]",True,rome,50,270.71067811865476,medium,9360,25,700,25,intra_cell,100,rome:60:268-0-s46:p0,200,0.20897435897435898,,780,"[311,309,308,308,308,307,307,307,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208]"
