adversarial_min_fee_cents,cadence_sec,claimed_distance_m,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m
20141,120,4847,True,geolife,50,270.71067811865476,medium,21664,11,350,intra_cell,100,010-20080916114237-0,200,0.07030096011816839,,5046
16010,120,3918,True,geolife,50,270.71067811865476,medium,17357,17,500,intra_cell,100,010-20080917225654-0,200,0.07760557700063375,,4091
16371,120,4057,True,geolife,50,270.71067811865476,medium,18695,36,975,intra_cell,100,010-20080921224934-0,200,0.12431131318534368,,4251
20040,120,4752,True,geolife,50,270.71067811865476,medium,21393,13,400,intra_cell,100,010-20080922111517-0,200,0.06324498667788529,,4997
16504,120,3968,True,geolife,50,270.71067811865476,medium,18146,36,975,intra_cell,100,010-20080922234926-0,200,0.09048826187589551,,4128
20274,120,4854,True,geolife,50,270.71067811865476,medium,21735,13,400,intra_cell,100,010-20080923121817-0,200,0.06721877156659765,,5095
16927,120,4109,True,geolife,50,270.71067811865476,medium,19281,59,1550,intra_cell,100,010-20080923231456-1,200,0.12208910326227893,,4321
20472,120,4920,True,geolife,50,270.71067811865476,medium,21973,15,450,intra_cell,100,010-20080924113459-1,200,0.0683111090884267,,5159
15448,120,3816,True,geolife,50,270.71067811865476,medium,17750,27,750,intra_cell,100,010-20080924231334-1,200,0.1296901408450704,,4024
19860,120,4716,True,geolife,50,270.71067811865476,medium,21492,20,575,intra_cell,100,010-20080925104204-0,200,0.07593523171412618,,4968
16235,120,3841,True,geolife,50,270.71067811865476,medium,18103,32,875,intra_cell,100,010-20080925233430-0,200,0.10318731701927858,,4069
20299,120,4825,True,geolife,50,270.71067811865476,medium,21916,16,475,intra_cell,100,010-20080926105402-0,200,0.07378171199123927,,5124
13504,120,3416,True,geolife,50,270.71067811865476,medium,16035,23,650,intra_cell,100,010-20080927232235-1,200,0.15784222014343624,,3605
15645,120,3815,True,geolife,50,270.71067811865476,medium,17388,60,1575,intra_cell,100,010-20081005225112-1,200,0.10024154589371981,,4014
16158,120,1511,True,rome,50,270.71067811865476,medium,18646,25,700,intra_cell,100,rome:60:103-0-s96:p0,200,0.13343344417033143,,1678
8460,120,705,True,rome,50,270.71067811865476,medium,10248,25,700,intra_cell,100,rome:60:109-0-s11:p0,200,0.17447306791569087,,854
9942,120,946,True,rome,50,270.71067811865476,medium,11874,25,700,intra_cell,100,rome:60:109-0-s188:p0,200,0.16270843860535625,,1076
12844,120,1228,True,rome,50,270.71067811865476,medium,15742,25,700,intra_cell,100,rome:60:109-0-s32:p0,200,0.18409350781349257,,1408
24234,120,2231,True,rome,50,270.71067811865476,medium,28662,25,700,intra_cell,100,rome:60:109-0-s40:p0,200,0.15449026585723258,,2463
23429,120,2209,True,rome,50,270.71067811865476,medium,26936,25,700,intra_cell,100,rome:60:109-0-s42:p0,200,0.1301975051975052,,2377
4230,120,423,True,rome,50,270.71067811865476,medium,5740,25,700,intra_cell,100,rome:60:11-0-s136:p0,200,0.26306620209059234,,574
4230,120,423,True,rome,50,270.71067811865476,medium,5680,25,700,intra_cell,100,rome:60:11-0-s186:p0,200,0.25528169014084506,,568
13193,120,1148,True,rome,50,270.71067811865476,medium,15504,25,700,intra_cell,100,rome:60:127-0-s273:p0,200,0.14905830753353974,,1292
17366,120,1592,True,rome,50,270.71067811865476,medium,21024,25,700,intra_cell,100,rome:60:128-0-s82:p0,200,0.1739916286149163,,1752
8460,120,846,True,rome,50,270.71067811865476,medium,10974,25,700,intra_cell,100,rome:60:137-0-s71:p0,200,0.2290869327501367,,1000
7640,120,764,True,rome,50,270.71067811865476,medium,9940,25,700,intra_cell,100,rome:60:149-0-s182:p0,200,0.23138832997987926,,889
5230,120,523,True,rome,50,270.71067811865476,medium,8028,25,700,intra_cell,100,rome:60:153-0-s15:p2,200,0.34853014449427006,,669
5640,120,564,True,rome,50,270.71067811865476,medium,7060,25,700,intra_cell,100,rome:60:153-0-s214:p0,200,0.20113314447592068,,706
3820,120,382,True,rome,50,270.71067811865476,medium,5312,25,700,intra_cell,100,rome:60:155-0-s266:p0,200,0.2808734939759036,,514
16261,120,1414,True,rome,50,270.71067811865476,medium,18972,25,700,intra_cell,100,rome:60:156-0-s76:p0,200,0.14289479232553237,,1581
10870,120,1087,True,rome,50,270.71067811865476,medium,13124,25,700,intra_cell,100,rome:60:162-0-s40:p0,200,0.1717464187747638,,1257
8614,120,765,True,rome,50,270.71067811865476,medium,11076,25,700,intra_cell,100,rome:60:163-0-s105:p0,200,0.2222824124232575,,923
5402,120,482,True,rome,50,270.71067811865476,medium,7368,25,700,intra_cell,100,rome:60:167-0-s26:p0,200,0.2668295331161781,,614
10470,120,1047,True,rome,50,270.71067811865476,medium,13040,25,700,intra_cell,100,rome:60:178-1-s43:p0,200,0.19708588957055215,,1214
10320,120,1032,True,rome,50,270.71067811865476,medium,12626,25,700,intra_cell,100,rome:60:185-0-s150:p0,200,0.18263899889117693,,1158
7194,120,623,True,rome,50,270.71067811865476,medium,8904,25,700,intra_cell,100,rome:60:213-0-s66:p0,200,0.19204851752021562,,742
8472,120,706,True,rome,50,270.71067811865476,medium,10332,25,700,intra_cell,100,rome:60:214-0-s203:p0,200,0.1800232288037166,,861
5390,120,539,True,rome,50,270.71067811865476,medium,7512,25,700,intra_cell,100,rome:60:214-0-s203:p1,200,0.28248136315228967,,626
8394,120,723,True,rome,50,270.71067811865476,medium,10464,25,700,intra_cell,100,rome:60:214-0-s220:p0,200,0.1978211009174312,,872
6430,120,623,True,rome,50,270.71067811865476,medium,8357,25,700,intra_cell,100,rome:60:229-0-s172:p0,200,0.23058513820749071,,755
7640,120,764,True,rome,50,270.71067811865476,medium,9348,25,700,intra_cell,100,rome:60:234-0-s260:p0,200,0.18271287976037656,,882
7332,120,705,True,rome,50,270.71067811865476,medium,9875,25,700,intra_cell,100,rome:60:24-0-s50:p0,200,0.25751898734177214,,872
6230,120,623,True,rome,50,270.71067811865476,medium,8116,25,700,intra_cell,100,rome:60:243-0-s91:p0,200,0.23238048299655004,,750
6640,120,664,True,rome,50,270.71067811865476,medium,8756,25,700,intra_cell,100,rome:60:243-0-s94:p0,200,0.241662859753312,,780
24533,120,2411,True,rome,50,270.71067811865476,medium,28889,25,700,intra_cell,100,rome:60:249-0-s139:p0,200,0.1507840354460175,,2591
6230,120,623,True,rome,50,270.71067811865476,medium,7670,25,700,intra_cell,100,rome:60:254-0-s329:p0,200,0.1877444589308996,,767
6853,120,623,True,rome,50,270.71067811865476,medium,8924,25,700,intra_cell,100,rome:60:256-0-s375:p0,200,0.2320708202599731,,745
6276,120,523,True,rome,50,270.71067811865476,medium,7824,25,700,intra_cell,100,rome:60:257-0-s123:p0,200,0.19785276073619631,,652
59489,120,1171,True,rome,50,270.71067811865476,medium,66708,25,700,intra_cell,100,rome:60:257-0-s123:p1,200,0.10821790489896264,,1304
22691,120,2191,True,rome,50,270.71067811865476,medium,26718,25,700,intra_cell,100,rome:60:260-0-s115:p0,200,0.15072235945804327,,2391
7404,120,664,True,rome,50,270.71067811865476,medium,9360,25,700,intra_cell,100,rome:60:268-0-s46:p0,200,0.20897435897435898,,780
6276,120,523,True,rome,50,270.71067811865476,medium,7980,25,700,intra_cell,100,rome:60:275-0-s235:p0,200,0.21353383458646616,,665
20527,120,1783,True,rome,50,270.71067811865476,medium,23616,25,700,intra_cell,100,rome:60:275-0-s376:p0,200,0.1308011517615176,,1968
9168,120,764,True,rome,50,270.71067811865476,medium,10680,25,700,intra_cell,100,rome:60:289-0-s12:p0,200,0.14157303370786517,,890
11746,120,1055,True,rome,50,270.71067811865476,medium,14484,25,700,intra_cell,100,rome:60:289-0-s77:p0,200,0.18903617785142227,,1207
17624,120,1529,True,rome,50,270.71067811865476,medium,20172,25,700,intra_cell,100,rome:60:289-0-s94:p0,200,0.12631370216141186,,1681
20441,120,1901,True,rome,50,270.71067811865476,medium,24720,25,700,intra_cell,100,rome:60:290-0-s103:p0,200,0.17309870550161813,,2060
5784,120,482,True,rome,50,270.71067811865476,medium,7104,25,700,intra_cell,100,rome:60:297-1-s52:p0,200,0.1858108108108108,,592
27680,120,2401,True,rome,50,270.71067811865476,medium,31620,25,700,intra_cell,100,rome:60:306-0-s25:p0,200,0.12460468058191018,,2635
13525,120,1256,True,rome,50,270.71067811865476,medium,16788,25,700,intra_cell,100,rome:60:306-0-s68:p0,200,0.19436502263521563,,1413
4202,120,382,True,rome,50,270.71067811865476,medium,6000,25,700,intra_cell,100,rome:60:309-0-s267:p0,200,0.2996666666666667,,500
15412,120,1337,True,rome,50,270.71067811865476,medium,17772,25,700,intra_cell,100,rome:60:326-0-s63:p0,200,0.1327931577762773,,1481
8460,120,705,True,rome,50,270.71067811865476,medium,10296,25,700,intra_cell,100,rome:60:326-0-s63:p1,200,0.17832167832167833,,858
13038,120,1211,True,rome,50,270.71067811865476,medium,16128,25,700,intra_cell,100,rome:60:329-0-s55:p0,200,0.19159226190476192,,1344
6230,120,623,True,rome,50,270.71067811865476,medium,8030,25,700,intra_cell,100,rome:60:336-0-s227:p0,200,0.22415940224159403,,743
7964,120,724,True,rome,50,270.71067811865476,medium,10392,25,700,intra_cell,100,rome:60:353-0-s131:p0,200,0.23364126250962278,,866
7613,120,683,True,rome,50,270.71067811865476,medium,9420,25,700,intra_cell,100,rome:60:353-0-s219:p0,200,0.1918259023354565,,785
12028,120,1055,True,rome,50,270.71067811865476,medium,14280,25,700,intra_cell,100,rome:60:360-0-s126:p0,200,0.157703081232493,,1190
7992,120,751,True,rome,50,270.71067811865476,medium,10224,25,700,intra_cell,100,rome:60:43-1-s109:p0,200,0.21830985915492956,,852
3820,120,382,True,rome,50,270.71067811865476,medium,5190,25,700,intra_cell,100,rome:60:43-1-s80:p0,200,0.26396917148362237,,519
5784,120,482,True,rome,50,270.71067811865476,medium,7212,25,700,intra_cell,100,rome:60:45-0-s4:p0,200,0.19800332778702162,,601
9118,120,807,True,rome,50,270.71067811865476,medium,11352,25,700,intra_cell,100,rome:60:46-0-s49:p0,200,0.19679351656095842,,946
11610,120,1048,True,rome,50,270.71067811865476,medium,14100,25,700,intra_cell,100,rome:60:46-0-s65:p0,200,0.17659574468085107,,1175
14252,120,1397,True,rome,50,270.71067811865476,medium,17711,25,700,intra_cell,100,rome:60:51-1-s193:p0,200,0.1953023544689741,,1572
5830,120,583,True,rome,50,270.71067811865476,medium,8112,25,700,intra_cell,100,rome:60:58-0-s2:p0,200,0.28131163708086787,,676
8472,120,706,True,rome,50,270.71067811865476,medium,10176,25,700,intra_cell,100,rome:60:66-0-s9:p0,200,0.16745283018867924,,848
5230,120,523,True,rome,50,270.71067811865476,medium,7776,25,700,intra_cell,100,rome:60:67-1-s1:p0,200,0.327417695473251,,648
4230,120,423,True,rome,50,270.71067811865476,medium,5570,25,700,intra_cell,100,rome:60:70-0-s118:p0,200,0.24057450628366248,,557
16854,120,1569,True,rome,50,270.71067811865476,medium,20102,25,700,intra_cell,100,rome:60:70-0-s141:p0,200,0.161575962590787,,1762
