adversarial_min_fee_cents,cadence_sec,claimed_distance_m,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m
,60,,False,geolife,100,0.0,coarse,,11,200,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19315,60,4705,True,geolife,100,200.0,coarse,21664,11,600,cell,100,010-20080916114237-0,200,0.10842872968980798,,5046
,60,,False,geolife,100,70.71067811865476,coarse,,11,250,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19015,60,4605,True,geolife,100,270.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.12227658788774003,,5046
,120,,False,geolife,100,0.0,coarse,,11,200,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19315,120,4705,True,geolife,100,200.0,coarse,21664,11,600,cell,100,010-20080916114237-0,200,0.10842872968980798,,5046
,120,,False,geolife,100,70.71067811865476,coarse,,11,250,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19015,120,4605,True,geolife,100,270.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.12227658788774003,,5046
,300,,False,geolife,100,0.0,coarse,,11,200,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19315,300,4705,True,geolife,100,200.0,coarse,21664,11,600,cell,100,010-20080916114237-0,200,0.10842872968980798,,5046
,300,,False,geolife,100,70.71067811865476,coarse,,11,250,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19015,300,4605,True,geolife,100,270.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.12227658788774003,,5046
,60,,False,geolife,100,0.0,medium,,11,200,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19915,60,4705,True,geolife,100,200.0,medium,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
,60,,False,geolife,100,70.71067811865476,medium,,11,250,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19415,60,4605,True,geolife,100,270.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.10381277695716395,,5046
,120,,False,geolife,100,0.0,medium,,11,200,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19915,120,4705,True,geolife,100,200.0,medium,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
,120,,False,geolife,100,70.71067811865476,medium,,11,250,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19415,120,4605,True,geolife,100,270.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.10381277695716395,,5046
,300,,False,geolife,100,0.0,medium,,11,200,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19915,300,4705,True,geolife,100,200.0,medium,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
,300,,False,geolife,100,70.71067811865476,medium,,11,250,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19415,300,4605,True,geolife,100,270.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.10381277695716395,,5046
,60,,False,geolife,100,0.0,fine,,11,200,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19915,60,4705,True,geolife,100,200.0,fine,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
,60,,False,geolife,100,70.71067811865476,fine,,11,250,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19215,60,4605,True,geolife,100,270.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.113044682422452,,5046
,120,,False,geolife,100,0.0,fine,,11,200,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19915,120,4705,True,geolife,100,200.0,fine,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
,120,,False,geolife,100,70.71067811865476,fine,,11,250,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19215,120,4605,True,geolife,100,270.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.113044682422452,,5046
,300,,False,geolife,100,0.0,fine,,11,200,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19915,300,4705,True,geolife,100,200.0,fine,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
,300,,False,geolife,100,70.71067811865476,fine,,11,250,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19215,300,4605,True,geolife,100,270.71067811865476,fine,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.113044682422452,,5046
17323,60,4041,True,geolife,100,0.0,coarse,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16166,60,3922,True,geolife,100,200.0,coarse,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
17323,60,4041,True,geolife,100,70.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
15666,60,3822,True,geolife,100,270.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
17323,120,4041,True,geolife,100,0.0,coarse,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16166,120,3922,True,geolife,100,200.0,coarse,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
17323,120,4041,True,geolife,100,70.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
15666,120,3822,True,geolife,100,270.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
17323,300,4041,True,geolife,100,0.0,coarse,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16166,300,3922,True,geolife,100,200.0,coarse,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
17323,300,4041,True,geolife,100,70.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
15666,300,3822,True,geolife,100,270.71067811865476,coarse,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
17323,60,4041,True,geolife,100,0.0,medium,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16166,60,3922,True,geolife,100,200.0,medium,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
17323,60,4041,True,geolife,100,70.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
15666,60,3822,True,geolife,100,270.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
17323,120,4041,True,geolife,100,0.0,medium,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16166,120,3922,True,geolife,100,200.0,medium,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
17323,120,4041,True,geolife,100,70.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
15666,120,3822,True,geolife,100,270.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
17323,300,4041,True,geolife,100,0.0,medium,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16166,300,3922,True,geolife,100,200.0,medium,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
17323,300,4041,True,geolife,100,70.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
15666,300,3822,True,geolife,100,270.71067811865476,medium,17357,17,950,intra_cell,150,010-20080917225654-0,200,0.09742467016189434,,4091
17323,60,4041,True,geolife,100,0.0,fine,17357,17,900,cell,100,010-20080917225654-0,0,0.0019588638589618022,,4091
16166,60,3922,True,geolife,100,200.0,fine,17357,17,900,cell,100,010-20080917225654-0,200,0.06861784870657371,,4091
17323,60,4041,True,geolife,100,70.71067811865476,fine,17357,17,950,intra_cell,150,010-20080917225654-0,0,0.0019588638589618022,,4091
