cadence_sec,dataset,granularity,max_residual,mean_residual,median_residual,n,p95_residual,payload_mode,positive_share,relay_radius_m,skip_count
60,geolife,coarse,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
60,geolife,coarse,0.1622700342999688,0.10201392164813859,0.10856219093186051,14,0.14485011078098617,cell,1.0,200,0
60,geolife,coarse,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
60,geolife,coarse,0.1875272840661054,0.1293628151370269,0.13126479231430585,14,0.17105179956576433,intra_cell,1.0,200,0
120,geolife,coarse,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
120,geolife,coarse,0.1622700342999688,0.10201392164813859,0.10856219093186051,14,0.14485011078098617,cell,1.0,200,0
120,geolife,coarse,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
120,geolife,coarse,0.1875272840661054,0.1293628151370269,0.13126479231430585,14,0.17105179956576433,intra_cell,1.0,200,0
300,geolife,coarse,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
300,geolife,coarse,0.1622700342999688,0.10201392164813859,0.10856219093186051,14,0.14485011078098617,cell,1.0,200,0
300,geolife,coarse,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
300,geolife,coarse,0.1875272840661054,0.1293628151370269,0.13126479231430585,14,0.17105179956576433,intra_cell,1.0,200,0
60,geolife,fine,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
60,geolife,fine,0.1622700342999688,0.08872405112572923,0.08075362743610279,14,0.13497251107142752,cell,1.0,200,0
60,geolife,fine,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
60,geolife,fine,0.1875272840661054,0.1206035606992494,0.1143304393165124,14,0.16531342266257348,intra_cell,1.0,200,0
120,geolife,fine,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
120,geolife,fine,0.1622700342999688,0.08872405112572923,0.08075362743610279,14,0.13497251107142752,cell,1.0,200,0
120,geolife,fine,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
120,geolife,fine,0.1875272840661054,0.1206035606992494,0.1143304393165124,14,0.16531342266257348,intra_cell,1.0,200,0
300,geolife,fine,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
300,geolife,fine,0.1622700342999688,0.08872405112572923,0.08075362743610279,14,0.13497251107142752,cell,1.0,200,0
300,geolife,fine,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
300,geolife,fine,0.1875272840661054,0.1206035606992494,0.1143304393165124,14,0.16531342266257348,intra_cell,1.0,200,0
60,geolife,medium,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
