cadence_sec,dataset,granularity,max_residual,mean_residual,median_residual,n,p95_residual,payload_mode,positive_share,relay_radius_m,skip_count
60,geolife,coarse,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
60,geolife,coarse,0.12067352666043031,0.059521048279437334,0.057647278380546285,14,0.1056244667255168,cell,0.9285714285714286,100,0
60,geolife,coarse,0.1622700342999688,0.10201392164813859,0.10856219093186051,14,0.14485011078098617,cell,1.0,200,0
60,geolife,coarse,0.22600561272217026,0.16163746416269223,0.1678397132057881,14,0.21246641650400175,cell,1.0,400,0
60,geolife,coarse,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
60,geolife,coarse,0.14667913938260055,0.09951839787990599,0.1041945046049436,14,0.14064063950275257,intra_cell,1.0,100,0
60,geolife,coarse,0.1875272840661054,0.1293628151370269,0.13126479231430585,14,0.17105179956576433,intra_cell,1.0,200,0
60,geolife,coarse,0.2810102899906455,0.19374108023709757,0.1999878501317371,14,0.27935303098689757,intra_cell,1.0,400,0
120,geolife,coarse,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
120,geolife,coarse,0.12067352666043031,0.059521048279437334,0.057647278380546285,14,0.1056244667255168,cell,0.9285714285714286,100,0
120,geolife,coarse,0.1622700342999688,0.10201392164813859,0.10856219093186051,14,0.14485011078098617,cell,1.0,200,0
120,geolife,coarse,0.22600561272217026,0.16163746416269223,0.1678397132057881,14,0.21246641650400175,cell,1.0,400,0
120,geolife,coarse,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
120,geolife,coarse,0.14667913938260055,0.09951839787990599,0.1041945046049436,14,0.14064063950275257,intra_cell,1.0,100,0
120,geolife,coarse,0.1875272840661054,0.1293628151370269,0.13126479231430585,14,0.17105179956576433,intra_cell,1.0,200,0
120,geolife,coarse,0.2810102899906455,0.19374108023709757,0.1999878501317371,14,0.27935303098689757,intra_cell,1.0,400,0
300,geolife,coarse,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
300,geolife,coarse,0.12067352666043031,0.059521048279437334,0.057647278380546285,14,0.1056244667255168,cell,0.9285714285714286,100,0
300,geolife,coarse,0.1622700342999688,0.10201392164813859,0.10856219093186051,14,0.14485011078098617,cell,1.0,200,0
300,geolife,coarse,0.22600561272217026,0.16163746416269223,0.1678397132057881,14,0.21246641650400175,cell,1.0,400,0
300,geolife,coarse,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
300,geolife,coarse,0.14667913938260055,0.09951839787990599,0.1041945046049436,14,0.14064063950275257,intra_cell,1.0,100,0
300,geolife,coarse,0.1875272840661054,0.1293628151370269,0.13126479231430585,14,0.17105179956576433,intra_cell,1.0,200,0
300,geolife,coarse,0.2810102899906455,0.19374108023709757,0.1999878501317371,14,0.27935303098689757,intra_cell,1.0,400,0
60,geolife,fine,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
60,geolife,fine,0.12385406922357343,0.0497607669290059,0.048122516640023066,14,0.0860841354958563,cell,1.0,100,0
60,geolife,fine,0.1622700342999688,0.08872405112572923,0.08075362743610279,14,0.13497251107142752,cell,1.0,200,0
60,geolife,fine,0.22600561272217026,0.15461753908676187,0.15047154266032764,14,0.20859356785740646,cell,1.0,400,0
60,geolife,fine,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
60,geolife,fine,0.14667913938260055,0.08564898733221796,0.08032381710132015,14,0.12493087341178218,intra_cell,1.0,100,0
60,geolife,fine,0.1875272840661054,0.1206035606992494,0.1143304393165124,14,0.16531342266257348,intra_cell,1.0,200,0
60,geolife,fine,0.24658559401309635,0.18387217274953788,0.19768776989638004,14,0.23607960579190765,intra_cell,1.0,400,0
120,geolife,fine,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
120,geolife,fine,0.12385406922357343,0.0497607669290059,0.048122516640023066,14,0.0860841354958563,cell,1.0,100,0
120,geolife,fine,0.1622700342999688,0.08872405112572923,0.08075362743610279,14,0.13497251107142752,cell,1.0,200,0
120,geolife,fine,0.22600561272217026,0.15461753908676187,0.15047154266032764,14,0.20859356785740646,cell,1.0,400,0
120,geolife,fine,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
120,geolife,fine,0.14667913938260055,0.08564898733221796,0.08032381710132015,14,0.12493087341178218,intra_cell,1.0,100,0
120,geolife,fine,0.1875272840661054,0.1206035606992494,0.1143304393165124,14,0.16531342266257348,intra_cell,1.0,200,0
120,geolife,fine,0.24658559401309635,0.18387217274953788,0.19768776989638004,14,0.23607960579190765,intra_cell,1.0,400,0
300,geolife,fine,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
300,geolife,fine,0.12385406922357343,0.0497607669290059,0.048122516640023066,14,0.0860841354958563,cell,1.0,100,0
300,geolife,fine,0.1622700342999688,0.08872405112572923,0.08075362743610279,14,0.13497251107142752,cell,1.0,200,0
300,geolife,fine,0.22600561272217026,0.15461753908676187,0.15047154266032764,14,0.20859356785740646,cell,1.0,400,0
300,geolife,fine,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
300,geolife,fine,0.14667913938260055,0.08564898733221796,0.08032381710132015,14,0.12493087341178218,intra_cell,1.0,100,0
300,geolife,fine,0.1875272840661054,0.1206035606992494,0.1143304393165124,14,0.16531342266257348,intra_cell,1.0,200,0
300,geolife,fine,0.24658559401309635,0.18387217274953788,0.19768776989638004,14,0.23607960579190765,intra_cell,1.0,400,0
60,geolife,medium,0.018792020279951506,0.008492990757210397,0.007589971374445042,4,0.017956379071448023,cell,0.75,0,10
60,geolife,medium,0.12067352666043031,0.04913723162968955,0.048122516640023066,14,0.08497094559875623,cell,0.9285714285714286,100,0
60,geolife,medium,0.1622700342999688,0.08755178902994445,0.08075362743610279,14,0.12981458357804027,cell,1.0,200,0
60,geolife,medium,0.22600561272217026,0.15288823706947557,0.15047154266032764,14,0.20859356785740646,cell,1.0,400,0
60,geolife,medium,0.04659154929577465,0.020932428037539558,0.016006549584939894,6,0.04620142594698627,intra_cell,0.8333333333333334,0,8
60,geolife,medium,0.14667913938260055,0.08564898733221796,0.08032381710132015,14,0.12493087341178218,intra_cell,1.0,100,0
60,geolife,medium,0.1875272840661054,0.11739769616971299,0.10888589463778212,14,0.16212750716961574,intra_cell,1.0,200,0
