adversarial_min_fee_cents,cadence_sec,claimed_distance_m,constraints_ok,dataset,distance_bucket_m,effective_radius_m,granularity,honest_fee_cents,n_fixes,odometer_check_tolerance_m,payload_mode,payload_odometer_tolerance_m,period_id,relay_radius_m,savings_ratio,skip_reason,true_distance_m
,60,,False,geolife,100,0.0,coarse,,11,600,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
20106,60,4840,True,geolife,100,100.0,coarse,21664,11,600,cell,100,010-20080916114237-0,100,0.0719165435745938,,5046
19315,60,4705,True,geolife,100,200.0,coarse,21664,11,600,cell,100,010-20080916114237-0,200,0.10842872968980798,,5046
18768,60,4620,True,geolife,100,400.0,coarse,21664,11,600,cell,100,010-20080916114237-0,400,0.13367799113737075,,5046
,60,,False,geolife,100,70.71067811865476,coarse,,11,650,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19332,60,4644,True,geolife,100,170.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,100,0.10764401772525849,,5046
19015,60,4605,True,geolife,100,270.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.12227658788774003,,5046
18498,60,4566,True,geolife,100,470.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,400,0.1461410635155096,,5046
,120,,False,geolife,100,0.0,coarse,,11,600,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
20106,120,4840,True,geolife,100,100.0,coarse,21664,11,600,cell,100,010-20080916114237-0,100,0.0719165435745938,,5046
19315,120,4705,True,geolife,100,200.0,coarse,21664,11,600,cell,100,010-20080916114237-0,200,0.10842872968980798,,5046
18768,120,4620,True,geolife,100,400.0,coarse,21664,11,600,cell,100,010-20080916114237-0,400,0.13367799113737075,,5046
,120,,False,geolife,100,70.71067811865476,coarse,,11,650,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19332,120,4644,True,geolife,100,170.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,100,0.10764401772525849,,5046
19015,120,4605,True,geolife,100,270.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.12227658788774003,,5046
18498,120,4566,True,geolife,100,470.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,400,0.1461410635155096,,5046
,300,,False,geolife,100,0.0,coarse,,11,600,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
20106,300,4840,True,geolife,100,100.0,coarse,21664,11,600,cell,100,010-20080916114237-0,100,0.0719165435745938,,5046
19315,300,4705,True,geolife,100,200.0,coarse,21664,11,600,cell,100,010-20080916114237-0,200,0.10842872968980798,,5046
18768,300,4620,True,geolife,100,400.0,coarse,21664,11,600,cell,100,010-20080916114237-0,400,0.13367799113737075,,5046
,300,,False,geolife,100,70.71067811865476,coarse,,11,650,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19332,300,4644,True,geolife,100,170.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,100,0.10764401772525849,,5046
19015,300,4605,True,geolife,100,270.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.12227658788774003,,5046
18498,300,4566,True,geolife,100,470.71067811865476,coarse,21664,11,650,intra_cell,150,010-20080916114237-0,400,0.1461410635155096,,5046
,60,,False,geolife,100,0.0,medium,,11,600,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
21026,60,4820,True,geolife,100,100.0,medium,21664,11,600,cell,100,010-20080916114237-0,100,0.029449778434268832,,5046
19915,60,4705,True,geolife,100,200.0,medium,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
18768,60,4620,True,geolife,100,400.0,medium,21664,11,600,cell,100,010-20080916114237-0,400,0.13367799113737075,,5046
,60,,False,geolife,100,70.71067811865476,medium,,11,650,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19932,60,4644,True,geolife,100,170.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,100,0.07994830132939439,,5046
19415,60,4605,True,geolife,100,270.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.10381277695716395,,5046
18498,60,4566,True,geolife,100,470.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,400,0.1461410635155096,,5046
,120,,False,geolife,100,0.0,medium,,11,600,cell,100,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
21026,120,4820,True,geolife,100,100.0,medium,21664,11,600,cell,100,010-20080916114237-0,100,0.029449778434268832,,5046
19915,120,4705,True,geolife,100,200.0,medium,21664,11,600,cell,100,010-20080916114237-0,200,0.08073301329394388,,5046
18768,120,4620,True,geolife,100,400.0,medium,21664,11,600,cell,100,010-20080916114237-0,400,0.13367799113737075,,5046
,120,,False,geolife,100,70.71067811865476,medium,,11,650,intra_cell,150,010-20080916114237-0,0,,no feasible adversarial claim under enabled constraints,5046
19932,120,4644,True,geolife,100,170.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,100,0.07994830132939439,,5046
19415,120,4605,True,geolife,100,270.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,200,0.10381277695716395,,5046
18498,120,4566,True,geolife,100,470.71067811865476,medium,21664,11,650,intra_cell,150,010-20080916114237-0,400,0.1461410635155096,,5046
