dataset,placement,omit_policy,omit_fraction,cameras,empirical_p_detect,trials,tsip_p_detect_proof_violating,tsip_cameras
geolife,uniform_random,rational_topfee,0.1,1,0.008302,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,1,0.011321,5300,1.0,0
geolife,uniform_random,random,0.1,1,0.004717,5300,1.0,0
geolife,uniform_random,random,0.2,1,0.008679,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,2,0.011887,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,2,0.017547,5300,1.0,0
geolife,uniform_random,random,0.1,2,0.008491,5300,1.0,0
geolife,uniform_random,random,0.2,2,0.016415,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,5,0.024528,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,5,0.039434,5300,1.0,0
geolife,uniform_random,random,0.1,5,0.023774,5300,1.0,0
geolife,uniform_random,random,0.2,5,0.038113,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,10,0.050189,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,10,0.081509,5300,1.0,0
geolife,uniform_random,random,0.1,10,0.044528,5300,1.0,0
geolife,uniform_random,random,0.2,10,0.073208,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,20,0.098491,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,20,0.152075,5300,1.0,0
geolife,uniform_random,random,0.1,20,0.097736,5300,1.0,0
geolife,uniform_random,random,0.2,20,0.156038,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,50,0.229245,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,50,0.340755,5300,1.0,0
geolife,uniform_random,random,0.1,50,0.218302,5300,1.0,0
geolife,uniform_random,random,0.2,50,0.339057,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,75,0.318302,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,75,0.461132,5300,1.0,0
geolife,uniform_random,random,0.1,75,0.330943,5300,1.0,0
geolife,uniform_random,random,0.2,75,0.466415,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,100,0.436415,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,100,0.581698,5300,1.0,0
geolife,uniform_random,random,0.1,100,0.435283,5300,1.0,0
geolife,uniform_random,random,0.2,100,0.571132,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,125,0.502642,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,125,0.668113,5300,1.0,0
geolife,uniform_random,random,0.1,125,0.509434,5300,1.0,0
geolife,uniform_random,random,0.2,125,0.671698,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,150,0.591698,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,150,0.74,5300,1.0,0
geolife,uniform_random,random,0.1,150,0.590755,5300,1.0,0
geolife,uniform_random,random,0.2,150,0.730943,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,175,0.655283,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,175,0.793962,5300,1.0,0
geolife,uniform_random,random,0.1,175,0.661132,5300,1.0,0
geolife,uniform_random,random,0.2,175,0.796415,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,200,0.728868,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,200,0.849811,5300,1.0,0
geolife,uniform_random,random,0.1,200,0.723019,5300,1.0,0
geolife,uniform_random,random,0.2,200,0.837358,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,250,0.840755,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,250,0.920377,5300,1.0,0
geolife,uniform_random,random,0.1,250,0.839623,5300,1.0,0
geolife,uniform_random,random,0.2,250,0.917547,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,300,0.920566,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,300,0.957925,5300,1.0,0
geolife,uniform_random,random,0.1,300,0.916981,5300,1.0,0
geolife,uniform_random,random,0.2,300,0.954151,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,350,0.983585,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,350,0.990377,5300,1.0,0
geolife,uniform_random,random,0.1,350,0.98283,5300,1.0,0
geolife,uniform_random,random,0.2,350,0.990189,5300,1.0,0
geolife,uniform_random,rational_topfee,0.1,370,1.0,5300,1.0,0
geolife,uniform_random,rational_topfee,0.2,370,1.0,5300,1.0,0
geolife,uniform_random,random,0.1,370,1.0,5300,1.0,0
geolife,uniform_random,random,0.2,370,1.0,5300,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,1,0.0,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,1,0.0,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,1,0.056604,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,1,0.075472,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,2,0.0,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,2,0.0,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,2,0.037736,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,2,0.132075,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,5,0.0,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,5,0.0,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,5,0.056604,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,5,0.226415,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,10,0.0,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,10,0.0,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,10,0.188679,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,10,0.207547,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,20,0.09434,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,20,0.188679,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,20,0.339623,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,20,0.339623,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,50,0.433962,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,50,0.54717,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,50,0.509434,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,50,0.528302,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,75,0.471698,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,75,0.566038,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,75,0.54717,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,75,0.566038,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,100,0.54717,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,100,0.584906,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,100,0.566038,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,100,0.584906,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,125,0.584906,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,125,0.641509,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,125,0.641509,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,125,0.660377,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.1,150,0.622642,53,1.0,0
geolife,traffic_weighted_generous,rational_topfee,0.2,150,0.660377,53,1.0,0
geolife,traffic_weighted_generous,random,0.1,150,0.603774,53,1.0,0
geolife,traffic_weighted_generous,random,0.2,150,0.698113,53,1.0,0
