dataset,placement,cameras,honest_route_visibility_mean,honest_route_visibility_median,observed_segments_per_period_mean,n_periods,draws
geolife,uniform_random,1,0.002657,0.0,0.0374,53,100
geolife,uniform_random,2,0.00572,0.0,0.0766,53,100
geolife,uniform_random,5,0.013097,0.0,0.1732,53,100
geolife,uniform_random,10,0.026138,0.0,0.3436,53,100
geolife,uniform_random,20,0.056776,0.0,0.6958,53,100
geolife,uniform_random,50,0.135034,0.111111,1.6925,53,100
geolife,uniform_random,75,0.201017,0.190476,2.5777,53,100
geolife,uniform_random,100,0.26779,0.25,3.4387,53,100
geolife,uniform_random,125,0.33766,0.333333,4.2177,53,100
geolife,uniform_random,150,0.406457,0.4,5.1179,53,100
geolife,uniform_random,175,0.469259,0.470588,5.9619,53,100
geolife,uniform_random,200,0.542257,0.545455,6.8564,53,100
geolife,uniform_random,250,0.68049,0.6875,8.5262,53,100
geolife,uniform_random,300,0.806699,0.823529,10.2377,53,100
geolife,uniform_random,350,0.944532,1.0,11.9285,53,100
geolife,uniform_random,370,1.0,1.0,12.6226,53,100
geolife,traffic_weighted_generous,1,0.013417,0.0,0.2264,53,1
geolife,traffic_weighted_generous,2,0.026832,0.0,0.4528,53,1
geolife,traffic_weighted_generous,5,0.062244,0.0,1.0566,53,1
geolife,traffic_weighted_generous,10,0.103894,0.0,1.717,53,1
geolife,traffic_weighted_generous,20,0.172708,0.166667,2.8113,53,1
geolife,traffic_weighted_generous,50,0.323571,0.375,5.0377,53,1
geolife,traffic_weighted_generous,75,0.412843,0.529412,6.3962,53,1
geolife,traffic_weighted_generous,100,0.477862,0.642857,7.3396,53,1
geolife,traffic_weighted_generous,125,0.562497,0.75,8.0,53,1
geolife,traffic_weighted_generous,150,0.599775,0.846154,8.4717,53,1
geolife,traffic_weighted_generous,175,0.633776,0.923077,8.9434,53,1
geolife,traffic_weighted_generous,200,0.664638,1.0,9.4151,53,1
geolife,traffic_weighted_generous,250,0.723918,1.0,10.3585,53,1
geolife,traffic_weighted_generous,300,0.831114,1.0,11.3019,53,1
geolife,traffic_weighted_generous,350,0.963809,1.0,12.2453,53,1
geolife,traffic_weighted_generous,370,1.0,1.0,12.6226,53,1
geolife,fee_weighted_adversary_aware,1,0.009641,0.0,0.1132,53,1
geolife,fee_weighted_adversary_aware,2,0.015884,0.0,0.2075,53,1
geolife,fee_weighted_adversary_aware,5,0.037309,0.0,0.5094,53,1
geolife,fee_weighted_adversary_aware,10,0.063872,0.047619,0.8491,53,1
geolife,fee_weighted_adversary_aware,20,0.114258,0.071429,1.5472,53,1
geolife,fee_weighted_adversary_aware,50,0.220819,0.238095,3.1321,53,1
geolife,fee_weighted_adversary_aware,75,0.307174,0.333333,4.3585,53,1
geolife,fee_weighted_adversary_aware,100,0.372188,0.428571,5.3774,53,1
geolife,fee_weighted_adversary_aware,125,0.435947,0.5,6.0943,53,1
geolife,fee_weighted_adversary_aware,150,0.510382,0.5625,6.7925,53,1
geolife,fee_weighted_adversary_aware,175,0.578568,0.625,7.5094,53,1
geolife,fee_weighted_adversary_aware,200,0.635163,0.705882,8.2642,53,1
geolife,fee_weighted_adversary_aware,250,0.749903,0.833333,10.0,53,1
geolife,fee_weighted_adversary_aware,300,0.837682,0.923077,11.1887,53,1
geolife,fee_weighted_adversary_aware,350,0.927584,1.0,12.2264,53,1
geolife,fee_weighted_adversary_aware,370,1.0,1.0,12.6226,53,1
porto,uniform_random,1,0.022361,0.0,0.1189,9,100
porto,uniform_random,2,0.047593,0.0,0.2356,9,100
porto,uniform_random,5,0.114306,0.0,0.5933,9,100
porto,uniform_random,10,0.236759,0.25,1.1844,9,100
porto,uniform_random,20,0.470093,0.5,2.3822,9,100
porto,uniform_random,42,1.0,1.0,5.0,9,100
porto,traffic_weighted_generous,1,0.037037,0.0,0.2222,9,1
porto,traffic_weighted_generous,2,0.185185,0.0,0.4444,9,1
porto,traffic_weighted_generous,5,0.273148,0.166667,0.8889,9,1
porto,traffic_weighted_generous,10,0.365741,0.333333,1.4444,9,1
porto,traffic_weighted_generous,20,0.638889,0.833333,2.5556,9,1
porto,traffic_weighted_generous,42,1.0,1.0,5.0,9,1
porto,fee_weighted_adversary_aware,1,0.037037,0.0,0.2222,9,1
porto,fee_weighted_adversary_aware,2,0.087963,0.0,0.4444,9,1
porto,fee_weighted_adversary_aware,5,0.12963,0.083333,0.7778,9,1
porto,fee_weighted_adversary_aware,10,0.231481,0.166667,1.3333,9,1
porto,fee_weighted_adversary_aware,20,0.490741,0.5,2.4444,9,1
porto,fee_weighted_adversary_aware,42,1.0,1.0,5.0,9,1
rome,uniform_random,1,0.004681,0.0,0.0125,123,100
rome,uniform_random,2,0.012199,0.0,0.0305,123,100
rome,uniform_random,5,0.024388,0.0,0.0672,123,100
rome,uniform_random,10,0.04572,0.0,0.1295,123,100
rome,uniform_random,20,0.103657,0.0,0.2793,123,100
