dataset,omit_policy,omit_fraction,n_periods,tsip_mean_savings_ratio,tsip_median_savings_ratio,tsip_max_savings_ratio,share_needing_outage_declaration,spotcheck_reference
geolife,rational_topfee,0.1,53,-3.182738,-0.666412,-0.206626,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
geolife,rational_topfee,0.2,53,-3.633989,-1.207959,-0.438746,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
geolife,random,0.1,53,-3.25332,-0.81479,-0.352875,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
geolife,random,0.2,53,-3.756912,-1.537593,-0.576902,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
porto,rational_topfee,0.1,9,-2.005495,-1.439932,-0.25595,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
porto,rational_topfee,0.2,9,-2.369889,-1.719475,-0.95824,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
porto,random,0.1,9,-2.821577,-1.690365,-0.774585,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
porto,random,0.2,9,-2.479546,-1.728557,-1.439932,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
rome,rational_topfee,0.1,123,-0.183172,-0.117954,0.0,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
rome,rational_topfee,0.2,123,-0.187191,-0.119642,0.0,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
rome,random,0.1,123,-0.195098,-0.134386,0.0,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
rome,random,0.2,123,-0.209854,-0.140665,0.0,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
tdrive,rational_topfee,0.1,1,-0.185741,-0.185741,-0.185741,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
tdrive,rational_topfee,0.2,1,-0.185741,-0.185741,-0.185741,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
tdrive,random,0.1,1,-0.185741,-0.185741,-0.185741,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
tdrive,random,0.2,1,-0.185741,-0.185741,-0.185741,0.0,"baseline_r_detection_empirical.csv (same strategies, same seed)"
