dataset,road_universe,road_segments,segments_per_driver,omit_fraction,cameras,spotcheck_p_detect,tsip_p_detect_proof_violating,tsip_cameras
geolife,observed_proxy_generous,370,15,0.1,0,0.0,1.0,0
geolife,observed_proxy_generous,370,15,0.1,1,0.004046,1.0,0
geolife,observed_proxy_generous,370,15,0.1,2,0.008075,1.0,0
geolife,observed_proxy_generous,370,15,0.1,5,0.020066,1.0,0
geolife,observed_proxy_generous,370,15,0.1,10,0.03973,1.0,0
geolife,observed_proxy_generous,370,15,0.1,20,0.077881,1.0,0
geolife,observed_proxy_generous,370,15,0.1,50,0.183479,1.0,0
geolife,observed_proxy_generous,370,15,0.1,100,0.333294,1.0,0
geolife,observed_proxy_generous,370,15,0.1,200,0.555502,1.0,0
geolife,observed_proxy_generous,370,15,0.1,370,0.77687,1.0,0
geolife,observed_proxy_generous,370,15,0.2,0,0.0,1.0,0
geolife,observed_proxy_generous,370,15,0.2,1,0.008075,1.0,0
geolife,observed_proxy_generous,370,15,0.2,2,0.016085,1.0,0
geolife,observed_proxy_generous,370,15,0.2,5,0.03973,1.0,0
geolife,observed_proxy_generous,370,15,0.2,10,0.077881,1.0,0
geolife,observed_proxy_generous,370,15,0.2,20,0.149697,1.0,0
geolife,observed_proxy_generous,370,15,0.2,50,0.333294,1.0,0
geolife,observed_proxy_generous,370,15,0.2,100,0.555502,1.0,0
geolife,observed_proxy_generous,370,15,0.2,200,0.802422,1.0,0
geolife,observed_proxy_generous,370,15,0.2,370,0.950213,1.0,0
porto,drivable_graph,520,24,0.1,0,0.0,1.0,0
porto,drivable_graph,520,24,0.1,1,0.004605,1.0,0
porto,drivable_graph,520,24,0.1,2,0.009188,1.0,0
porto,drivable_graph,520,24,0.1,5,0.022813,1.0,0
porto,drivable_graph,520,24,0.1,10,0.045105,1.0,0
porto,drivable_graph,520,24,0.1,20,0.088175,1.0,0
porto,drivable_graph,520,24,0.1,50,0.206077,1.0,0
porto,drivable_graph,520,24,0.1,100,0.369687,1.0,0
porto,drivable_graph,520,24,0.1,200,0.602705,1.0,0
porto,drivable_graph,520,24,0.1,500,0.900509,1.0,0
porto,drivable_graph,520,24,0.1,520,0.909282,1.0,0
porto,drivable_graph,520,24,0.2,0,0.0,1.0,0
porto,drivable_graph,520,24,0.2,1,0.009188,1.0,0
porto,drivable_graph,520,24,0.2,2,0.018292,1.0,0
porto,drivable_graph,520,24,0.2,5,0.045105,1.0,0
porto,drivable_graph,520,24,0.2,10,0.088175,1.0,0
porto,drivable_graph,520,24,0.2,20,0.168576,1.0,0
porto,drivable_graph,520,24,0.2,50,0.369687,1.0,0
porto,drivable_graph,520,24,0.2,100,0.602705,1.0,0
porto,drivable_graph,520,24,0.2,200,0.842157,1.0,0
porto,drivable_graph,520,24,0.2,500,0.990102,1.0,0
porto,drivable_graph,520,24,0.2,520,0.99177,1.0,0
porto,observed_proxy_generous,42,24,0.1,0,0.0,1.0,0
porto,observed_proxy_generous,42,24,0.1,1,0.055541,1.0,0
porto,observed_proxy_generous,42,24,0.1,2,0.107997,1.0,0
porto,observed_proxy_generous,42,24,0.1,5,0.248523,1.0,0
porto,observed_proxy_generous,42,24,0.1,10,0.435282,1.0,0
porto,observed_proxy_generous,42,24,0.1,20,0.681093,1.0,0
porto,observed_proxy_generous,42,24,0.1,42,0.909282,1.0,0
porto,observed_proxy_generous,42,24,0.2,0,0.0,1.0,0
porto,observed_proxy_generous,42,24,0.2,1,0.107997,1.0,0
porto,observed_proxy_generous,42,24,0.2,2,0.204331,1.0,0
