dataset,expected_saving_source,expected_saving_ratio,median_period_fee_cents,detection_probability,deterrence_fine_as_fee_multiple,deterrence_fine_cents
rome,max_e1_branch_p95_savings_ratio,0.11661779616891836,172327.0,0.1,1.1661779616891836,200963.94960401193
rome,max_e1_branch_p95_savings_ratio,0.11661779616891836,172327.0,0.25,0.46647118467567344,80385.57984160478
rome,max_e1_branch_p95_savings_ratio,0.11661779616891836,172327.0,0.5,0.23323559233783672,40192.78992080239
rome,max_e1_branch_p95_savings_ratio,0.11661779616891836,172327.0,0.95,0.12275557491465092,21154.09995831705
porto,max_e1_branch_p95_savings_ratio,0.12937898089171976,7115.0,0.1,1.2937898089171975,9205.31449044586
porto,max_e1_branch_p95_savings_ratio,0.12937898089171976,7115.0,0.25,0.517515923566879,3682.1257961783444
porto,max_e1_branch_p95_savings_ratio,0.12937898089171976,7115.0,0.5,0.2587579617834395,1841.0628980891722
porto,max_e1_branch_p95_savings_ratio,0.12937898089171976,7115.0,0.95,0.1361884009386524,968.9804726785118
tdrive,max_e1_branch_p95_savings_ratio,0.005769457200047097,254790,0.1,0.05769457200047097,14700.0
tdrive,max_e1_branch_p95_savings_ratio,0.005769457200047097,254790,0.25,0.02307782880018839,5880.0
tdrive,max_e1_branch_p95_savings_ratio,0.005769457200047097,254790,0.5,0.011538914400094195,2940.0
tdrive,max_e1_branch_p95_savings_ratio,0.005769457200047097,254790,0.95,0.006073112842154839,1547.3684210526317
