dataset,road_universe,omit_fraction,segments_per_driver,road_network_segments,drivable_road_km,edge_count,target_detection_probability,required_coverage_fraction,required_cameras_spotcheck,required_cameras_tsip_ruc,cameras_per_km_road,cameras_per_km2,tariff_area_km2
porto,drivable_graph_pyrosm,0.05,24,520,51.978,674,0.95,1.0,520,0,10.0042325599292,203.12499999999997,2.5600000000000005
porto,drivable_graph_pyrosm,0.1,24,520,51.978,674,0.95,1.0,520,0,10.0042325599292,203.12499999999997,2.5600000000000005
porto,drivable_graph_pyrosm,0.2,24,520,51.978,674,0.95,0.6241108903237478,325,0,6.25264534995575,126.95312499999997,2.5600000000000005
rome,drivable_graph_pyrosm,0.05,24,582,58.197,842,0.95,1.0,582,0,10.0005154904892,227.34374999999994,2.5600000000000005
rome,drivable_graph_pyrosm,0.1,24,582,58.197,842,0.95,1.0,582,0,10.0005154904892,227.34374999999994,2.5600000000000005
rome,drivable_graph_pyrosm,0.2,24,582,58.197,842,0.95,0.6241108903237478,364,0,6.254617935632421,142.18749999999997,2.5600000000000005
tdrive,drivable_graph_pyrosm,0.05,24,2328,232.79,958,0.95,1.0,2328,0,10.000429571716998,227.34374999999994,10.240000000000002
tdrive,drivable_graph_pyrosm,0.1,24,2328,232.79,958,0.95,1.0,2328,0,10.000429571716998,227.34374999999994,10.240000000000002
tdrive,drivable_graph_pyrosm,0.2,24,2328,232.79,958,0.95,0.6241108903237478,1453,0,6.241677047983161,141.89453124999997,10.240000000000002
geolife,drivable_graph_pyrosm,0.05,15,16953,1695.28,8081,0.95,1.0,16953,0,10.000117974611864,169.53,100.0
geolife,drivable_graph_pyrosm,0.1,15,16953,1695.28,8081,0.95,1.0,16953,0,10.000117974611864,169.53,100.0
geolife,drivable_graph_pyrosm,0.2,15,16953,1695.28,8081,0.95,0.9985774245179967,16929,0,9.98596102118824,169.29,100.0
