dataset,road_universe,road_segments,omit_fraction,target_p_detect,spotcheck_required_cameras,reachable_at_full_coverage,tsip_required_cameras
geolife,observed_proxy_generous,370,0.1,0.5,171,True,0
geolife,observed_proxy_generous,370,0.1,0.8,,False,0
geolife,observed_proxy_generous,370,0.1,0.95,,False,0
geolife,observed_proxy_generous,370,0.1,0.99,,False,0
geolife,observed_proxy_generous,370,0.2,0.5,86,True,0
geolife,observed_proxy_generous,370,0.2,0.8,199,True,0
geolife,observed_proxy_generous,370,0.2,0.95,370,True,0
geolife,observed_proxy_generous,370,0.2,0.99,,False,0
porto,drivable_graph,520,0.1,0.5,151,True,0
porto,drivable_graph,520,0.1,0.8,349,True,0
porto,drivable_graph,520,0.1,0.95,,False,0
porto,drivable_graph,520,0.1,0.99,,False,0
porto,drivable_graph,520,0.2,0.5,76,True,0
porto,drivable_graph,520,0.2,0.8,175,True,0
porto,drivable_graph,520,0.2,0.95,325,True,0
porto,drivable_graph,520,0.2,0.99,499,True,0
porto,observed_proxy_generous,42,0.1,0.5,13,True,0
porto,observed_proxy_generous,42,0.1,0.8,29,True,0
porto,observed_proxy_generous,42,0.1,0.95,,False,0
porto,observed_proxy_generous,42,0.1,0.99,,False,0
porto,observed_proxy_generous,42,0.2,0.5,7,True,0
porto,observed_proxy_generous,42,0.2,0.8,15,True,0
porto,observed_proxy_generous,42,0.2,0.95,27,True,0
porto,observed_proxy_generous,42,0.2,0.99,41,True,0
rome,drivable_graph,582,0.1,0.5,169,True,0
rome,drivable_graph,582,0.1,0.8,391,True,0
rome,drivable_graph,582,0.1,0.95,,False,0
rome,drivable_graph,582,0.1,0.99,,False,0
rome,drivable_graph,582,0.2,0.5,85,True,0
rome,drivable_graph,582,0.2,0.8,196,True,0
rome,drivable_graph,582,0.2,0.95,364,True,0
rome,drivable_graph,582,0.2,0.99,559,True,0
rome,observed_proxy_generous,196,0.1,0.5,57,True,0
rome,observed_proxy_generous,196,0.1,0.8,132,True,0
rome,observed_proxy_generous,196,0.1,0.95,,False,0
rome,observed_proxy_generous,196,0.1,0.99,,False,0
rome,observed_proxy_generous,196,0.2,0.5,29,True,0
rome,observed_proxy_generous,196,0.2,0.8,66,True,0
rome,observed_proxy_generous,196,0.2,0.95,123,True,0
rome,observed_proxy_generous,196,0.2,0.99,189,True,0
tdrive,drivable_graph,2328,0.1,0.5,673,True,0
tdrive,drivable_graph,2328,0.1,0.8,1562,True,0
tdrive,drivable_graph,2328,0.1,0.95,,False,0
tdrive,drivable_graph,2328,0.1,0.99,,False,0
tdrive,drivable_graph,2328,0.2,0.5,337,True,0
tdrive,drivable_graph,2328,0.2,0.8,781,True,0
tdrive,drivable_graph,2328,0.2,0.95,1453,True,0
tdrive,drivable_graph,2328,0.2,0.99,2234,True,0
tdrive,observed_proxy_generous,1,0.1,0.5,1,True,0
tdrive,observed_proxy_generous,1,0.1,0.8,1,True,0
tdrive,observed_proxy_generous,1,0.1,0.95,,False,0
tdrive,observed_proxy_generous,1,0.1,0.99,,False,0
tdrive,observed_proxy_generous,1,0.2,0.5,1,True,0
tdrive,observed_proxy_generous,1,0.2,0.8,1,True,0
tdrive,observed_proxy_generous,1,0.2,0.95,1,True,0
tdrive,observed_proxy_generous,1,0.2,0.99,1,True,0
