dataset,period_id,mode,empirical_anonymity_set,empirical_entropy_bits,distance_tol_m,fee_tol_cents
geolife,010-20080916114237-0,zone_priced_statement,1,0.0,505,2166
geolife,010-20080916114237-0,mixed_statement,1,0.0,505,
geolife,010-20080916114237-0,odometer_only_statement,1,0.0,505,
geolife,010-20080917225654-0,zone_priced_statement,1,0.0,409,1736
geolife,010-20080917225654-0,mixed_statement,1,0.0,409,
geolife,010-20080917225654-0,odometer_only_statement,1,0.0,409,
geolife,010-20080921224934-0,zone_priced_statement,2,1.0,425,1870
geolife,010-20080921224934-0,mixed_statement,2,1.0,425,
geolife,010-20080921224934-0,odometer_only_statement,2,1.0,425,
geolife,010-20080922111517-0,zone_priced_statement,3,1.584962500721156,500,2139
geolife,010-20080922111517-0,mixed_statement,3,1.584962500721156,500,
geolife,010-20080922111517-0,odometer_only_statement,3,1.584962500721156,500,
geolife,010-20080922234926-0,zone_priced_statement,2,1.0,413,1815
geolife,010-20080922234926-0,mixed_statement,2,1.0,413,
geolife,010-20080922234926-0,odometer_only_statement,2,1.0,413,
geolife,010-20080923121817-0,zone_priced_statement,3,1.584962500721156,510,2174
geolife,010-20080923121817-0,mixed_statement,3,1.584962500721156,510,
geolife,010-20080923121817-0,odometer_only_statement,3,1.584962500721156,510,
geolife,010-20080923231456-1,zone_priced_statement,1,0.0,432,1928
geolife,010-20080923231456-1,mixed_statement,1,0.0,432,
geolife,010-20080923231456-1,odometer_only_statement,1,0.0,432,
geolife,010-20080924113459-1,zone_priced_statement,2,1.0,516,2197
geolife,010-20080924113459-1,mixed_statement,2,1.0,516,
geolife,010-20080924113459-1,odometer_only_statement,2,1.0,516,
geolife,010-20080924231334-1,zone_priced_statement,1,0.0,402,1775
geolife,010-20080924231334-1,mixed_statement,2,1.0,402,
geolife,010-20080924231334-1,odometer_only_statement,2,1.0,402,
geolife,010-20080925104204-0,zone_priced_statement,1,0.0,497,2149
geolife,010-20080925104204-0,mixed_statement,1,0.0,497,
geolife,010-20080925104204-0,odometer_only_statement,1,0.0,497,
geolife,010-20080925233430-0,zone_priced_statement,2,1.0,407,1810
geolife,010-20080925233430-0,mixed_statement,2,1.0,407,
geolife,010-20080925233430-0,odometer_only_statement,2,1.0,407,
geolife,010-20080926105402-0,zone_priced_statement,3,1.584962500721156,512,2192
geolife,010-20080926105402-0,mixed_statement,3,1.584962500721156,512,
geolife,010-20080926105402-0,odometer_only_statement,3,1.584962500721156,512,
geolife,010-20080927232235-1,zone_priced_statement,1,0.0,360,1604
geolife,010-20080927232235-1,mixed_statement,1,0.0,360,
geolife,010-20080927232235-1,odometer_only_statement,1,0.0,360,
geolife,010-20081005225112-1,zone_priced_statement,1,0.0,401,1739
geolife,010-20081005225112-1,mixed_statement,1,0.0,401,
geolife,010-20081005225112-1,odometer_only_statement,1,0.0,401,
geolife,010-20081006110114-0,zone_priced_statement,4,2.0,510,2167
geolife,010-20081006110114-0,mixed_statement,5,2.321928094887362,510,
geolife,010-20081006110114-0,odometer_only_statement,5,2.321928094887362,510,
geolife,010-20081006234930-0,zone_priced_statement,1,0.0,417,1804
geolife,010-20081006234930-0,mixed_statement,1,0.0,417,
geolife,010-20081006234930-0,odometer_only_statement,1,0.0,417,
geolife,010-20081007102112-0,zone_priced_statement,4,2.0,506,2147
geolife,010-20081007102112-0,mixed_statement,5,2.321928094887362,506,
geolife,010-20081007102112-0,odometer_only_statement,5,2.321928094887362,506,
geolife,010-20081007231655-0,zone_priced_statement,2,1.0,393,1690
geolife,010-20081007231655-0,mixed_statement,2,1.0,393,
geolife,010-20081007231655-0,odometer_only_statement,2,1.0,393,
geolife,010-20081008105051-0,zone_priced_statement,3,1.584962500721156,512,2172
geolife,010-20081008105051-0,mixed_statement,3,1.584962500721156,512,
geolife,010-20081008105051-0,odometer_only_statement,3,1.584962500721156,512,
geolife,010-20081008231209-1,zone_priced_statement,1,0.0,375,1587
geolife,010-20081008231209-1,mixed_statement,2,1.0,375,
geolife,010-20081008231209-1,odometer_only_statement,2,1.0,375,
geolife,010-20081009110709-0,zone_priced_statement,2,1.0,508,2163
geolife,010-20081009110709-0,mixed_statement,3,1.584962500721156,508,
geolife,010-20081009110709-0,odometer_only_statement,3,1.584962500721156,508,
geolife,010-20081009224923-1,zone_priced_statement,1,0.0,417,1823
geolife,010-20081009224923-1,mixed_statement,1,0.0,417,
geolife,010-20081009224923-1,odometer_only_statement,1,0.0,417,
geolife,010-20081010103335-0,zone_priced_statement,1,0.0,516,2200
geolife,010-20081010103335-0,mixed_statement,1,0.0,516,
geolife,010-20081010103335-0,odometer_only_statement,1,0.0,516,
geolife,010-20081012224836-1,zone_priced_statement,1,0.0,349,1483
geolife,010-20081012224836-1,mixed_statement,1,0.0,349,
geolife,010-20081012224836-1,odometer_only_statement,1,0.0,349,
geolife,010-20081013104428-0,zone_priced_statement,4,2.0,513,2183
geolife,010-20081013104428-0,mixed_statement,5,2.321928094887362,513,
geolife,010-20081013104428-0,odometer_only_statement,5,2.321928094887362,513,
geolife,010-20081013230418-1,zone_priced_statement,2,1.0,400,1757
geolife,010-20081013230418-1,mixed_statement,2,1.0,400,
geolife,010-20081013230418-1,odometer_only_statement,2,1.0,400,
geolife,010-20081015111010-0,zone_priced_statement,2,1.0,512,2189
geolife,010-20081015111010-0,mixed_statement,2,1.0,512,
geolife,010-20081015111010-0,odometer_only_statement,2,1.0,512,
geolife,010-20081015234917-0,zone_priced_statement,1,0.0,357,1535
geolife,010-20081015234917-0,mixed_statement,1,0.0,357,
geolife,010-20081015234917-0,odometer_only_statement,1,0.0,357,
geolife,010-20081016110447-0,zone_priced_statement,4,2.0,512,2213
geolife,010-20081016110447-0,mixed_statement,5,2.321928094887362,512,
geolife,010-20081016110447-0,odometer_only_statement,5,2.321928094887362,512,
geolife,010-20081016224935-1,zone_priced_statement,2,1.0,407,1722
geolife,010-20081016224935-1,mixed_statement,2,1.0,407,
geolife,010-20081016224935-1,odometer_only_statement,2,1.0,407,
geolife,010-20081019222847-1,zone_priced_statement,1,0.0,417,1782
geolife,010-20081019222847-1,mixed_statement,1,0.0,417,
geolife,010-20081019222847-1,odometer_only_statement,1,0.0,417,
geolife,010-20081106231922-0,zone_priced_statement,2,1.0,413,1789
geolife,010-20081106231922-0,mixed_statement,2,1.0,413,
geolife,010-20081106231922-0,odometer_only_statement,2,1.0,413,
geolife,010-20081206041700-0,zone_priced_statement,1,0.0,464,1926
geolife,010-20081206041700-0,mixed_statement,3,1.584962500721156,464,
geolife,010-20081206041700-0,odometer_only_statement,3,1.584962500721156,464,
geolife,052-20080725002736-0,zone_priced_statement,1,0.0,466,2328
geolife,052-20080725002736-0,mixed_statement,1,0.0,466,
geolife,052-20080725002736-0,odometer_only_statement,1,0.0,466,
geolife,062-20081031073908-0,zone_priced_statement,1,0.0,100,500
geolife,062-20081031073908-0,mixed_statement,1,0.0,100,
geolife,062-20081031073908-0,odometer_only_statement,1,0.0,100,
geolife,082-20090404024103-0,zone_priced_statement,1,0.0,345,1725
geolife,082-20090404024103-0,mixed_statement,1,0.0,345,
geolife,082-20090404024103-0,odometer_only_statement,1,0.0,345,
geolife,084-20081010234036-0,zone_priced_statement,1,0.0,156,500
geolife,084-20081010234036-0,mixed_statement,1,0.0,156,
geolife,084-20081010234036-0,odometer_only_statement,1,0.0,156,
geolife,085-20081202012752-0,zone_priced_statement,3,1.584962500721156,481,2404
geolife,085-20081202012752-0,mixed_statement,3,1.584962500721156,481,
geolife,085-20081202012752-0,odometer_only_statement,3,1.584962500721156,481,
geolife,098-20070526102144-1,zone_priced_statement,1,0.0,380,1898
geolife,098-20070526102144-1,mixed_statement,1,0.0,380,
geolife,098-20070526102144-1,odometer_only_statement,1,0.0,380,
geolife,105-20071006051353-0,zone_priced_statement,1,0.0,966,4380
geolife,105-20071006051353-0,mixed_statement,1,0.0,966,
