dataset,period_id,mode,graph_proxy_path_count_cap1e12,graph_proxy_entropy_bits,distance_bucket_m,fee_bucket_cents,effective_graph_steps,target_scope,graph_nodes,graph_directed_edges
rome,rome:60:103-0-s96:p0,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:103-0-s96:p0,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:104-0-s145:p0,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:104-0-s145:p0,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:105-0-s77:p0,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:105-0-s77:p0,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:109-0-s11:p0,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:109-0-s11:p0,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:109-0-s11:p1,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:109-0-s11:p1,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:109-0-s188:p0,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:109-0-s188:p0,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:109-0-s188:p1,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:109-0-s188:p1,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:109-0-s32:p0,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:109-0-s32:p0,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:109-0-s40:p0,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:109-0-s40:p0,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:109-0-s42:p0,zone_priced_graph_proxy,3394298,21.69468180015915,100,5000,8,actual_prefix,113,1422
rome,rome:60:109-0-s42:p0,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:11-0-s11:p0,zone_priced_graph_proxy,1000000000000,39.86313713864835,100,5000,8,actual_prefix,113,1422
rome,rome:60:11-0-s11:p0,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
rome,rome:60:11-0-s11:p1,zone_priced_graph_proxy,0,0.0,100,5000,8,actual_prefix,113,1422
rome,rome:60:11-0-s11:p1,odometer_only_graph_proxy,1000000000000,39.86313713864835,100,,8,actual_prefix,113,1422
porto,porto:60:20000038-2-s7:p0,zone_priced_graph_proxy,75181186976,36.12965264199957,100,5000,8,actual_prefix,42,271
porto,porto:60:20000038-2-s7:p0,odometer_only_graph_proxy,75181186976,36.12965264199957,100,,8,actual_prefix,42,271
porto,porto:60:20000100-6-s13:p0,zone_priced_graph_proxy,11246380774,33.38874174769601,100,5000,8,actual_prefix,42,271
porto,porto:60:20000100-6-s13:p0,odometer_only_graph_proxy,11246380774,33.38874174769601,100,,8,actual_prefix,42,271
porto,porto:60:20000100-6-s13:p1,zone_priced_graph_proxy,253780629474,37.884790999353356,100,5000,8,actual_prefix,42,271
porto,porto:60:20000100-6-s13:p1,odometer_only_graph_proxy,253780629474,37.884790999353356,100,,8,actual_prefix,42,271
porto,porto:60:20000257-2-s24:p0,zone_priced_graph_proxy,6030694042,32.48967689812366,100,5000,8,actual_prefix,42,271
porto,porto:60:20000257-2-s24:p0,odometer_only_graph_proxy,6030694042,32.48967689812366,100,,8,actual_prefix,42,271
porto,porto:60:20000305-0-s17:p0,zone_priced_graph_proxy,36133651744,35.07262401285336,100,5000,8,actual_prefix,42,271
porto,porto:60:20000305-0-s17:p0,odometer_only_graph_proxy,36133651744,35.07262401285336,100,,8,actual_prefix,42,271
porto,porto:60:20000305-0-s17:p1,zone_priced_graph_proxy,253780629474,37.884790999353356,100,5000,8,actual_prefix,42,271
porto,porto:60:20000305-0-s17:p1,odometer_only_graph_proxy,253780629474,37.884790999353356,100,,8,actual_prefix,42,271
