dataset,bucket_pct_of_median,label,n_periods,median_anonymity_set,p95_anonymity_set,min_anonymity_set
geolife,0.0,exact,53,1,1,1
geolife,0.02,2%,53,1,2,1
geolife,0.05,5%,53,1,2,1
geolife,0.1,10%,53,1,4,1
geolife,0.25,25%,53,1,4,1
geolife,0.5,50%,53,2,5,1
porto,0.0,exact,10,1.0,1,1
porto,0.02,2%,10,1.0,1,1
porto,0.05,5%,10,1.0,2,1
porto,0.1,10%,10,1.0,2,1
porto,0.25,25%,10,2.0,4,1
porto,0.5,50%,10,2.0,3,1
rome,0.0,exact,162,1.0,1,1
rome,0.02,2%,162,1.0,1,1
rome,0.05,5%,162,1.0,2,1
rome,0.1,10%,162,1.0,3,1
rome,0.25,25%,162,2.0,4,1
rome,0.5,50%,162,3.0,6,1
