seed,threshold_t,anchor_n,down_anchors,fault_type,n_trials,enrollment_accept_rate,threshold_satisfaction_rate
1,3,5,0,offline,200,1.000000,1.000000
1,3,5,0,malicious,200,1.000000,1.000000
1,3,5,1,offline,200,1.000000,1.000000
1,3,5,1,malicious,200,0.000000,1.000000
1,3,5,2,offline,200,1.000000,1.000000
1,3,5,2,malicious,200,0.000000,1.000000
1,3,5,3,offline,200,0.000000,0.000000
1,3,5,3,malicious,200,0.000000,0.000000
2,3,5,0,offline,200,1.000000,1.000000
2,3,5,0,malicious,200,1.000000,1.000000
2,3,5,1,offline,200,1.000000,1.000000
2,3,5,1,malicious,200,0.000000,1.000000
2,3,5,2,offline,200,1.000000,1.000000
2,3,5,2,malicious,200,0.000000,1.000000
2,3,5,3,offline,200,0.000000,0.000000
2,3,5,3,malicious,200,0.000000,0.000000
3,3,5,0,offline,200,1.000000,1.000000
3,3,5,0,malicious,200,1.000000,1.000000
3,3,5,1,offline,200,1.000000,1.000000
3,3,5,1,malicious,200,0.000000,1.000000
3,3,5,2,offline,200,1.000000,1.000000
3,3,5,2,malicious,200,0.000000,1.000000
3,3,5,3,offline,200,0.000000,0.000000
3,3,5,3,malicious,200,0.000000,0.000000
