dataset,cadence_sec,min_dist_m,tier_vmax_mps,n,excluded_speed_gt_tier,ratio_p50,ratio_p90,ratio_p95,ratio_p99,ratio_max,share_ratio_gt_1_4,share_ratio_gt_2_5
geolife,60,0,33.0,41914,408,1.0082832526057994,1.3917710366522558,1.9029081736671505,4.684876102968456,157.52837577435702,0.09758076060504843,0.03206565825261249
geolife,60,25,33.0,39319,408,1.0071441805529573,1.3041193310985528,1.5495686055399744,3.0385233507527927,21.794395091890763,0.07098349398509626,0.017370736793916427
geolife,60,50,33.0,37625,408,1.0064285477733035,1.2731982939310058,1.4651590461629325,2.747255643271549,13.190351794580597,0.05969435215946844,0.013395348837209302
geolife,60,100,33.0,34557,408,1.0051555618295036,1.2416583970267625,1.3956436858258303,2.4351910609405527,7.350131075264954,0.04893364586046242,0.009202187689903638
geolife,300,0,33.0,7383,57,1.1171194101168904,1.8308548784507594,2.5091790174028255,7.842840806376315,121.63152967180332,0.2279561154002438,0.050521468237843696
geolife,300,25,33.0,7332,57,1.11460922219523,1.7975706197401353,2.3644635480025107,5.797237446566415,28.5448099908056,0.2231314784506274,0.045280960174577195
geolife,300,50,33.0,7292,57,1.1118055113612533,1.7720949310352585,2.272228604738942,4.754964634159267,27.638706701052477,0.21900713110257816,0.04072956664838179
geolife,300,100,33.0,7212,57,1.109418601578058,1.7332285558364002,2.1505491499081297,3.7849992033584856,14.168698532579594,0.2122850804215197,0.03466444814198558
porto,60,0,33.0,57500,829,1.065266621236479,1.6102773707895963,2.2250400488946163,5.107477971289809,484.5758856805387,0.14817391304347827,0.040121739130434785
porto,60,25,33.0,51544,829,1.0531127866457264,1.3746401393872048,1.609431476689911,2.701079581518462,52.68456553970981,0.09122303274871954,0.012338972528325314
porto,60,50,33.0,50049,829,1.051151714099742,1.3631030929003074,1.5832792762350203,2.578401580375408,27.247376950914813,0.08699474514975324,0.010909308877300246
porto,60,100,33.0,46792,829,1.0484151323837136,1.3527480745834373,1.5491135847022037,2.3381970304657345,13.35490628296244,0.08240724910241067,0.007864592237989399
porto,300,0,33.0,9566,128,1.3311618254453372,2.635249171213098,5.019128241891285,15.651509802608903,8057.618949103461,0.4200292703324274,0.1084047668827096
porto,300,25,33.0,9134,128,1.3146596865305384,2.140613713630518,2.8832803383969114,7.078500109329823,135.05259135176715,0.39259908035909785,0.06853514342018831
porto,300,50,33.0,9083,128,1.3127783478218145,2.120547411727735,2.8201685595332697,6.729749604902555,44.30835678786586,0.38940878564350984,0.06572718264890455
porto,300,100,33.0,9027,128,1.3109412467343307,2.108413001429474,2.748097876003105,6.253698263399015,44.30835678786586,0.3866179240057605,0.06369779550238175
tdrive,60,0,33.0,120931,3333,1.1956356958395982,3.596447161523833,5.384300882844304,13.620590833238783,3285147174.64676,0.3713853354392174,0.1745375462040337
tdrive,60,25,33.0,61548,3333,1.0374443541030587,1.4958414536078524,2.108755658417299,5.118816411967389,45.39192732723881,0.12478065899785533,0.037791642295444204
tdrive,60,50,33.0,57199,3333,1.0308046460356743,1.4122050283282293,1.802470138860202,3.7208153382598796,32.15607114134336,0.1044074197101348,0.024598332138673754
tdrive,60,100,33.0,51528,3333,1.0233380675686263,1.3663103046106582,1.5813565150377906,2.723865163504576,17.365734068046265,0.08376028566992703,0.012827977022201521
tdrive,300,0,33.0,24427,1805,1.8289091625529383,12.282914610869732,19.6004653273351,55.74645976388926,7916.999998913515,0.6350759405575798,0.4278871740287387
tdrive,300,25,33.0,13154,1805,1.3454604564046582,3.6913397400195556,6.6111959772583155,19.775680193713598,232.99381282042432,0.4379656378287973,0.16322031321271097
tdrive,300,50,33.0,12228,1805,1.3209092556581388,2.999446721995639,4.990800708417584,14.948410819185302,161.35415436682055,0.40718024206738634,0.13133791298658815
tdrive,300,100,33.0,11624,1805,1.3080015900713395,2.61904085113274,4.035801239499002,9.783007729432214,86.15743611165009,0.38876462491397107,0.1102890571231934
combined,60,0,33.0,220345,4570,1.0790893569917304,2.6800412891439827,4.076340820409961,10.120984722295386,3285147174.64676,0.2610542558260909,0.11236016247248633
combined,60,25,33.0,152411,4570,1.0323181102355954,1.3987666968665367,1.7529648877176014,3.8624262573594987,52.68456553970981,0.09955318185695258,0.0239155966432869
combined,60,50,33.0,144873,4570,1.0288358686597838,1.3646654808031222,1.6243753721767802,3.070379098290161,32.15607114134336,0.0867794551089575,0.016959681928309624
combined,60,100,33.0,132877,4570,1.0242436226959362,1.3365754304116328,1.5212283399053474,2.514042776750903,17.365734068046265,0.07422654033429413,0.010137194548341699
combined,300,0,33.0,41376,1990,1.4069408376090893,8.63584548787508,14.396427072073584,40.22811559172443,8057.618949103461,0.5127126836813611,0.2866879350348028
combined,300,25,33.0,29620,1990,1.2830376778473687,2.5665302138023316,4.158695393062565,12.88925738438205,232.99381282042432,0.37079675894665765,0.10482781904118839
combined,300,50,33.0,28603,1990,1.272094786010626,2.3202436763907035,3.4429186943289416,10.171546234310027,161.35415436682055,0.35356431143586337,0.08740341922175995
combined,300,100,33.0,27863,1990,1.2645341107113597,2.1705450351291304,3.061480780986838,7.632163022190542,86.15743611165009,0.342389548864085,0.07561999784660661
