dataset,profile,attack,mode,stage,accepted_malicious_rate,bias_l1,rmse,target_count_lift,target_rank_lift,topk_jaccard,false_hotspot_at_k,top1_dominance,top5_dominance,benign_active_cells,attacked_active_cells
geolife,k6,p1_cold_spot,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k6,p1_cold_spot,benign,post_dp,0.0,0.03366212312612056,2.318077122632154,0.0,2,1.0,0,0.5047803687861385,0.7771714606968154,27,25
geolife,k6,p1_cold_spot,no_integrity,pre_dp,1.0,0.19986675549633579,27.304863221696525,150,32,0.9,1,0.47733333333333333,0.7693333333333333,36,33
geolife,k6,p1_cold_spot,no_integrity,post_dp,1.0,0.22257857512477844,30.367969163188665,149.79500658276504,25,0.9,1,0.48103045082221935,0.7778937976988709,28,26
geolife,k6,p1_cold_spot,tsip_only,pre_dp,1.0,0.0,0.0,0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k6,p1_cold_spot,tsip_only,post_dp,1.0,0.03998308337546776,2.3544517948222237,0.0,0,1.0,0,0.5008307089703805,0.7706252156289539,28,28
geolife,k6,p1_cold_spot,tsip_external,pre_dp,1.0,0.0,0.0,0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k6,p1_cold_spot,tsip_external,post_dp,1.0,0.03874448184476,2.4747920130692376,0.0,0,1.0,0,0.5039432253031308,0.7759576004502491,27,27
geolife,k6,p2_hotspot,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k6,p2_hotspot,benign,post_dp,0.0,0.04824153458267385,2.66643688794434,0.0,1,1.0,0,0.4974229696570545,0.7666684064630703,30,29
geolife,k6,p2_hotspot,no_integrity,pre_dp,1.0,0.15989340439706862,22.261077142752,120,0,0.9,1,0.5773333333333334,0.8053333333333333,36,33
geolife,k6,p2_hotspot,no_integrity,post_dp,1.0,0.18018572771597122,25.874438555895352,120.9185450596492,0,0.9,1,0.5824491784551481,0.8118485956914372,27,23
geolife,k6,p2_hotspot,tsip_only,pre_dp,1.0,0.0,0.0,0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k6,p2_hotspot,tsip_only,post_dp,1.0,0.032725642081934736,2.360289212846375,-0.6365943017473228,0,1.0,0,0.5067815269369209,0.7800619787271783,26,24
geolife,k6,p2_hotspot,tsip_external,pre_dp,1.0,0.0,0.0,0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k6,p2_hotspot,tsip_external,post_dp,1.0,0.040612800804250886,2.622860858635278,0.008311587900834638,0,1.0,0,0.49946358307103955,0.7664358687778908,26,28
geolife,k6,p3_corridor,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k6,p3_corridor,benign,post_dp,0.0,0.02920338055611425,1.869084070066924,0.0,-1,1.0,0,0.5008579442293286,0.7682581582587864,28,29
geolife,k6,p3_corridor,no_integrity,pre_dp,1.0,0.1798800799467022,8.26805029845035,0.0,0,0.9,1,0.4806666666666667,0.712,36,59
geolife,k6,p3_corridor,no_integrity,post_dp,1.0,0.21919577480923838,9.232604916370077,0.0,0,0.9,1,0.4816044816729903,0.7140193028992974,27,53
geolife,k6,p3_corridor,tsip_only,pre_dp,1.0,0.1932045303131246,6.437735971942655,0.0,0,0.9,1,0.4786666666666667,0.7093333333333334,36,106
geolife,k6,p3_corridor,tsip_only,post_dp,1.0,0.18495594980172367,10.299898795813256,0.0,0,0.9,1,0.5026163754960603,0.7468650444963665,27,38
geolife,k6,p3_corridor,tsip_external,pre_dp,0.02666666666666667,0.002664890073284477,0.3333333333333333,0.0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k6,p3_corridor,tsip_external,post_dp,0.02666666666666667,0.03599006560284643,2.4030789049598713,0.0,0,1.0,0,0.5087705508103167,0.7843697054125736,26,25
geolife,k30,p1_cold_spot,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k30,p1_cold_spot,benign,post_dp,0.0,0.04576596948975567,3.0099005833187515,0.0,6,0.9,1,0.5007143539178533,0.7720013644765709,31,25
geolife,k30,p1_cold_spot,no_integrity,pre_dp,1.0,0.19986675549633579,27.304863221696525,150,32,0.9,1,0.47733333333333333,0.7693333333333333,36,33
geolife,k30,p1_cold_spot,no_integrity,post_dp,1.0,0.2328197656995445,29.7151089190414,150.9752166302977,27,0.9,1,0.48004747331646547,0.7734348480266305,28,25
geolife,k30,p1_cold_spot,tsip_only,pre_dp,1.0,0.0,0.0,0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k30,p1_cold_spot,tsip_only,post_dp,1.0,0.03834134614483146,2.6028490411235854,0.0,2,1.0,0,0.5021665400169985,0.771406000681042,28,26
geolife,k30,p1_cold_spot,tsip_external,pre_dp,1.0,0.0,0.0,0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k30,p1_cold_spot,tsip_external,post_dp,1.0,0.04239085631743297,2.6673790860872626,0.0,1,1.0,0,0.5027707767741144,0.7730756301870504,28,27
geolife,k30,p2_hotspot,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k30,p2_hotspot,benign,post_dp,0.0,0.034946017138610515,2.259413260204379,0.0,0,1.0,0,0.4975280986052156,0.7661856148803611,28,28
geolife,k30,p2_hotspot,no_integrity,pre_dp,1.0,0.15989340439706862,22.261077142752,120,0,0.9,1,0.5773333333333334,0.8053333333333333,36,33
geolife,k30,p2_hotspot,no_integrity,post_dp,1.0,0.18243997172915566,24.140920595481454,118.4047448040044,0,0.9,1,0.5746780851475737,0.8063050756739517,28,26
geolife,k30,p2_hotspot,tsip_only,pre_dp,1.0,0.0,0.0,0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k30,p2_hotspot,tsip_only,post_dp,1.0,0.04757104531794425,2.729844436819639,0.08745151316782085,0,1.0,0,0.5001273920904725,0.7717214670633349,28,28
geolife,k30,p2_hotspot,tsip_external,pre_dp,1.0,0.0,0.0,0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k30,p2_hotspot,tsip_external,post_dp,1.0,0.026441609123643954,1.8502894095868336,0.07097874728162878,0,1.0,0,0.5044155239554066,0.7754346548391579,28,27
geolife,k30,p3_corridor,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k30,p3_corridor,benign,post_dp,0.0,0.03815115000366702,2.2410299653488477,0.0,1,1.0,0,0.5019852440349816,0.7728321358807638,29,28
geolife,k30,p3_corridor,no_integrity,pre_dp,1.0,0.1798800799467022,8.26805029845035,0.0,0,0.9,1,0.4806666666666667,0.712,36,59
geolife,k30,p3_corridor,no_integrity,post_dp,1.0,0.19441975878639506,9.13896046424436,0.0,0,0.9,1,0.492266146610876,0.7290204172758341,28,48
geolife,k30,p3_corridor,tsip_only,pre_dp,1.0,0.1905396402398401,5.808780894806669,0.0,0,0.9,1,0.4786666666666667,0.7106666666666667,36,122
geolife,k30,p3_corridor,tsip_only,post_dp,1.0,0.1704175532193877,9.287171069913226,0.0,0,0.9,1,0.5105639152408108,0.7592024622523735,32,41
geolife,k30,p3_corridor,tsip_external,pre_dp,0.02666666666666667,0.002664890073284477,0.3333333333333333,0.0,0,1.0,0,0.49733333333333335,0.7653333333333333,36,36
geolife,k30,p3_corridor,tsip_external,post_dp,0.02666666666666667,0.027770304820671634,1.7074287195376043,0.0,0,1.0,0,0.4987818756826296,0.7677121932267432,31,29
tdrive,k6,p1_cold_spot,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.02,0.06533333333333333,1090,1090
tdrive,k6,p1_cold_spot,benign,post_dp,0.0,1.1310715372236808,3.810924611395848,0.0,-22,1.0,0,0.04293104909859992,0.13764407538902892,116,138
tdrive,k6,p1_cold_spot,no_integrity,pre_dp,1.0,0.19986675549633579,4.57556333324256,150,222,0.9,1,0.10066666666666667,0.156,1090,982
tdrive,k6,p1_cold_spot,no_integrity,post_dp,1.0,1.2063406498038183,11.566914203897241,149.93059589372584,123,0.9,1,0.21344491623782505,0.32898709703038587,123,105
tdrive,k6,p1_cold_spot,tsip_only,pre_dp,1.0,0.14123917388407728,0.6394501487440816,7,212,0.9,1,0.02,0.06533333333333333,1090,1095
tdrive,k6,p1_cold_spot,tsip_only,post_dp,1.0,1.1165024127140053,3.9671423263479624,9.433806866744616,107,0.8,2,0.05034491881854849,0.1665735943856627,116,116
tdrive,k6,p1_cold_spot,tsip_external,pre_dp,0.29333333333333333,0.021319120586275817,0.17661444037920204,0,-7,0.9,1,0.02,0.06533333333333333,1090,1079
tdrive,k6,p1_cold_spot,tsip_external,post_dp,0.29333333333333333,0.9776102318988104,3.8289479907058492,0.0,15,0.8,2,0.05273432229752576,0.16241563439982645,125,110
tdrive,k6,p2_hotspot,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.02,0.06533333333333333,1090,1090
tdrive,k6,p2_hotspot,benign,post_dp,0.0,1.040194112212529,3.7154306215476547,0.0,13,0.9,1,0.05289996632798981,0.17284765848658526,119,106
tdrive,k6,p2_hotspot,no_integrity,pre_dp,1.0,0.19986675549633579,4.57556333324256,150,0,0.9,1,0.12,0.16533333333333333,1090,982
tdrive,k6,p2_hotspot,no_integrity,post_dp,1.0,1.2777346465580253,11.568511644910297,151.79171370514462,0,0.9,1,0.25087467627859783,0.3509516360244141,123,106
tdrive,k6,p2_hotspot,tsip_only,pre_dp,1.0,0.1492338441039307,0.7591635733136254,15,0,0.9,1,0.03,0.07533333333333334,1090,1085
tdrive,k6,p2_hotspot,tsip_only,post_dp,1.0,1.1865777923212573,4.109246815939799,14.094136318174556,0,0.9,1,0.06625509476559177,0.16759953884269682,119,127
tdrive,k6,p2_hotspot,tsip_external,pre_dp,0.25333333333333335,0.018654230512991338,0.1659003790827993,0,0,0.9,1,0.02,0.06533333333333333,1090,1081
tdrive,k6,p2_hotspot,tsip_external,post_dp,0.25333333333333335,1.0675228151534744,4.045317782156731,0.32077571076305844,0,0.8,2,0.04872095989729758,0.15922091334414532,133,117
tdrive,k6,p3_corridor,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.02,0.06533333333333333,1090,1090
tdrive,k6,p3_corridor,benign,post_dp,0.0,0.9897812626912578,3.648477141704217,0.0,27,0.9,1,0.04837473482117937,0.1631698344372865,143,116
tdrive,k6,p3_corridor,no_integrity,pre_dp,1.0,0.19986675549633579,0.9778603696804569,0.0,0,0.9,1,0.02,0.06533333333333333,1090,1011
tdrive,k6,p3_corridor,no_integrity,post_dp,1.0,1.1733462732963527,3.9689785856219784,0.0,0,0.9,1,0.041107587602027526,0.13405192250134199,128,137
tdrive,k6,p3_corridor,tsip_only,pre_dp,1.0,0.16122584943371085,0.5850103091139642,0.0,0,0.9,1,0.02,0.06533333333333333,1090,1113
tdrive,k6,p3_corridor,tsip_only,post_dp,1.0,1.0604286081864231,3.8662290498382363,0.0,0,0.9,1,0.048959020595712735,0.15664677940576283,153,117
tdrive,k6,p3_corridor,tsip_external,pre_dp,0.19333333333333333,0.023984010659560292,0.18173475984461482,0.0,0,1.0,0,0.02,0.06533333333333333,1090,1075
tdrive,k6,p3_corridor,tsip_external,post_dp,0.19333333333333333,1.1504740088534213,3.6849056193144802,0.0,0,0.7,3,0.04224270009481693,0.15038058503010168,122,138
tdrive,k30,p1_cold_spot,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.02,0.06533333333333333,1090,1090
tdrive,k30,p1_cold_spot,benign,post_dp,0.0,1.008360652221332,4.004518060887264,0.0,15,0.9,1,0.05226719198818458,0.1659671582273179,129,114
tdrive,k30,p1_cold_spot,no_integrity,pre_dp,1.0,0.19986675549633579,4.57556333324256,150,300,0.9,1,0.10066666666666667,0.156,1090,982
tdrive,k30,p1_cold_spot,no_integrity,post_dp,1.0,1.2154928830804381,10.894531796387795,150.53440795202047,146,0.9,1,0.20269078103193752,0.3128842670115094,146,111
tdrive,k30,p1_cold_spot,tsip_only,pre_dp,1.0,0.19586942038640906,2.5238300873591224,82,300,0.8,2,0.05533333333333333,0.11066666666666666,1090,1029
tdrive,k30,p1_cold_spot,tsip_only,post_dp,1.0,1.2192724380326783,6.867873682107559,83.21752796647475,131,0.7,3,0.11882303913201364,0.24264551854478975,131,119
tdrive,k30,p1_cold_spot,tsip_external,pre_dp,0.02,0.002664890073284477,0.06057825328153827,0,0,1.0,0,0.02,0.06533333333333333,1090,1089
tdrive,k30,p1_cold_spot,tsip_external,post_dp,0.02,1.0596824139116159,3.758263148903966,0.0,4,0.8,2,0.04665201541409812,0.15232338498158499,127,123
tdrive,k30,p2_hotspot,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.02,0.06533333333333333,1090,1090
tdrive,k30,p2_hotspot,benign,post_dp,0.0,1.0408809488252209,3.9938935318917075,0.0,18,0.7,3,0.049722409710512804,0.1591170330251826,132,114
tdrive,k30,p2_hotspot,no_integrity,pre_dp,1.0,0.19986675549633579,4.57556333324256,150,0,0.9,1,0.12,0.16533333333333333,1090,982
tdrive,k30,p2_hotspot,no_integrity,post_dp,1.0,1.3668846386425684,11.315799548230489,148.71899195097984,0,0.9,1,0.231657883998479,0.31927048557864685,111,123
tdrive,k30,p2_hotspot,tsip_only,pre_dp,1.0,0.1972018654230513,2.2914792586847597,73,0,0.9,1,0.06866666666666667,0.11466666666666667,1090,1033
tdrive,k30,p2_hotspot,tsip_only,post_dp,1.0,1.2934030122483826,6.512244520695236,73.3986643476504,0,0.8,2,0.14351693829663706,0.24641839047863187,123,121
tdrive,k30,p2_hotspot,tsip_external,pre_dp,0.013333333333333334,0.002664890073284477,0.06057825328153827,0,0,1.0,0,0.02,0.06533333333333333,1090,1090
tdrive,k30,p2_hotspot,tsip_external,post_dp,0.013333333333333334,1.1632056912895052,3.7771086443428716,-3.235962460950045,0,0.8,2,0.037740237124265885,0.1318822584075287,131,138
tdrive,k30,p3_corridor,benign,pre_dp,0.0,0.0,0.0,0.0,0,1.0,0,0.02,0.06533333333333333,1090,1090
tdrive,k30,p3_corridor,benign,post_dp,0.0,1.0365103483263305,3.7428347193461473,0.0,18,0.9,1,0.05165779569277948,0.1613073125149159,128,110
tdrive,k30,p3_corridor,no_integrity,pre_dp,1.0,0.19986675549633579,0.9778603696804569,0.0,0,0.9,1,0.02,0.06533333333333333,1090,1011
tdrive,k30,p3_corridor,no_integrity,post_dp,1.0,1.2133502591985432,4.031851897464042,0.0,0,0.8,2,0.04876040996988205,0.1560639201537314,131,126
tdrive,k30,p3_corridor,tsip_only,pre_dp,1.0,0.19853431045969352,0.639137490706142,0.0,0,0.9,1,0.02,0.06533333333333333,1090,1117
tdrive,k30,p3_corridor,tsip_only,post_dp,1.0,1.1729671996499655,3.707238698196887,0.0,0,0.9,1,0.0454740199246154,0.1522762826423197,107,127
tdrive,k30,p3_corridor,tsip_external,pre_dp,0.006666666666666667,0.0013324450366422385,0.042835293687811936,0.0,0,1.0,0,0.02,0.06533333333333333,1090,1090
tdrive,k30,p3_corridor,tsip_external,post_dp,0.006666666666666667,1.0052178804575844,3.7128590537984683,0.0,0,0.9,1,0.047597512496805085,0.15446440470978443,135,123
