feature,member_mean,member_std,nonmember_mean,nonmember_std,mean_delta_member_minus_nonmember
chain_len_total,4.43695015,2.40715845,2.31808279,2.09343819,2.11886736
chain_len_norm,0.60255540,0.24639216,0.30042575,0.23332667,0.30212965
accepted_total,4.04398827,2.38908821,2.07189542,1.96074074,1.97209284
rejected_total,0.39296188,0.73724364,0.24618736,0.59624977,0.14677451
accept_rate,0.89622482,0.20636987,0.71804388,0.40965493,0.17818093
reject_rate,0.09204498,0.18208605,0.07716309,0.19123086,0.01488189
recent_count_1,0.93255132,0.50058230,0.05664488,0.23116279,0.87590644
recent_count_2,1.55131965,0.71093657,0.35729847,0.54713166,1.19402117
recent_count_4,2.57184751,1.16836319,1.00653595,0.99342105,1.56531156
recent_accept_rate_4,0.86891496,0.27263870,0.54248366,0.48189042,0.32643130
recent_reject_rate_4,0.09882698,0.22246419,0.06318083,0.20787556,0.03564615
last_seen_age,0.86673032,1.58287398,5.07160078,4.43872130,-4.20487045
last_submit_phase,0.32898360,0.18438878,0.37386577,0.19567186,-0.04488217
mean_submit_phase,0.33425039,0.16661219,0.37429010,0.18178466,-0.04003971
std_submit_phase,0.06304609,0.03926383,0.03501138,0.04330057,0.02803470
phase_entropy_4bin,0.27670456,0.22905901,0.13032962,0.20928350,0.14637494
interarrival_mean,2.67787452,3.39515780,6.48771700,5.67766188,-3.80984248
interarrival_std,0.62224671,0.62552034,0.32922349,0.60265583,0.29302322
interarrival_min,2.01689994,3.60841439,6.14375945,5.96999973,-4.12685951
interarrival_max,3.57122177,3.28559041,6.91163074,5.38969084,-3.34040898
accept_transition_rate,0.13607736,0.26277996,0.09887264,0.25463637,0.03720473
last_accept,0.90615836,0.28653593,0.83442266,0.29489528,0.07173570
tail_accept_streak,3.48680352,2.53143904,1.89106754,1.95624990,1.59573598
tail_reject_streak,0.10850440,0.37119660,0.07625272,0.31077651,0.03225168
