feature,member_mean,member_std,nonmember_mean,nonmember_std,mean_delta_member_minus_nonmember
chain_len_total,8.09778172,5.20676514,5.77305171,4.52051107,2.32473001
chain_len_norm,0.43503733,0.20008730,0.30624774,0.19042418,0.12878959
accepted_total,7.38527063,4.79004768,5.31755280,4.14271507,2.06771783
rejected_total,0.71251109,1.01385854,0.45549891,0.79130885,0.25701218
accept_rate,0.89934247,0.17725442,0.87406037,0.25626716,0.02528211
reject_rate,0.08131414,0.12488271,0.06330307,0.12202379,0.01801106
recent_count_1,0.62874889,0.76123268,0.28171886,0.53448530,0.34703003
recent_count_2,1.16273292,1.05482152,0.63612527,0.81313336,0.52660765
recent_count_4,2.17249335,1.46707953,1.35746540,1.27516361,0.81502794
recent_accept_rate_4,0.79882959,0.35626308,0.64788957,0.45971268,0.15094002
recent_reject_rate_4,0.07747919,0.19416146,0.04956127,0.17410348,0.02791792
last_seen_age,2.30115145,4.53289415,4.78895697,7.39543434,-2.48780552
last_submit_phase,0.35814326,0.20455117,0.37411358,0.20190429,-0.01597032
mean_submit_phase,0.35966411,0.19245748,0.37234764,0.18843818,-0.01268353
std_submit_phase,0.07007749,0.03893734,0.06127179,0.04499398,0.00880570
phase_entropy_4bin,0.28439821,0.22772536,0.25049941,0.23645012,0.03389880
interarrival_mean,4.17164238,7.54067982,7.51779525,10.78007695,-3.34615288
interarrival_std,1.25505259,0.96087810,1.25800679,1.22609400,-0.00295420
interarrival_min,2.82625773,7.90364731,6.18992515,11.37370453,-3.36366742
interarrival_max,6.48613445,7.17240580,9.59086820,10.05363031,-3.10473375
accept_transition_rate,0.14013483,0.20408882,0.10750265,0.19675070,0.03263218
last_accept,0.90780834,0.28081401,0.90123816,0.27082983,0.00657018
tail_accept_streak,5.02147294,4.31049568,3.92221413,3.47716434,1.09925881
tail_reject_streak,0.09245785,0.32380542,0.07079388,0.27084454,0.02166397
