round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,received_A,received_R,cells_final,dp_ok,cells_kept_post,dp_error,gradual_drift_offset_avg_m,gradual_drift_offset_max_m,gradual_drift_terminal_offset_avg_m,gradual_drift_terminal_offset_max_m
1,0,500,427,73,73,1.0,0.0,0,0,0,true,0,"",,,,
2,0,500,455,45,45,1.0,0.0,0,0,0,true,0,"",,,,
3,0,500,454,46,46,1.0,0.0,0,0,0,true,0,"",,,,
4,0,500,453,47,47,1.0,0.0,0,0,0,true,0,"",,,,
5,0,500,435,65,65,1.0,0.0,0,0,0,true,0,"",,,,
6,0,500,442,58,58,1.0,0.0,0,0,0,true,0,"",,,,
7,0,500,452,48,48,1.0,0.0,0,0,0,true,0,"",,,,
8,0,500,446,54,54,1.0,0.0,0,0,0,true,0,"",,,,
9,0,500,457,43,43,1.0,0.0,0,0,0,true,0,"",,,,
10,0,500,436,64,64,1.0,0.0,0,0,0,true,0,"",,,,
