dataset,users,transitions,gap_threshold_min,session_gap_fraction
T-Drive,50,62518,5,0.16791963914392655
T-Drive,50,62518,15,0.023657186730221696
T-Drive,50,62518,30,0.01100483060878467
T-Drive,50,62518,60,0.007613807223519627
T-Drive,50,62518,median,5.0
T-Drive,50,62518,p90,10.0
T-Drive,50,62518,p95,10.0
GeoLife,50,14280,5,0.03942577030812325
GeoLife,50,14280,15,0.025630252100840335
GeoLife,50,14280,30,0.021218487394957984
GeoLife,50,14280,60,0.018207282913165267
GeoLife,50,14280,median,1.0
GeoLife,50,14280,p90,1.0
GeoLife,50,14280,p95,4.0
