n,t,tier,budget,c_anchor,c_vc,unit_cost,ns_max
1,1,walk,10.0,1.0,0.0,1.0,10
1,1,walk,20.0,1.0,0.0,1.0,20
1,1,walk,30.0,1.0,0.0,1.0,30
1,1,walk,40.0,1.0,0.0,1.0,40
1,1,walk,50.0,1.0,0.0,1.0,50
1,1,walk,80.0,1.0,0.0,1.0,80
1,1,walk,100.0,1.0,0.0,1.0,100
1,1,walk,150.0,1.0,0.0,1.0,150
1,1,walk,200.0,1.0,0.0,1.0,200
1,1,bike,10.0,1.0,1.0,2.0,5
1,1,bike,20.0,1.0,1.0,2.0,10
1,1,bike,30.0,1.0,1.0,2.0,15
1,1,bike,40.0,1.0,1.0,2.0,20
1,1,bike,50.0,1.0,1.0,2.0,25
1,1,bike,80.0,1.0,1.0,2.0,40
1,1,bike,100.0,1.0,1.0,2.0,50
1,1,bike,150.0,1.0,1.0,2.0,75
1,1,bike,200.0,1.0,1.0,2.0,100
1,1,vehicle,10.0,1.0,5.0,6.0,1
1,1,vehicle,20.0,1.0,5.0,6.0,3
1,1,vehicle,30.0,1.0,5.0,6.0,5
1,1,vehicle,40.0,1.0,5.0,6.0,6
1,1,vehicle,50.0,1.0,5.0,6.0,8
1,1,vehicle,80.0,1.0,5.0,6.0,13
1,1,vehicle,100.0,1.0,5.0,6.0,16
1,1,vehicle,150.0,1.0,5.0,6.0,25
1,1,vehicle,200.0,1.0,5.0,6.0,33
1,1,transit,10.0,1.0,3.0,4.0,2
1,1,transit,20.0,1.0,3.0,4.0,5
1,1,transit,30.0,1.0,3.0,4.0,7
1,1,transit,40.0,1.0,3.0,4.0,10
1,1,transit,50.0,1.0,3.0,4.0,12
1,1,transit,80.0,1.0,3.0,4.0,20
1,1,transit,100.0,1.0,3.0,4.0,25
1,1,transit,150.0,1.0,3.0,4.0,37
1,1,transit,200.0,1.0,3.0,4.0,50
3,1,walk,10.0,1.0,0.0,1.0,10
3,1,walk,20.0,1.0,0.0,1.0,20
3,1,walk,30.0,1.0,0.0,1.0,30
3,1,walk,40.0,1.0,0.0,1.0,40
3,1,walk,50.0,1.0,0.0,1.0,50
3,1,walk,80.0,1.0,0.0,1.0,80
3,1,walk,100.0,1.0,0.0,1.0,100
3,1,walk,150.0,1.0,0.0,1.0,150
3,1,walk,200.0,1.0,0.0,1.0,200
3,1,bike,10.0,1.0,1.0,2.0,5
3,1,bike,20.0,1.0,1.0,2.0,10
3,1,bike,30.0,1.0,1.0,2.0,15
3,1,bike,40.0,1.0,1.0,2.0,20
3,1,bike,50.0,1.0,1.0,2.0,25
3,1,bike,80.0,1.0,1.0,2.0,40
3,1,bike,100.0,1.0,1.0,2.0,50
3,1,bike,150.0,1.0,1.0,2.0,75
3,1,bike,200.0,1.0,1.0,2.0,100
3,1,vehicle,10.0,1.0,5.0,6.0,1
3,1,vehicle,20.0,1.0,5.0,6.0,3
3,1,vehicle,30.0,1.0,5.0,6.0,5
3,1,vehicle,40.0,1.0,5.0,6.0,6
3,1,vehicle,50.0,1.0,5.0,6.0,8
3,1,vehicle,80.0,1.0,5.0,6.0,13
3,1,vehicle,100.0,1.0,5.0,6.0,16
3,1,vehicle,150.0,1.0,5.0,6.0,25
3,1,vehicle,200.0,1.0,5.0,6.0,33
3,1,transit,10.0,1.0,3.0,4.0,2
3,1,transit,20.0,1.0,3.0,4.0,5
3,1,transit,30.0,1.0,3.0,4.0,7
3,1,transit,40.0,1.0,3.0,4.0,10
3,1,transit,50.0,1.0,3.0,4.0,12
3,1,transit,80.0,1.0,3.0,4.0,20
3,1,transit,100.0,1.0,3.0,4.0,25
3,1,transit,150.0,1.0,3.0,4.0,37
