tau,tau2,attack_type,malicious_rate,n_seeds,avg_tpr_attack,std_tpr_attack,ci95_tpr_attack,avg_benign_frr,std_benign_frr,ci95_benign_frr
1,1,gradual_drift,0.10,3,0.984168,0.000000,0.000000,0.192000,0.000000,0.000000
1,2,gradual_drift,0.10,3,0.974724,0.020187,0.022843,0.192000,0.000000,0.000000
1,3,gradual_drift,0.10,3,0.988055,0.007464,0.008446,0.192000,0.000000,0.000000
1,4,gradual_drift,0.10,3,0.993267,0.004761,0.005388,0.192000,0.000000,0.000000
1,5,gradual_drift,0.10,3,0.995237,0.006736,0.007623,0.192000,0.000000,0.000000
2,1,gradual_drift,0.10,3,1.000000,0.000000,0.000000,0.192000,0.000000,0.000000
2,2,gradual_drift,0.10,3,0.978570,0.005049,0.005713,0.192000,0.000000,0.000000
2,3,gradual_drift,0.10,3,0.981667,0.004714,0.005334,0.192000,0.000000,0.000000
2,4,gradual_drift,0.10,3,0.991110,0.006851,0.007752,0.192000,0.000000,0.000000
2,5,gradual_drift,0.10,3,0.996667,0.004714,0.005334,0.192000,0.000000,0.000000
3,1,gradual_drift,0.10,3,0.977737,0.012542,0.014192,0.192000,0.000000,0.000000
3,2,gradual_drift,0.10,3,0.988890,0.015712,0.017780,0.192000,0.000000,0.000000
3,3,gradual_drift,0.10,3,0.972223,0.020787,0.023522,0.192000,0.000000,0.000000
3,4,gradual_drift,0.10,3,0.977777,0.020787,0.023522,0.192000,0.000000,0.000000
3,5,gradual_drift,0.10,3,0.970832,0.023815,0.026949,0.192000,0.000000,0.000000
4,1,gradual_drift,0.10,3,0.969722,0.019839,0.022450,0.192000,0.000000,0.000000
4,2,gradual_drift,0.10,3,0.951390,0.037320,0.042232,0.192000,0.000000,0.000000
4,3,gradual_drift,0.10,3,0.962500,0.044488,0.050343,0.192000,0.000000,0.000000
4,4,gradual_drift,0.10,3,0.978570,0.020202,0.022861,0.192000,0.000000,0.000000
4,5,gradual_drift,0.10,3,0.983333,0.023570,0.026672,0.192000,0.000000,0.000000
5,1,gradual_drift,0.10,3,0.966667,0.047140,0.053344,0.192000,0.000000,0.000000
5,2,gradual_drift,0.10,3,0.994443,0.007858,0.008893,0.192000,0.000000,0.000000
5,3,gradual_drift,0.10,3,0.983610,0.002751,0.003113,0.192000,0.000000,0.000000
5,4,gradual_drift,0.10,3,0.983637,0.012151,0.013750,0.192000,0.000000,0.000000
5,5,gradual_drift,0.10,3,0.978333,0.030641,0.034674,0.192000,0.000000,0.000000
