tau,tau2,seed,attack_type,malicious_rate,tpr_attack,benign_frr,attack_round_csv,benign_round_csv,attack_log,benign_log
1,1,1,gradual_drift,0.10,0.984168,0.192000,experiments/round_metrics_20260422_141714.csv,experiments/round_metrics_20260422_143952.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau21_s1_j0.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau21_s1_j0.log
1,1,2,gradual_drift,0.10,0.984168,0.192000,experiments/round_metrics_20260422_141714.csv,experiments/round_metrics_20260422_143959.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau21_s2_j1.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau21_s2_j1.log
1,1,3,gradual_drift,0.10,0.984168,0.192000,experiments/round_metrics_20260422_141714.csv,experiments/round_metrics_20260422_143944.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau21_s3_j2.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau21_s3_j2.log
1,2,1,gradual_drift,0.10,0.984168,0.192000,experiments/round_metrics_20260422_141714.csv,experiments/round_metrics_20260422_143949.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau22_s1_j3.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau22_s1_j3.log
1,2,2,gradual_drift,0.10,0.946670,0.192000,experiments/round_metrics_20260422_150137.csv,experiments/round_metrics_20260422_152456.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau22_s2_j4.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau22_s2_j4.log
1,2,3,gradual_drift,0.10,0.993333,0.192000,experiments/round_metrics_20260422_150138.csv,experiments/round_metrics_20260422_152501.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau22_s3_j5.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau22_s3_j5.log
1,3,1,gradual_drift,0.10,0.993333,0.192000,experiments/round_metrics_20260422_150138.csv,experiments/round_metrics_20260422_152513.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau23_s1_j6.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau23_s1_j6.log
1,3,2,gradual_drift,0.10,0.993333,0.192000,experiments/round_metrics_20260422_150138.csv,experiments/round_metrics_20260422_152458.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau23_s2_j7.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau23_s2_j7.log
1,3,3,gradual_drift,0.10,0.977500,0.192000,experiments/round_metrics_20260422_160737.csv,experiments/round_metrics_20260422_162736.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau23_s3_j8.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau23_s3_j8.log
1,4,1,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_160747.csv,experiments/round_metrics_20260422_162749.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau24_s1_j9.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau24_s1_j9.log
1,4,2,gradual_drift,0.10,0.989900,0.192000,experiments/round_metrics_20260422_160757.csv,experiments/round_metrics_20260422_162754.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau24_s2_j10.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau24_s2_j10.log
1,4,3,gradual_drift,0.10,0.989900,0.192000,experiments/round_metrics_20260422_160757.csv,experiments/round_metrics_20260422_162754.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau24_s3_j11.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau24_s3_j11.log
1,5,1,gradual_drift,0.10,0.985710,0.192000,experiments/round_metrics_20260422_164847.csv,experiments/round_metrics_20260422_171008.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau25_s1_j12.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau25_s1_j12.log
1,5,2,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_164902.csv,experiments/round_metrics_20260422_171005.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau25_s2_j13.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau25_s2_j13.log
1,5,3,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_164918.csv,experiments/round_metrics_20260422_171035.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau1_tau25_s3_j14.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau1_tau25_s3_j14.log
2,1,1,gradual_drift,0.10,1.000000,0.192000,experiments/round_metrics_20260422_164918.csv,experiments/round_metrics_20260422_171030.csv,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_attack_tau2_tau21_s1_j15.log,/Users/wanghao/Desktop/risefl_mvp/experiments/tau_sweeps/20260422_141714/tau_benign_tau2_tau21_s1_j15.log
