mode,malicious_rate,round_idx,round_id,total,valid_clients,rejected,malicious_total,malicious_reject_rate,false_reject_rate,dump_file,cells_kept_pre,cells_kept_post
full,0.1,1,0,50,44,6,6,1.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r1.json,0,0
full,0.1,2,0,50,44,6,6,1.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r2.json,0,0
full,0.1,3,0,50,44,6,6,1.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r3.json,0,0
full,0.1,4,0,50,44,6,6,1.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r4.json,0,0
full,0.1,5,0,50,44,6,6,1.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r5.json,0,0
full,0.1,6,764934518,50,43,7,6,1.0,0.0227,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r6.json,146,145
full,0.1,7,765210219,50,43,7,6,1.0,0.0227,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r7.json,148,148
full,0.1,8,765486180,50,43,7,6,1.0,0.0227,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r8.json,145,144
full,0.1,9,765760763,50,43,7,6,1.0,0.0227,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r9.json,146,146
full,0.1,10,766037636,50,43,7,6,1.0,0.0227,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/full_mal0.1_r10.json,147,146
no_integ,0.1,1,766348294,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r1.json,162,160
no_integ,0.1,2,766360637,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r2.json,163,162
no_integ,0.1,3,766373073,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r3.json,160,160
no_integ,0.1,4,766385379,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r4.json,163,162
no_integ,0.1,5,766397731,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r5.json,159,159
no_integ,0.1,6,766410087,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r6.json,165,165
no_integ,0.1,7,766422502,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r7.json,161,160
no_integ,0.1,8,766434898,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r8.json,160,160
no_integ,0.1,9,766447225,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r9.json,163,163
no_integ,0.1,10,766459649,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/no_integ_mal0.1_r10.json,162,162
nebula,0.1,1,766506759,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r1.json,1,1
nebula,0.1,2,766519202,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r2.json,1,1
nebula,0.1,3,766531535,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r3.json,1,1
nebula,0.1,4,766543912,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r4.json,1,1
nebula,0.1,5,766556277,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r5.json,1,1
nebula,0.1,6,766568624,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r6.json,1,1
nebula,0.1,7,766581047,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r7.json,1,1
nebula,0.1,8,766593339,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r8.json,1,1
nebula,0.1,9,766605761,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r9.json,1,1
nebula,0.1,10,766618014,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/nebula_mal0.1_r10.json,1,1
ldp,0.1,1,766666274,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/ldp_mal0.1_r1.json,0,0
ldp,0.1,2,766678710,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/ldp_mal0.1_r2.json,0,0
ldp,0.1,3,766691067,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/ldp_mal0.1_r3.json,0,0
ldp,0.1,4,766703399,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/ldp_mal0.1_r4.json,0,0
ldp,0.1,5,766715824,50,50,0,6,0.0,0.0,/home/wang/risefl_mvp/experiments/utility_dumps/20260421_172256/ldp_mal0.1_r5.json,0,0
