mode,malicious_rate,round_idx,malicious_reject_rate,false_reject_rate,jaccard,rmse,relative_error,cells_kept_post,dump_file
full,0.1,1,1.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,full_mal0.1_r1.json
full,0.1,2,1.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,full_mal0.1_r2.json
full,0.1,3,1.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,full_mal0.1_r3.json
full,0.1,4,1.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,full_mal0.1_r4.json
full,0.1,5,1.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,full_mal0.1_r5.json
full,0.1,6,1.0,0.0227,0.38461538461538464,4.869709126003724,5.243723572607952,145,full_mal0.1_r6.json
full,0.1,7,1.0,0.0227,0.38461538461538464,4.8775880710104556,5.2034138528339975,148,full_mal0.1_r7.json
full,0.1,8,1.0,0.0227,0.42105263157894735,4.863954949023015,5.186994921866799,144,full_mal0.1_r8.json
full,0.1,9,1.0,0.0227,0.38461538461538464,4.870737092964133,5.211620127844035,146,full_mal0.1_r9.json
full,0.1,10,1.0,0.0227,0.38461538461538464,4.868713181361833,5.1904876173336225,146,full_mal0.1_r10.json
no_integ,0.1,1,0.0,0.0,0.42105263157894735,5.660942524369538,6.621730942259249,160,no_integ_mal0.1_r1.json
no_integ,0.1,2,0.0,0.0,0.4594594594594595,5.6559810407247735,6.73311625781423,162,no_integ_mal0.1_r2.json
no_integ,0.1,3,0.0,0.0,0.4594594594594595,5.652525530289983,7.249580096993144,160,no_integ_mal0.1_r3.json
no_integ,0.1,4,0.0,0.0,0.4594594594594595,5.662259705425433,6.725423643258402,162,no_integ_mal0.1_r4.json
no_integ,0.1,5,0.0,0.0,0.42105263157894735,5.653175553998668,6.566611498318342,159,no_integ_mal0.1_r5.json
no_integ,0.1,6,0.0,0.0,0.4594594594594595,5.652437320178915,6.585686902031313,165,no_integ_mal0.1_r6.json
no_integ,0.1,7,0.0,0.0,0.42105263157894735,5.651699994146736,6.572319007257853,160,no_integ_mal0.1_r7.json
no_integ,0.1,8,0.0,0.0,0.4594594594594595,5.646261872693297,6.585183443085783,160,no_integ_mal0.1_r8.json
no_integ,0.1,9,0.0,0.0,0.4594594594594595,5.6523007357925295,7.09659415189703,163,no_integ_mal0.1_r9.json
no_integ,0.1,10,0.0,0.0,0.4594594594594595,5.655805410838109,7.101251350480411,162,no_integ_mal0.1_r10.json
nebula,0.1,1,0.0,0.0,1.0,2.2941499336656634,0.9958022439922489,1,nebula_mal0.1_r1.json
nebula,0.1,2,0.0,0.0,1.0,2.293294389631216,0.9957884727402957,1,nebula_mal0.1_r2.json
nebula,0.1,3,0.0,0.0,1.0,2.2974742189690005,0.9958557472416237,1,nebula_mal0.1_r3.json
nebula,0.1,4,0.0,0.0,1.0,2.292146695123405,0.9957699978872094,1,nebula_mal0.1_r4.json
nebula,0.1,5,0.0,0.0,1.0,2.2923627592144427,0.995773476037031,1,nebula_mal0.1_r5.json
nebula,0.1,6,0.0,0.0,1.0,2.2934960736343992,0.99579171920151,1,nebula_mal0.1_r6.json
nebula,0.1,7,0.0,0.0,1.0,2.2914930678931604,0.9957594756980525,1,nebula_mal0.1_r7.json
nebula,0.1,8,0.0,0.0,1.0,2.28725151161297,0.9956911853710009,1,nebula_mal0.1_r8.json
nebula,0.1,9,0.0,0.0,1.0,2.311716353051647,0.9960848614432698,1,nebula_mal0.1_r9.json
nebula,0.1,10,0.0,0.0,1.0,2.2925013030800843,0.9957757062626632,1,nebula_mal0.1_r10.json
ldp,0.1,1,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r1.json
ldp,0.1,2,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r2.json
ldp,0.1,3,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r3.json
ldp,0.1,4,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r4.json
ldp,0.1,5,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r5.json
ldp,0.1,6,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r6.json
ldp,0.1,7,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r7.json
ldp,0.1,8,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r8.json
ldp,0.1,9,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r9.json
ldp,0.1,10,0.0,0.0,0.0,2.5565993037627153,0.999999999722163,0,ldp_mal0.1_r10.json
