metric,k=1,k=4,k=16
single_report_mean_ms,354.84,,
single_report_median_ms,329.75,,
single_report_min_ms,298.40,,
single_report_max_ms,619.90,,
wall_n50_sec,15.86,5.44,4.08
wall_n50_rps,3.2,9.2,12.3
wall_n50_eff_ms,317.3,108.8,81.6
wall_n200_sec,71.12,24.05,14.39
wall_n200_rps,2.8,8.3,13.9
wall_n200_eff_ms,355.6,120.2,72.0
wall_n500_sec,172.66,60.76,39.23
wall_n500_rps,2.9,8.2,12.7
wall_n500_eff_ms,345.3,121.5,78.5
wall_n1000_sec,391.03,145.08,107.94
wall_n1000_rps,2.6,6.9,9.3
wall_n1000_eff_ms,391.0,145.1,107.9
capacity_60s_reports,190,505,645
capacity_60s_rps,3.0,8.1,10.2
capacity_60s_eff_ms,328.4,122.8,97.9
n50_fits_60s,YES,YES,YES
n200_fits_60s,NO,YES,YES
n500_fits_60s,NO,NO,YES
n1000_fits_60s,NO,NO,NO
