clients,workers,wall_s,within_60s,method
100,1,4.211,True,measured
100,2,5.106,True,measured
100,4,9.848,True,measured
100,8,10.241,True,measured
100,16,13.324,True,measured
1000,1,34.617,True,projected
1000,2,17.408,True,projected
1000,4,8.804,True,projected
1000,8,4.502,True,projected
1000,16,2.368,True,projected
5000,1,172.283,False,projected
5000,2,86.242,False,projected
5000,4,43.221,True,projected
5000,8,21.71,True,projected
5000,16,10.972,True,projected
10000,1,344.367,False,projected
10000,2,172.283,False,projected
10000,4,86.242,False,projected
10000,8,43.221,True,projected
10000,16,21.71,True,projected
