clients,workers,wall_s,within_60s,method
100,1,4.336,True,measured
100,2,3.236,True,measured
100,4,2.93,True,measured
100,8,4.086,True,measured
100,16,8.918,True,measured
1000,1,24.35,True,projected
1000,2,12.275,True,projected
1000,4,6.237,True,projected
1000,8,3.219,True,projected
1000,16,1.721,True,projected
5000,1,120.95,False,projected
5000,2,60.575,False,projected
5000,4,30.387,True,projected
5000,8,15.294,True,projected
5000,16,7.759,True,projected
10000,1,241.7,False,projected
10000,2,120.95,False,projected
10000,4,60.575,False,projected
10000,8,30.387,True,projected
10000,16,15.294,True,projected
